Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	0.3411169838955203
DMRT1	DKK1	0.320928440752718
DKK1	DMRT1	0.3147152047902332
WT1pKTS	FOXL2	0.2618104743940942
CBX2	UGR	0.2564493850775796
RSPO1	CTNNB1	0.2562013453225322
CTNNB1	RSPO1	0.2349749312693863
UGR	CBX2	0.2199615165169461
PGD2	FGF9	0.2165609165004377
DHH	PGD2	0.2111621479081002
PGD2	AMH	0.2062126019022032
FOXL2	NR5A1	0.2045345036793476
PGD2	DHH	0.1975332009752092
WNT4	NR0B1	0.1936432823229261
CTNNB1	FOXL2	0.1932458722841653
NR5A1	CBX2	0.1869848731254676
NR5A1	RSPO1	0.1812395885251725
DHH	AMH	0.1776886723143902
DHH	FGF9	0.1760941666958932
RSPO1	NR5A1	0.1751700803600385
DKK1	SOX9	0.1718705857607661
DMRT1	SRY	0.171183023247485
FGF9	DHH	0.1678952748314757
UGR	WT1mKTS	0.166727731868903
NR0B1	WNT4	0.1665997016200528
SRY	DKK1	0.1646882603800531
SRY	DMRT1	0.1640079860553161
GATA4	WT1mKTS	0.1622257236344481
DKK1	SRY	0.1622235561647042
FGF9	PGD2	0.1614196420264373
WT1mKTS	GATA4	0.1603766267432358
AMH	PGD2	0.1553093295247147
RSPO1	WNT4	0.1544176327074439
UGR	GATA4	0.1537911245998968
WNT4	CTNNB1	0.1494486969870123
WNT4	RSPO1	0.1488619441781378
SOX9	WNT4	0.1481811201697656
WT1pKTS	NR5A1	0.1461207455952156
AMH	DHH	0.14594338005689
FGF9	AMH	0.1418886136207653
CTNNB1	WT1pKTS	0.1416047820254674
NR5A1	WT1pKTS	0.1375287298288284
AMH	FGF9	0.1337694773298849
DMRT1	SOX9	0.1337483197074813
NR5A1	FOXL2	0.1256790513405217
FOXL2	CTNNB1	0.1188582158945595
RSPO1	FOXL2	0.1160036740113212
AMH	NR0B1	0.1138350110348011
CTNNB1	NR5A1	0.1129142017563636
NR5A1	UGR	0.1122564873004382
SOX9	DKK1	0.1086811014666433
DHH	SOX9	0.1085341256936008
DHH	GATA4	0.1058707028314178
UGR	NR0B1	0.1038196609586507
SOX9	PGD2	0.1019785023039561
SOX9	DMRT1	0.1016212386713232
NR5A1	CTNNB1	0.1010799978500856
RSPO1	WT1pKTS	0.1006348200187974
FOXL2	SRY	0.1004145316531763
SOX9	DHH	0.0994183064924001
SOX9	FGF9	0.0987816078638493
PGD2	GATA4	0.0974110602294011
PGD2	SOX9	0.0970609653642112
PGD2	WT1mKTS	0.0938630953091791
SOX9	AMH	0.0919255146295928
CTNNB1	SRY	0.0908805273005666
FGF9	WT1mKTS	0.0891167825669403
FGF9	SOX9	0.0866695042904318
CTNNB1	WNT4	0.0843152029157065
PGD2	NR0B1	0.0819677258953681
DHH	WT1mKTS	0.0809036853641794
SRY	FOXL2	0.079617207415305
WT1pKTS	CBX2	0.0782451819744995
NR0B1	RSPO1	0.0762452171692101
FGF9	NR0B1	0.0746464856855198
RSPO1	NR0B1	0.0730327286169639
FGF9	GATA4	0.0725784208619236
AMH	WT1mKTS	0.0705215155884746
NR0B1	UGR	0.0693843584943832
FGF9	WNT4	0.0691804071519825
WT1pKTS	SRY	0.0690210640593466
GATA4	AMH	0.0681747559546051
AMH	GATA4	0.0679963945170564
RSPO1	CBX2	0.0674394210637486
FOXL2	RSPO1	0.0672321046586329
UGR	SRY	0.0661823539019608
CTNNB1	CBX2	0.0657579325686401
