TF	target	importance
FOXL2	WT1pKTS	0.3411169838955203
DMRT1	DKK1	0.320928440752718
DKK1	DMRT1	0.31471520479023324
WT1pKTS	FOXL2	0.2618104743940942
CBX2	UGR	0.2564493850775796
RSPO1	CTNNB1	0.25620134532253225
CTNNB1	RSPO1	0.23497493126938634
UGR	CBX2	0.2199615165169461
PGD2	FGF9	0.21656091650043777
DHH	PGD2	0.2111621479081002
PGD2	AMH	0.2062126019022032
FOXL2	NR5A1	0.2045345036793476
PGD2	DHH	0.19753320097520927
WNT4	NR0B1	0.19364328232292619
CTNNB1	FOXL2	0.19324587228416534
NR5A1	CBX2	0.18698487312546763
NR5A1	RSPO1	0.1812395885251725
DHH	AMH	0.17768867231439023
DHH	FGF9	0.17609416669589323
RSPO1	NR5A1	0.17517008036003856
DKK1	SOX9	0.1718705857607661
DMRT1	SRY	0.17118302324748502
FGF9	DHH	0.1678952748314757
UGR	WT1mKTS	0.16672773186890302
NR0B1	WNT4	0.16659970162005286
SRY	DKK1	0.16468826038005316
SRY	DMRT1	0.16400798605531616
GATA4	WT1mKTS	0.16222572363444815
DKK1	SRY	0.16222355616470427
FGF9	PGD2	0.16141964202643735
WT1mKTS	GATA4	0.16037662674323586
AMH	PGD2	0.15530932952471474
RSPO1	WNT4	0.15441763270744394
UGR	GATA4	0.15379112459989683
WNT4	CTNNB1	0.14944869698701238
WNT4	RSPO1	0.14886194417813783
SOX9	WNT4	0.14818112016976562
WT1pKTS	NR5A1	0.14612074559521562
AMH	DHH	0.14594338005689006
FGF9	AMH	0.14188861362076538
CTNNB1	WT1pKTS	0.14160478202546742
NR5A1	WT1pKTS	0.13752872982882844
AMH	FGF9	0.13376947732988492
DMRT1	SOX9	0.1337483197074813
NR5A1	FOXL2	0.12567905134052176
FOXL2	CTNNB1	0.11885821589455954
RSPO1	FOXL2	0.11600367401132121
AMH	NR0B1	0.11383501103480112
CTNNB1	NR5A1	0.11291420175636363
NR5A1	UGR	0.11225648730043825
SOX9	DKK1	0.10868110146664335
DHH	SOX9	0.1085341256936008
DHH	GATA4	0.10587070283141783
UGR	NR0B1	0.10381966095865078
SOX9	PGD2	0.10197850230395615
SOX9	DMRT1	0.10162123867132324
NR5A1	CTNNB1	0.10107999785008567
RSPO1	WT1pKTS	0.10063482001879746
FOXL2	SRY	0.10041453165317638
SOX9	DHH	0.09941830649240017
SOX9	FGF9	0.09878160786384939
PGD2	GATA4	0.09741106022940117
PGD2	SOX9	0.09706096536421126
PGD2	WT1mKTS	0.09386309530917912
SOX9	AMH	0.09192551462959281
CTNNB1	SRY	0.09088052730056664
FGF9	WT1mKTS	0.08911678256694036
FGF9	SOX9	0.08666950429043187
CTNNB1	WNT4	0.08431520291570657
PGD2	NR0B1	0.0819677258953681
DHH	WT1mKTS	0.08090368536417944
SRY	FOXL2	0.07961720741530506
WT1pKTS	CBX2	0.07824518197449956
NR0B1	RSPO1	0.07624521716921019
FGF9	NR0B1	0.07464648568551982
RSPO1	NR0B1	0.07303272861696392
FGF9	GATA4	0.07257842086192369
AMH	WT1mKTS	0.07052151558847464
NR0B1	UGR	0.06938435849438324
FGF9	WNT4	0.06918040715198255
WT1pKTS	SRY	0.06902106405934667
GATA4	AMH	0.06817475595460516
AMH	GATA4	0.06799639451705641
RSPO1	CBX2	0.06743942106374867
FOXL2	RSPO1	0.06723210465863293
UGR	SRY	0.06618235390196087
CTNNB1	CBX2	0.06575793256864017
WT1pKTS	CTNNB1	0.06566571752343651
