TF	target	importance
DMRT1	DKK1	171.73577165439846
FOXL2	WT1pKTS	169.1676556575249
DKK1	DMRT1	143.64536134893225
CBX2	UGR	119.51272523601405
CTNNB1	RSPO1	111.32668535651074
UGR	CBX2	106.96747900718307
FOXL2	NR5A1	99.32873144021941
WT1pKTS	FOXL2	96.4954022016572
NR5A1	CBX2	95.2270035443013
WT1pKTS	NR5A1	93.55855778781208
CTNNB1	NR5A1	90.54516147670275
CBX2	NR5A1	89.04272337891817
SRY	DKK1	87.52132890205262
CTNNB1	WNT4	86.94740549807184
WNT4	RSPO1	86.17977356123488
CTNNB1	WT1pKTS	82.20665554840973
RSPO1	CTNNB1	78.60650727753239
RSPO1	NR5A1	77.174815761614
WT1mKTS	GATA4	77.15269169974412
NR5A1	FOXL2	72.25710584160697
UGR	WT1mKTS	71.23059214863477
WNT4	NR0B1	70.23981440612773
NR5A1	WT1pKTS	65.46057656108164
RSPO1	FOXL2	65.44433569275475
NR0B1	WNT4	65.2880660656087
DMRT1	SRY	65.17616425802784
CTNNB1	FOXL2	64.71209287601982
SRY	WT1mKTS	64.65376945520023
WT1pKTS	RSPO1	64.03395971746716
WT1pKTS	CTNNB1	63.90405107708919
GATA4	WT1mKTS	63.90072211567361
NR5A1	RSPO1	63.878109017601396
SRY	DMRT1	63.38631469077261
FOXL2	RSPO1	63.36511357018096
RSPO1	WT1pKTS	61.58496127824507
NR0B1	RSPO1	59.7614210059026
NR0B1	NR5A1	59.7362308481505
FGF9	DHH	59.7235216840285
DHH	WT1mKTS	59.69050713625825
FGF9	PGD2	59.461772389530395
RSPO1	WNT4	58.97393244611565
FOXL2	CTNNB1	58.28931650910923
CTNNB1	CBX2	56.19969813566581
PGD2	WNT4	56.15769361695437
CTNNB1	UGR	54.902905169736975
AMH	NR0B1	54.89743385832059
WNT4	CTNNB1	54.8359388349511
SOX9	WNT4	54.60021796420299
FOXL2	SRY	53.910179708259136
SOX9	DMRT1	53.252642526645694
DKK1	SRY	52.62678296443896
NR5A1	UGR	51.55764070022895
NR0B1	UGR	51.487513314312814
DHH	FGF9	51.42925395537406
NR5A1	CTNNB1	51.37971272328189
UGR	NR0B1	51.13700319949953
AMH	WT1mKTS	50.37903777706857
SOX9	GATA4	49.9344535441467
UGR	GATA4	49.884115673311385
WT1pKTS	SRY	49.72216207382633
UGR	RSPO1	49.069085077886
SOX9	AMH	49.02584926852901
FGF9	WT1mKTS	49.00400220199494
AMH	DHH	48.0049850747538
DHH	WNT4	47.40896893525794
GATA4	DMRT1	47.38441789954551
DKK1	WNT4	46.98712424894901
AMH	WNT4	46.63452450912772
DMRT1	GATA4	46.6002720018894
FGF9	WNT4	46.38966669471713
DKK1	SOX9	46.081778892189256
RSPO1	CBX2	45.74366483630203
WNT4	DKK1	45.08927105153919
DMRT1	SOX9	44.52982436980284
DHH	AMH	44.38545448660768
SRY	WT1pKTS	43.23622301221176
DMRT1	WT1mKTS	43.069459338781094
CTNNB1	WT1mKTS	43.04320668407353
SRY	FOXL2	42.85869840406044
UGR	NR5A1	42.75443320143356
DKK1	CBX2	42.723995711915165
AMH	DKK1	42.67614201632585
CBX2	RSPO1	42.55923291341485
WNT4	NR5A1	42.43430301270318
NR0B1	CTNNB1	42.30644571436216
DMRT1	WNT4	41.56765884629316
AMH	PGD2	41.47712603239412
WNT4	FOXL2	41.17678015516324
RSPO1	UGR	41.08023064946783
SRY	NR5A1	40.90238038951627
FGF9	GATA4	40.7075028221365
PGD2	AMH	40.68941378497305
NR0B1	CBX2	40.081332562980236
NR0B1	AMH	40.04493909934901
CTNNB1	NR0B1	39.80437052158695
RSPO1	SRY	39.71663335182844
WT1pKTS	DKK1	39.38427546843809
NR5A1	NR0B1	39.26412218326904
FOXL2	WT1mKTS	38.90441315291271
PGD2	NR0B1	38.86580718139262
FGF9	NR0B1	38.812034826298856
WNT4	SRY	38.64874833929058
FOXL2	DMRT1	38.56251748393521
UGR	WNT4	38.295455937759186
RSPO1	NR0B1	37.965623922595256
GATA4	SOX9	37.775138864616245
SOX9	RSPO1	37.61071432991909
PGD2	WT1mKTS	37.52225917590964
SRY	WNT4	37.491557141552896
CBX2	CTNNB1	37.26529440553181
SOX9	DKK1	37.12650200121767
FOXL2	DKK1	36.948008632409596
UGR	SRY	36.67987743709206
AMH	FGF9	36.633942289642256
FOXL2	CBX2	36.49377342919708
FGF9	AMH	36.047891908325845
GATA4	FGF9	35.96065560490348
SOX9	NR0B1	35.55104510218245
DHH	PGD2	35.49730952257909
WNT4	WT1mKTS	35.25043355568802
SOX9	WT1mKTS	35.23834228033879
NR5A1	WNT4	35.19681527984861
CTNNB1	SRY	35.114034861253415
WT1pKTS	CBX2	35.034834090844036
SRY	CTNNB1	34.94133077345369
WNT4	FGF9	34.87334360048742
WT1pKTS	WT1mKTS	34.76909586365811
DMRT1	CTNNB1	34.660504748809366
PGD2	GATA4	34.63066072556081
SOX9	PGD2	34.62675969135175
FGF9	SOX9	34.20882492216418
WNT4	GATA4	34.073520613025885
SOX9	DHH	33.951740945273016
WNT4	AMH	33.95073243628851
DHH	DMRT1	33.930690047153405
CBX2	NR0B1	33.535548325889415
DKK1	FGF9	33.504325556124115
WT1pKTS	WNT4	33.39978669591182
PGD2	DKK1	33.323133017443425
GATA4	AMH	33.28139400392724
NR5A1	GATA4	33.27778450061697
CTNNB1	DMRT1	33.193923047257144
WT1mKTS	DMRT1	33.165206816779005
WNT4	DMRT1	33.039269785908566
NR5A1	DKK1	33.004493825686914
DKK1	GATA4	32.60062906986349
FGF9	DMRT1	32.51533584703789
AMH	GATA4	32.205709433111856
WT1pKTS	UGR	32.09167551736292
NR5A1	SOX9	32.02878670922641
WNT4	SOX9	31.716292150412606
WNT4	UGR	31.708495898696228
GATA4	NR0B1	31.58309053674273
WT1pKTS	GATA4	31.537033205123112
NR0B1	WT1pKTS	31.32971328149014
SRY	CBX2	31.30599498243108
CBX2	DKK1	31.144262414460755
DHH	SOX9	31.129863409552385
NR0B1	GATA4	31.070702157191757
SOX9	NR5A1	30.832869857574003
WT1mKTS	DHH	30.79901345992737
SRY	GATA4	30.670938990035893
GATA4	RSPO1	30.60087442831843
DKK1	DHH	30.32575109894781
NR0B1	FGF9	30.142709182767454
PGD2	RSPO1	30.089173454681298
NR5A1	SRY	30.087403793346084
PGD2	FGF9	29.633721472581872
CTNNB1	DKK1	29.58395998057572
NR5A1	DMRT1	29.465287171347928
DMRT1	CBX2	29.215442000291947
WT1mKTS	SRY	29.17163027783661
DHH	GATA4	29.000420198331895
GATA4	UGR	28.53216017420323
AMH	DMRT1	28.46969215922416
WT1pKTS	DMRT1	28.434990200740273
WT1mKTS	FGF9	28.34931424256592
NR0B1	PGD2	28.214463611744506
RSPO1	SOX9	28.174931453134054
RSPO1	DKK1	28.1145972879523
GATA4	DHH	28.000816734570112
GATA4	CBX2	27.962282466312157
CBX2	WNT4	27.83796326253976
CBX2	DMRT1	27.768203160800958
DKK1	UGR	27.6551158094515
GATA4	DKK1	27.632322279293145
DKK1	WT1mKTS	27.610695656869346
NR5A1	WT1mKTS	27.445783748375227
SOX9	SRY	27.25886683001919
CBX2	WT1pKTS	27.070320249000016
GATA4	WNT4	26.640557859731768
RSPO1	DMRT1	26.56171477641496
WT1mKTS	PGD2	26.519174725217233
NR0B1	DHH	26.480494616061485
AMH	SOX9	26.37700003404533
SRY	SOX9	26.328222944915744
CBX2	WT1mKTS	26.114578525155235
DHH	NR5A1	26.09296916714113
WNT4	WT1pKTS	25.92578231598209
SOX9	FGF9	25.896451526593445
SOX9	CBX2	25.825482540083502
AMH	RSPO1	25.698104773908735
WT1pKTS	NR0B1	25.660502452075235
GATA4	SRY	25.44924734560911
UGR	WT1pKTS	25.33282157349901
SOX9	UGR	25.181334307569823
WT1mKTS	NR0B1	25.121006476085295
FOXL2	UGR	25.07579054300536
PGD2	CBX2	25.038928507512296
DMRT1	PGD2	24.83926664213838
WT1mKTS	DKK1	24.829685055249378
DHH	SRY	24.808485705333357
FOXL2	WNT4	24.689468060239587
DMRT1	FOXL2	24.582317761950865
WNT4	CBX2	24.541526030069345
FOXL2	GATA4	24.149100004313443
FGF9	DKK1	23.887908119817393
CTNNB1	GATA4	23.505590137314794
NR0B1	WT1mKTS	23.36868308737929
DMRT1	AMH	23.31040566969799
WNT4	DHH	22.830414835629753
RSPO1	WT1mKTS	22.804418096028687
DKK1	NR5A1	22.774169507969884
DHH	DKK1	22.76694080525489
DKK1	CTNNB1	22.623364227523073
WT1mKTS	WNT4	22.493136937117857
WT1mKTS	AMH	22.445869576585526
DMRT1	NR0B1	22.398020090505902
DMRT1	RSPO1	22.340581931584374
PGD2	CTNNB1	22.156036717187348
RSPO1	FGF9	22.0180717447876
DMRT1	WT1pKTS	21.91297165608613
NR0B1	DKK1	21.889809577159312
PGD2	SRY	21.332082057318853
WT1mKTS	UGR	21.240704179120318
FOXL2	NR0B1	20.900787519098845
WNT4	PGD2	20.771140548739258
DMRT1	NR5A1	20.612055966781924
CBX2	SRY	20.559639027793434
WT1mKTS	SOX9	20.530161165971016
UGR	DKK1	20.341587910725156
UGR	CTNNB1	20.162852641466515
FGF9	RSPO1	20.088215554689803
PGD2	DHH	20.066525277405685
RSPO1	PGD2	20.00739922241556
SRY	UGR	19.662399860812123
PGD2	SOX9	19.567055365532312
FGF9	CBX2	19.498756146052727
NR0B1	SRY	19.365593450057506
DHH	NR0B1	19.306182539364187
SRY	NR0B1	19.127745176598186
DKK1	WT1pKTS	18.881400204713604
FGF9	UGR	18.867738528091333
NR5A1	DHH	18.79148618299252
SOX9	CTNNB1	18.77740000169567
DHH	CTNNB1	18.603888736199856
GATA4	CTNNB1	18.57813371462061
NR0B1	FOXL2	18.47159898614945
GATA4	PGD2	17.855003879252223
RSPO1	GATA4	17.7096849897236
DHH	RSPO1	17.620410246738896
CBX2	GATA4	17.28919023455833
GATA4	NR5A1	17.20142666004777
DHH	UGR	17.09293892760652
AMH	CTNNB1	16.979240811908564
FGF9	NR5A1	16.80597746023533
WT1mKTS	RSPO1	16.32274987463165
WT1mKTS	NR5A1	16.281956435115017
CTNNB1	SOX9	16.254249135352676
RSPO1	DHH	16.193950985451046
DKK1	PGD2	16.13096510973651
PGD2	DMRT1	16.10174237449572
DMRT1	DHH	16.00500652690798
WT1pKTS	DHH	15.675051334993956
CTNNB1	DHH	15.541861306058705
DKK1	RSPO1	15.31027994902995
PGD2	UGR	15.177900619016043
SRY	RSPO1	15.145515236299147
FGF9	SRY	15.098679392297457
WT1mKTS	CBX2	15.070304956419477
DKK1	FOXL2	14.950143660538657
AMH	CBX2	14.945262091069145
NR0B1	SOX9	14.916892099044455
FOXL2	SOX9	14.90769089512514
FGF9	CTNNB1	14.649032908172995
DMRT1	UGR	14.485350512589013
SRY	AMH	14.484144225870795
DKK1	NR0B1	13.829861682367246
CBX2	FOXL2	13.674098996657833
UGR	DMRT1	13.312780283990241
AMH	NR5A1	13.130846611362463
SOX9	FOXL2	13.105865436317968
RSPO1	AMH	12.714664391665767
AMH	UGR	12.68738005271497
PGD2	FOXL2	12.52999136620362
NR5A1	PGD2	12.44714298054206
SRY	FGF9	12.43302681212923
NR5A1	AMH	12.27457418963943
NR5A1	FGF9	12.108936711381185
WT1mKTS	FOXL2	11.844980949339018
NR0B1	DMRT1	11.809910379018564
DMRT1	FGF9	11.650839257372247
DKK1	AMH	11.314679779990964
WT1mKTS	CTNNB1	11.280948177104484
SOX9	WT1pKTS	11.261504401529997
SRY	DHH	11.173433977547889
DHH	CBX2	11.124238961369565
PGD2	NR5A1	10.790391036702609
CTNNB1	FGF9	10.734598910970645
WT1pKTS	FGF9	10.613454038965578
CBX2	SOX9	10.588380065200733
UGR	FOXL2	10.459077864864646
FOXL2	PGD2	10.429423327974277
AMH	SRY	10.27378912637161
FGF9	FOXL2	10.223999261911002
WT1pKTS	SOX9	10.10983830769257
CBX2	FGF9	9.996880495563055
UGR	SOX9	9.775069216022075
SRY	PGD2	9.6543503158498
WT1pKTS	PGD2	9.446205094403544
GATA4	FOXL2	9.395768914133734
FOXL2	DHH	9.024477410504913
CBX2	DHH	9.012581744694062
CBX2	PGD2	8.98968355823583
WT1pKTS	AMH	8.956220421129638
FOXL2	FGF9	8.492439961061692
CTNNB1	PGD2	8.3367505265929
UGR	PGD2	8.296062821302538
GATA4	WT1pKTS	7.54235195444908
FGF9	WT1pKTS	7.5237037872152435
WT1mKTS	WT1pKTS	7.436226226644418
UGR	DHH	7.398886804251382
FOXL2	AMH	6.969165470116949
DHH	WT1pKTS	6.938409820820411
CTNNB1	AMH	6.823257159539629
CBX2	AMH	6.812347731069572
DHH	FOXL2	5.842220946845192
PGD2	WT1pKTS	5.800623975637429
UGR	AMH	5.468996396693393
AMH	WT1pKTS	5.3880984954593645
AMH	FOXL2	4.975520683825614
UGR	FGF9	3.5280346367287203
