Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.3370212829444777
DKK1	DMRT1	0.3366246651607028
DMRT1	DKK1	0.3184406081460831
UGR	CBX2	0.2995772925477757
FOXL2	WT1pKTS	0.2882945662555635
CTNNB1	RSPO1	0.254858462971643
FGF9	PGD2	0.2523839846493909
PGD2	FGF9	0.251547812813434
CBX2	UGR	0.2414899781338996
RSPO1	CTNNB1	0.2365704872255881
PGD2	DHH	0.23558524356239
RSPO1	WNT4	0.2301262204286545
DHH	AMH	0.228249954996797
FGF9	DHH	0.2265824028354524
DMRT1	SRY	0.2238037816675702
DKK1	SRY	0.2210844998644976
RSPO1	NR5A1	0.2104757161365374
DHH	PGD2	0.2077575818364253
AMH	DHH	0.2072181609610693
PGD2	AMH	0.2043997892197185
DHH	FGF9	0.2030424468301229
AMH	PGD2	0.2015636548813638
FGF9	AMH	0.2011195118382231
SRY	DMRT1	0.1978896836197308
FOXL2	CTNNB1	0.1957877327255451
FGF9	SOX9	0.1953421883772599
AMH	FGF9	0.1949504825525533
CTNNB1	FOXL2	0.1873262934237242
WNT4	NR0B1	0.1808873936458801
SRY	DKK1	0.1794022445917878
WT1mKTS	GATA4	0.1791818271829885
CTNNB1	WNT4	0.1744508680861297
DHH	SOX9	0.172781887579068
GATA4	WT1mKTS	0.1708433970519122
PGD2	SOX9	0.1669359358475557
WNT4	RSPO1	0.1628812788605688
NR5A1	RSPO1	0.1605989377237389
RSPO1	NR0B1	0.1511683222743698
NR0B1	WNT4	0.1469508588768874
SOX9	DKK1	0.1460948076509428
SRY	UGR	0.1370365030200536
CTNNB1	WT1pKTS	0.1339697450627906
NR5A1	FOXL2	0.131335696874629
SRY	WT1pKTS	0.1272248956135455
FOXL2	NR5A1	0.1259916417784135
SOX9	DMRT1	0.1257076172865233
CTNNB1	NR5A1	0.1248147430956381
NR5A1	WT1pKTS	0.1233981471570123
FOXL2	RSPO1	0.1224234383137567
SOX9	FGF9	0.1144145133982318
AMH	SOX9	0.1139078481845269
NR5A1	CTNNB1	0.1137234898723647
SOX9	PGD2	0.1124399367341749
SOX9	DHH	0.1124385212794231
SOX9	SRY	0.1079003560337355
SOX9	AMH	0.1073386956328063
NR0B1	UGR	0.1060814914635738
WT1pKTS	CTNNB1	0.0992017273907621
WT1pKTS	NR5A1	0.0985362143285818
WT1pKTS	WT1mKTS	0.098251869481388
CTNNB1	NR0B1	0.0972188699765779
UGR	GATA4	0.0965533005558261
RSPO1	FOXL2	0.0943840474230427
DKK1	SOX9	0.093575471305367
UGR	WT1mKTS	0.0929261073828078
WNT4	CTNNB1	0.0918174673667309
WT1pKTS	SRY	0.090859477435415
NR5A1	CBX2	0.083623342354197
WT1pKTS	GATA4	0.0811204619897019
DKK1	CBX2	0.0806778953055328
NR0B1	GATA4	0.0773181107620931
UGR	NR0B1	0.0763743611278802
NR5A1	WT1mKTS	0.0752869913980676
DMRT1	CBX2	0.0744171046157535
NR5A1	GATA4	0.0738581894707264
WNT4	UGR	0.0725449240917127
NR0B1	AMH	0.0724870143456053
CBX2	WT1mKTS	0.0721934289374151
NR0B1	RSPO1	0.0712313821458097
DMRT1	SOX9	0.0690294821029992
AMH	NR0B1	0.068046884517309
RSPO1	CBX2	0.0675075489267918
RSPO1	WT1pKTS	0.0672385581929204
SRY	FOXL2	0.0667476866416543
NR0B1	WT1mKTS	0.0654350506625357
PGD2	DKK1	0.0651518043188727
FOXL2	WNT4	0.0626259698157167
CTNNB1	CBX2	0.0623013740513294
SOX9	WNT4	0.0616321248124607
CBX2	GATA4	0.0612470845667166
DKK1	PGD2	0.0608184306951063
FGF9	DKK1	0.0601152574981979
PGD2	DMRT1	0.0599263132522161
SRY	CTNNB1	0.0593836588651491
DKK1	UGR	0.0582152977424748
PGD2	NR0B1	0.0566751259803584
DKK1	AMH	0.0565971157758667
DHH	DKK1	0.0561016192777939
DKK1	FGF9	0.0558426090162904
DHH	DMRT1	0.0554114140892604
NR5A1	WNT4	0.0550729486648882
FGF9	DMRT1	0.0537782709042926
DKK1	DHH	0.0523444991406188
SOX9	NR5A1	0.0522837771957335
RSPO1	UGR	0.0522762128763545
SRY	NR0B1	0.0518965657791817
SRY	NR5A1	0.0517313666509537
WNT4	FOXL2	0.0516440463092894
NR5A1	NR0B1	0.0514134830280568
NR0B1	NR5A1	0.0512932574800287
DMRT1	FGF9	0.0502982721953625
WT1pKTS	RSPO1	0.0499435344258128
WNT4	WT1mKTS	0.0494801019264262
WNT4	GATA4	0.0494320198761949
SRY	GATA4	0.0483397382771422
SOX9	CBX2	0.0481012454785003
SRY	WT1mKTS	0.0479400342612421
DMRT1	AMH	0.0479030466278851
DHH	NR0B1	0.0467908925758836
FGF9	NR0B1	0.0463806825170238
NR0B1	FGF9	0.046321686420793
DMRT1	UGR	0.0452604570578671
NR5A1	SOX9	0.0445029472983321
DMRT1	PGD2	0.0444801329933222
WNT4	NR5A1	0.0438172077183441
DKK1	WT1pKTS	0.0427772000797748
DKK1	CTNNB1	0.0426075086143578
DMRT1	DHH	0.0425789760163872
FGF9	SRY	0.0421368424596086
GATA4	UGR	0.0421153407625277
SRY	CBX2	0.0420875632817603
WT1pKTS	CBX2	0.041990895929998
CBX2	NR5A1	0.0417409235646286
DMRT1	WT1mKTS	0.0407559366361187
NR0B1	CTNNB1	0.0402038215150685
DMRT1	CTNNB1	0.0398199677513191
CTNNB1	SRY	0.0397829567510656
NR0B1	DHH	0.0397248158697408
DKK1	WNT4	0.0394623497099445
UGR	WNT4	0.0392460978020062
WT1mKTS	UGR	0.0387266455866079
CTNNB1	UGR	0.0386698942832954
DMRT1	WT1pKTS	0.0385926222304523
PGD2	SRY	0.0385148182839769
DHH	SRY	0.0384836369809784
NR0B1	PGD2	0.0384709601204012
CTNNB1	GATA4	0.0384342963224795
DMRT1	WNT4	0.0379902515388733
WT1mKTS	WT1pKTS	0.0379500573212291
SRY	SOX9	0.0378918488547083
RSPO1	GATA4	0.0376892884808547
DMRT1	GATA4	0.0373417872278976
DKK1	WT1mKTS	0.0370797534436502
RSPO1	WT1mKTS	0.0367186622175617
AMH	DKK1	0.0362423148277093
DKK1	GATA4	0.0361798184950734
AMH	DMRT1	0.0356540420554765
CTNNB1	WT1mKTS	0.0354224737730831
SOX9	UGR	0.0347706240990873
WNT4	SOX9	0.0344018506749085
SOX9	GATA4	0.032890018014216
WT1mKTS	CBX2	0.0326578803960298
FOXL2	WT1mKTS	0.0324257833123904
SOX9	WT1mKTS	0.0321694147251115
DHH	GATA4	0.0311728903745497
PGD2	GATA4	0.0307929128035282
DMRT1	NR5A1	0.0305373989685754
DHH	WT1mKTS	0.0302599726141124
UGR	SRY	0.0301474121298687
FOXL2	GATA4	0.0298365884220792
AMH	GATA4	0.0298025805308304
CBX2	NR0B1	0.0297959229430294
DKK1	NR5A1	0.0297713687649458
AMH	WT1mKTS	0.0295629132630806
FGF9	GATA4	0.0288090866471008
CBX2	RSPO1	0.0283074779659426
PGD2	WT1mKTS	0.0279425763643855
NR0B1	FOXL2	0.0267068624275982
WNT4	CBX2	0.0263630951724433
SRY	RSPO1	0.0262643729546935
NR0B1	SRY	0.0261844345506258
GATA4	WT1pKTS	0.0260571494317018
FOXL2	CBX2	0.0259238410235393
FGF9	NR5A1	0.025701836329098
SOX9	RSPO1	0.0256892165372614
FGF9	WT1mKTS	0.0253055325487103
NR5A1	UGR	0.0250818196510665
FOXL2	SRY	0.0247914910739934
WT1pKTS	DKK1	0.024710900129481
AMH	SRY	0.0243130860104997
GATA4	CBX2	0.0242544579614446
WT1mKTS	NR0B1	0.0242347017119085
NR0B1	CBX2	0.0237336653650619
CBX2	SRY	0.023457405214331
GATA4	NR5A1	0.0233110013436427
GATA4	NR0B1	0.0230507269220467
DMRT1	NR0B1	0.0229581228169138
FGF9	WNT4	0.0227876157688651
SRY	WNT4	0.0227635008808286
WNT4	DKK1	0.0227106531640143
WNT4	DMRT1	0.0223689284052667
DKK1	FOXL2	0.0223328401233859
SRY	AMH	0.0220982351551323
PGD2	WNT4	0.0215032192729219
NR5A1	SRY	0.0213982301907708
CBX2	DMRT1	0.0213560667174161
DKK1	NR0B1	0.0213283862233399
PGD2	UGR	0.0212743019200165
WNT4	FGF9	0.0212328664978483
WNT4	WT1pKTS	0.0211645437443153
CBX2	DKK1	0.0211130785436063
WNT4	PGD2	0.0207656904774674
SRY	DHH	0.0205837340517764
DMRT1	FOXL2	0.0205551522473301
