	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
E37_5_927	0.0023925531	0.0188524722	2.2042273887	0.0007559984	2.7764191183	0.008130814	2.1943271649	0.0035038986	0.0500686497	2.3239968288	0.000279401	0.000717303	2.391573645	0.0033485928	0.2722856883	1.4523985653	0.0465008734	0.0166821325	2.3065915086
E42_7_69	0.0228187416	0.0372794972	1.6942550889	0.0187628227	2.055143283	0.0119801936	1.3142032812	0.096545823	0.0020635697	1.9796647723	0.0413339457	0.0275177992	1.609681966	0.0156287077	0.0113008188	1.6247242456	0.0005863367	0.0058644892	2.0171525711
E20_7_209	1.735100364	1.9803308799	0.0148483303	1.7539703025	0.004638183	2.127177676	1.9979784237	1.7350588403	2.1877271046	0.0350732253	0.0101004985	1.6048376019	0.014328397	1.570298096	2.5883965912	0.0007223464	0.0070259651	2.1901672293	2.0220111411
E70_2_163	1.1510486973	4.01631e-05	1.3178344282	0.0102110112	0.5119920402	0.0093466524	1.6453074629	2.461829917	1.2600555096	1.4027461437	0.4617783416	0.1525455921	2.2890676082	0.7249821522	2.2779226097	0.0098068443	0.0109600802	0.2283391782	2.2877990946
E107_6_328	1.8905417527	1.9905708456	0.0080868924	1.2897958262	0.0041850032	2.1516214769	1.799296129	2.4150133689	1.500176053	0.002346687	0.0098878506	1.2972776995	0.3337014383	2.0880070216	1.6599462245	0.001198019	0.0931930676	1.2464409962	1.6982089393
E131_7_61	0.0097220821	0.0488232594	2.0212379637	0.0404907465	2.0759023939	0.0041539985	2.4353358494	0.0184507547	0.0350806222	1.4051573762	0.0009011824	0.0057928464	1.5039740596	0.0162079192	0.1694171553	2.0794009243	0.0077034886	0.0035870986	1.7503651989
E135_3_524	2.0531958131	0.1149014964	0.0190962772	0.0179029568	0.0189983765	0.0196393649	1.924629644	2.0882912294	1.9410098797	0.0489069099	0.0018500989	0.0252600574	2.1652802547	1.12717078	2.3293499746	0.0019696502	0.0075436348	1.4263845992	2.0366022108
E106_4_886	0.0238024197	0.0506576449	1.3582920608	0.0152827045	2.0279857478	0.0171648447	2.6857468898	0.0100080446	0.0002372878	2.4648423587	0.0609271859	0.0159645261	1.9218603279	0.0157003932	0.0526113295	2.275982751	0.094533509	0.0237019736	2.2454256992
E49_7_93	1.6130587911	1.8053270847	0.0159001951	1.4872524064	0.0564394134	2.2154917756	2.0373297602	1.6757947512	2.2975787499	0.0096602175	0.0237786533	1.6333025486	0.0032707199	2.4609820611	1.9217100474	0.0010724824	0.0359190687	1.790088293	1.6160179051
E37_7_85	0.00145325	0.0019338604	2.4778880422	0.0081624754	2.0513449096	0.0565101233	1.7462985036	0.0039942132	0.0150595644	2.6220032218	0.0045490447	0.021584182	2.7026427829	0.0002505396	0.0030231184	1.9575346817	0.0254191289	0.0017104963	1.7114487516
E37_5_687	0.0043153985	0.0004603151	1.4701660916	0.0053947666	2.0099069442	0.0067462501	1.7724744354	0.0019256576	0.0198016753	2.7054144695	0.0124294576	0.0020075937	1.8172879051	0.0220529591	0.0845681875	1.6452500554	0.0159306609	0.0165817635	1.6797287176
E108_5_527	0.0007069947	0.0399715764	2.1612104744	0.0942510245	2.3756989688	0.0007748016	1.8892597845	0.0462307983	0.026502783	1.9332788813	0.0006440678	0.0341995709	1.6050625046	0.0076526673	0.0152020881	1.456182717	0.0016239839	0.0898749556	2.2114909118
E51_5_767	2.0708120631	2.0242871495	0.0047265247	1.3358538478	0.0105064323	1.9472782908	1.9861268511	1.9890368034	1.7258103893	0.0047536561	0.0033384381	2.0522438902	0.318406547	1.5492509787	2.1304709526	0.0297435175	0.0235211559	2.6969029796	2.2025375708
E37_6_328	0.0446375843	0.0330340314	1.9487355606	0.0091786913	1.6062507665	0.0531355499	2.0183209693	0.0200364455	0.0102921477	2.0762739379	0.003856032	0.0031293241	2.1827385236	0.0122660014	0.1011240803	2.1855021107	0.0041978229	0.0804624657	1.6140257219
E10_0_881	0.0414027029	0.0271978078	0.0226181504	0.0026626016	0.0017821582	0.0005159668	2.0901432547	7.39309e-05	0.0187659214	0.035510574	1.684493553	0.0075859178	0.018787596	1.5151604879	1.5241583215	0.0003039248	1.9940071478	0.0498844906	1.5164362734
E12_1_362	0.0109089569	0.041972194	0.01086882	0.0013841943	0.0189431447	0.0117893807	1.0644792803	0.0456720259	0.0235732656	0.8289809221	0.7893391486	0.002012731	0.7563549979	1.6852570968	1.1212665415	0.0051184845	0.5652481639	0.0617362935	1.8353377425
E136_6_008	1.9590807166	1.8060343847	0.0418994972	1.9113880817	0.0674871034	2.4270183181	1.8108351641	1.7308633949	1.9804338796	0.0961771267	0.0482171445	1.5749449961	0.0027576643	2.201091471	2.0286737132	0.0226440032	0.0620938592	1.842258099	2.6822260779
E40_5_767	0.0144164161	0.0060727529	1.725489978	0.0169589786	2.2493806525	0.0065465633	1.8420132333	0.0003127444	0.0402076581	2.0237143563	0.0136918478	0.0426924714	1.7283999287	0.0475369138	0.0323029733	1.5385413707	0.0182557975	0.0368909393	1.5975528768
E42_5_847	0.0055417102	7.43692e-05	1.7774012332	0.0069515803	2.1357950112	0.0002674488	2.3325828785	0.0302736755	0.0700396478	2.0683095584	0.0277135847	0.015823811	2.1322789819	0.0799239377	0.0489823468	1.7793204228	0.0042458868	0.0019950475	2.2263980673
E42_1_762	0.0064294854	0.016160256	0.0182490949	0.0021618699	0.0082290692	0.0073614458	1.3752020105	0.0006951336	0.0749435334	1.5943855226	1.0721260888	0.0091280889	1.2521207675	2.469752133	1.6217899511	0.0106201444	0.4388794681	0.015817029	2.1711137916
E36_2_563	0.5128011466	0.0009628992	1.3933319585	0.0384609481	0.9224543463	0.0133065649	1.9449706933	2.0712198192	0.454777245	1.9304964707	0.2351739911	0.0096263416	2.2562332751	1.8288351286	2.3414192227	0.0585947255	0.0684590639	0.2173071562	1.3448898121
E120_2_483	1.453246301	0.0307836684	1.8840657061	0.0099434661	0.1503104162	0.0260183657	2.007190827	1.3535597551	1.944718403	1.9326752433	0.0129467019	0.0063983725	1.892237244	0.041650011	2.4025327127	0.010045107	0.0137374934	0.0408752997	1.8028080215
E112_1_282	0.0178847861	0.0092907516	0.0013800423	0.0412017136	0.0002199652	2.81392e-05	1.899660016	0.3524535658	0.0794539967	0.5641784094	2.2452672256	0.0252670549	0.4434998114	1.8323187431	2.2562703097	0.0368936605	1.0030542074	0.0603817727	2.2002451077
E133_3_444	0.0405228533	0.0003514552	2.1866547606	0.0013261369	1.4293081353	0.0022996829	1.6248720002	0.0557917423	0.0814174547	1.5776597077	0.0004887614	0.0542932724	1.950568528	0.3312523695	1.8071710083	0.0593888718	0.065805602	0.0134065048	1.6444215387
E36_3_925	1.8300418971	0.0075363647	0.2888364052	0.0025085006	0.2217250064	0.0095146473	2.6429977062	1.8100363544	1.5501556725	0.0788347805	0.1114765319	0.0144976968	1.7315470513	0.0110836702	2.217528736	0.0020517798	0.0286505664	0.0159852773	2.0509038631
E112_4_486	2.2762684624	1.685152331	0.0017499937	1.7996956139	0.0098451206	1.8761985005	2.0749741429	1.7868334964	1.9318673491	0.0689393702	0.002864218	2.0304151079	0.0043352444	2.1173011229	1.8788170967	0.0207810637	0.0274083465	2.0937319462	2.0737882169
E31_3_284	2.2523945439	0.017119671	0.3895583417	0.0123797838	0.2197414032	0.0345104297	2.485462662	2.0737777094	1.6236961972	0.7446990702	0.0124712398	0.0055918432	2.3051298901	1.0544180961	2.6507052534	0.0100064722	0.0009809763	0.7170942407	1.858108886
E70_0_481	0.0226895741	0.0380802976	0.0055323254	0.0016126826	0.0037837226	0.0129128259	2.1062130784	0.0549347159	0.0560840488	0.0874077607	1.537805939	0.008787601	0.0003591027	1.8416748634	1.6536141051	0.0004179141	2.3193403049	0.0583492722	1.5759618067
