TF	target	importance
WT1pKTS	FOXL2	0.3370212829444777
DKK1	DMRT1	0.3366246651607028
DMRT1	DKK1	0.31844060814608316
UGR	CBX2	0.29957729254777576
FOXL2	WT1pKTS	0.28829456625556354
CTNNB1	RSPO1	0.254858462971643
FGF9	PGD2	0.2523839846493909
PGD2	FGF9	0.251547812813434
CBX2	UGR	0.24148997813389966
RSPO1	CTNNB1	0.23657048722558813
PGD2	DHH	0.23558524356239008
RSPO1	WNT4	0.23012622042865455
DHH	AMH	0.22824995499679707
FGF9	DHH	0.22658240283545245
DMRT1	SRY	0.22380378166757023
DKK1	SRY	0.22108449986449766
RSPO1	NR5A1	0.21047571613653748
DHH	PGD2	0.20775758183642531
AMH	DHH	0.20721816096106938
PGD2	AMH	0.20439978921971855
DHH	FGF9	0.2030424468301229
AMH	PGD2	0.20156365488136385
FGF9	AMH	0.2011195118382231
SRY	DMRT1	0.19788968361973083
FOXL2	CTNNB1	0.19578773272554514
FGF9	SOX9	0.19534218837725997
AMH	FGF9	0.1949504825525533
CTNNB1	FOXL2	0.18732629342372425
WNT4	NR0B1	0.18088739364588013
SRY	DKK1	0.17940224459178783
WT1mKTS	GATA4	0.17918182718298853
CTNNB1	WNT4	0.1744508680861297
DHH	SOX9	0.17278188757906807
GATA4	WT1mKTS	0.17084339705191226
PGD2	SOX9	0.16693593584755573
WNT4	RSPO1	0.16288127886056888
NR5A1	RSPO1	0.16059893772373898
RSPO1	NR0B1	0.1511683222743698
NR0B1	WNT4	0.1469508588768874
SOX9	DKK1	0.1460948076509428
SRY	UGR	0.13703650302005368
CTNNB1	WT1pKTS	0.1339697450627906
NR5A1	FOXL2	0.13133569687462904
SRY	WT1pKTS	0.1272248956135455
FOXL2	NR5A1	0.12599164177841352
SOX9	DMRT1	0.12570761728652338
CTNNB1	NR5A1	0.12481474309563813
NR5A1	WT1pKTS	0.12339814715701238
FOXL2	RSPO1	0.12242343831375672
SOX9	FGF9	0.1144145133982318
AMH	SOX9	0.11390784818452698
NR5A1	CTNNB1	0.11372348987236479
SOX9	PGD2	0.11243993673417499
SOX9	DHH	0.11243852127942315
SOX9	SRY	0.1079003560337355
SOX9	AMH	0.10733869563280635
NR0B1	UGR	0.10608149146357386
WT1pKTS	CTNNB1	0.09920172739076213
WT1pKTS	NR5A1	0.0985362143285818
WT1pKTS	WT1mKTS	0.09825186948138802
CTNNB1	NR0B1	0.0972188699765779
UGR	GATA4	0.09655330055582612
RSPO1	FOXL2	0.09438404742304277
DKK1	SOX9	0.09357547130536703
UGR	WT1mKTS	0.09292610738280786
WNT4	CTNNB1	0.09181746736673099
WT1pKTS	SRY	0.09085947743541503
NR5A1	CBX2	0.08362334235419709
WT1pKTS	GATA4	0.08112046198970191
DKK1	CBX2	0.08067789530553285
NR0B1	GATA4	0.07731811076209319
UGR	NR0B1	0.07637436112788026
NR5A1	WT1mKTS	0.07528699139806765
DMRT1	CBX2	0.0744171046157535
NR5A1	GATA4	0.07385818947072646
WNT4	UGR	0.07254492409171275
NR0B1	AMH	0.07248701434560538
CBX2	WT1mKTS	0.0721934289374151
NR0B1	RSPO1	0.07123138214580975
DMRT1	SOX9	0.0690294821029992
AMH	NR0B1	0.06804688451730909
RSPO1	CBX2	0.0675075489267918
RSPO1	WT1pKTS	0.0672385581929204
SRY	FOXL2	0.06674768664165434
NR0B1	WT1mKTS	0.06543505066253573
PGD2	DKK1	0.06515180431887277
FOXL2	WNT4	0.06262596981571678
CTNNB1	CBX2	0.06230137405132941
SOX9	WNT4	0.06163212481246075
CBX2	GATA4	0.06124708456671663
DKK1	PGD2	0.06081843069510639
FGF9	DKK1	0.060115257498197926
PGD2	DMRT1	0.0599263132522161
SRY	CTNNB1	0.05938365886514912
DKK1	UGR	0.05821529774247483
PGD2	NR0B1	0.056675125980358454
DKK1	AMH	0.05659711577586673
DHH	DKK1	0.056101619277793925
DKK1	FGF9	0.05584260901629044
DHH	DMRT1	0.05541141408926045
NR5A1	WNT4	0.05507294866488823
FGF9	DMRT1	0.053778270904292685
DKK1	DHH	0.0523444991406188
SOX9	NR5A1	0.05228377719573355
RSPO1	UGR	0.0522762128763545
SRY	NR0B1	0.05189656577918175
SRY	NR5A1	0.051731366650953736
WNT4	FOXL2	0.05164404630928945
NR5A1	NR0B1	0.05141348302805681
NR0B1	NR5A1	0.051293257480028796
DMRT1	FGF9	0.05029827219536251
WT1pKTS	RSPO1	0.049943534425812855
WNT4	WT1mKTS	0.04948010192642629
WNT4	GATA4	0.04943201987619493
SRY	GATA4	0.04833973827714222
SOX9	CBX2	0.04810124547850031
SRY	WT1mKTS	0.047940034261242194
DMRT1	AMH	0.04790304662788513
DHH	NR0B1	0.04679089257588362
FGF9	NR0B1	0.04638068251702385
NR0B1	FGF9	0.046321686420793
DMRT1	UGR	0.04526045705786718
NR5A1	SOX9	0.04450294729833211
DMRT1	PGD2	0.04448013299332221
WNT4	NR5A1	0.0438172077183441
DKK1	WT1pKTS	0.04277720007977481
DKK1	CTNNB1	0.0426075086143578
DMRT1	DHH	0.04257897601638726
FGF9	SRY	0.04213684245960864
GATA4	UGR	0.0421153407625277
SRY	CBX2	0.04208756328176035
WT1pKTS	CBX2	0.041990895929998016
CBX2	NR5A1	0.041740923564628635
DMRT1	WT1mKTS	0.040755936636118706
NR0B1	CTNNB1	0.0402038215150685
DMRT1	CTNNB1	0.03981996775131914
CTNNB1	SRY	0.03978295675106569
NR0B1	DHH	0.03972481586974085
DKK1	WNT4	0.039462349709944555
UGR	WNT4	0.03924609780200621
WT1mKTS	UGR	0.038726645586607905
CTNNB1	UGR	0.03866989428329548
DMRT1	WT1pKTS	0.038592622230452345
PGD2	SRY	0.03851481828397698
DHH	SRY	0.03848363698097848
NR0B1	PGD2	0.03847096012040123
CTNNB1	GATA4	0.03843429632247959
DMRT1	WNT4	0.037990251538873324
WT1mKTS	WT1pKTS	0.037950057321229115
SRY	SOX9	0.03789184885470839
RSPO1	GATA4	0.037689288480854795
DMRT1	GATA4	0.03734178722789769
DKK1	WT1mKTS	0.0370797534436502
RSPO1	WT1mKTS	0.03671866221756173
AMH	DKK1	0.03624231482770932
DKK1	GATA4	0.03617981849507345
AMH	DMRT1	0.03565404205547656
CTNNB1	WT1mKTS	0.035422473773083184
SOX9	UGR	0.03477062409908733
WNT4	SOX9	0.034401850674908564
SOX9	GATA4	0.03289001801421608
WT1mKTS	CBX2	0.03265788039602981
FOXL2	WT1mKTS	0.03242578331239048
SOX9	WT1mKTS	0.03216941472511157
DHH	GATA4	0.031172890374549758
PGD2	GATA4	0.03079291280352821
DMRT1	NR5A1	0.030537398968575477
DHH	WT1mKTS	0.030259972614112476
UGR	SRY	0.030147412129868743
FOXL2	GATA4	0.02983658842207921
AMH	GATA4	0.029802580530830416
CBX2	NR0B1	0.02979592294302948
DKK1	NR5A1	0.029771368764945825
AMH	WT1mKTS	0.029562913263080644
FGF9	GATA4	0.02880908664710081
CBX2	RSPO1	0.028307477965942608
PGD2	WT1mKTS	0.027942576364385522
NR0B1	FOXL2	0.026706862427598222
WNT4	CBX2	0.026363095172443302
SRY	RSPO1	0.02626437295469355
NR0B1	SRY	0.026184434550625815
GATA4	WT1pKTS	0.026057149431701808
FOXL2	CBX2	0.025923841023539302
FGF9	NR5A1	0.02570183632909803
SOX9	RSPO1	0.025689216537261448
FGF9	WT1mKTS	0.02530553254871037
NR5A1	UGR	0.025081819651066532
FOXL2	SRY	0.024791491073993432
WT1pKTS	DKK1	0.024710900129481052
AMH	SRY	0.024313086010499717
GATA4	CBX2	0.02425445796144468
WT1mKTS	NR0B1	0.02423470171190856
NR0B1	CBX2	0.023733665365061902
CBX2	SRY	0.02345740521433107
GATA4	NR5A1	0.023311001343642716
GATA4	NR0B1	0.023050726922046797
DMRT1	NR0B1	0.022958122816913853
FGF9	WNT4	0.022787615768865167
SRY	WNT4	0.02276350088082862
WNT4	DKK1	0.022710653164014386
WNT4	DMRT1	0.022368928405266702
DKK1	FOXL2	0.022332840123385926
SRY	AMH	0.022098235155132314
PGD2	WNT4	0.02150321927292197
NR5A1	SRY	0.021398230190770803
CBX2	DMRT1	0.02135606671741616
DKK1	NR0B1	0.02132838622333998
PGD2	UGR	0.021274301920016572
WNT4	FGF9	0.021232866497848397
WNT4	WT1pKTS	0.021164543744315385
CBX2	DKK1	0.021113078543606337
WNT4	PGD2	0.020765690477467406
SRY	DHH	0.020583734051776405
DMRT1	FOXL2	0.020555152247330174
