Gene1	Gene2	EdgeWeight
DMRT1	DKK1	0.3527797618374942
WT1pKTS	FOXL2	0.3437489129335265
DKK1	DMRT1	0.3280789641628175
FOXL2	WT1pKTS	0.2978576553679427
CTNNB1	RSPO1	0.2745448809090227
UGR	CBX2	0.2728570449794582
RSPO1	CTNNB1	0.2563928097193656
PGD2	FGF9	0.2555965163120695
CBX2	UGR	0.2523050601920717
FGF9	PGD2	0.2460607406461829
DHH	PGD2	0.2370995842361908
DHH	FGF9	0.2366456737258654
PGD2	AMH	0.2318297747163678
DMRT1	SRY	0.2317497601937104
FGF9	DHH	0.2295808765736085
PGD2	DHH	0.2284541246460445
DKK1	SRY	0.2228184414617016
RSPO1	WNT4	0.2221264280260332
DHH	AMH	0.2035856325974596
RSPO1	NR5A1	0.2024031554004269
AMH	DHH	0.201403376437646
SRY	DMRT1	0.198404066006618
FGF9	AMH	0.1969980757684105
SRY	DKK1	0.1906336381296331
FOXL2	CTNNB1	0.1813752458851961
FGF9	SOX9	0.1800917049941389
WNT4	NR0B1	0.1792753095919928
WT1mKTS	GATA4	0.1785908719769334
GATA4	WT1mKTS	0.1739457838534266
CTNNB1	FOXL2	0.172842213059628
DHH	SOX9	0.1719845929091638
AMH	FGF9	0.1717542251275417
AMH	PGD2	0.1715815582716371
CTNNB1	WNT4	0.1690349678260499
PGD2	SOX9	0.1680906914014722
WNT4	RSPO1	0.167203259755529
NR0B1	WNT4	0.1615399054714764
RSPO1	NR0B1	0.1493319551451277
NR5A1	RSPO1	0.1452726967791128
SRY	UGR	0.1431497135088
CTNNB1	WT1pKTS	0.1337453654761235
SOX9	DMRT1	0.1287727849142803
SOX9	DKK1	0.1284967029866339
NR5A1	WT1pKTS	0.1276496072377724
FOXL2	NR5A1	0.1248254229706032
CTNNB1	NR5A1	0.1248190439235295
FOXL2	RSPO1	0.1215492363396887
NR5A1	FOXL2	0.1198148804013374
SOX9	DHH	0.1185397267361701
SRY	WT1pKTS	0.1183108283146091
SOX9	AMH	0.1183013864512084
SOX9	PGD2	0.1132605999177329
AMH	SOX9	0.1123372030030701
RSPO1	FOXL2	0.1109940400996126
SOX9	FGF9	0.1089848851125302
NR5A1	CTNNB1	0.107239766690346
SOX9	SRY	0.1051129585757349
WNT4	CTNNB1	0.1016684973415131
WT1pKTS	WT1mKTS	0.1002666081021751
WT1pKTS	NR5A1	0.0991770070069232
NR0B1	UGR	0.0941703701145823
UGR	GATA4	0.0938741292527234
UGR	WT1mKTS	0.093671510298282
DKK1	SOX9	0.0923840552789474
DKK1	CBX2	0.0899648172374819
CTNNB1	NR0B1	0.0889117577171008
NR5A1	CBX2	0.0852648679307634
WT1pKTS	SRY	0.0850460983918437
WT1pKTS	CTNNB1	0.0848000245242282
DMRT1	CBX2	0.0824995751254435
UGR	NR0B1	0.0822342441468292
WT1pKTS	GATA4	0.0808856039118291
DMRT1	SOX9	0.0794579852702781
AMH	NR0B1	0.0763816426058699
RSPO1	CBX2	0.0758881786346078
NR0B1	GATA4	0.0751533271512694
NR5A1	GATA4	0.073131084030192
NR5A1	WT1mKTS	0.0729147354305637
CBX2	WT1mKTS	0.0703978039511478
WNT4	UGR	0.0690188456583372
SOX9	WNT4	0.0662788778109348
NR0B1	WT1mKTS	0.0659415540533907
SRY	FOXL2	0.0654299343661455
RSPO1	WT1pKTS	0.0644743677853591
FOXL2	WNT4	0.0641513031013808
DHH	DMRT1	0.0627202857934193
NR0B1	AMH	0.0626044299142322
DKK1	FGF9	0.0621471164015647
NR0B1	RSPO1	0.0620672033480095
DKK1	PGD2	0.0616812324231952
CBX2	GATA4	0.0615246299914407
SRY	CTNNB1	0.0607453334575729
FGF9	DKK1	0.0588167076025616
NR5A1	NR0B1	0.0580376691592933
DKK1	AMH	0.0568718109634325
SOX9	NR5A1	0.0568553232632135
CTNNB1	CBX2	0.0566392708897168
FGF9	DMRT1	0.0560227997183362
PGD2	NR0B1	0.054716194821977
SRY	NR0B1	0.0544443957318584
RSPO1	UGR	0.0543994874399433
NR0B1	NR5A1	0.0542386928562384
DKK1	UGR	0.0540257700292473
PGD2	DMRT1	0.054021996290402
DHH	DKK1	0.0533520176332974
NR5A1	WNT4	0.0516250495911946
WNT4	FOXL2	0.051590129253926
WNT4	GATA4	0.0509598621755147
DMRT1	FGF9	0.0509335477698215
SRY	GATA4	0.049474482939745
DMRT1	PGD2	0.049300534397265
WNT4	WT1mKTS	0.0489163066649389
DKK1	DHH	0.0486382183874069
DMRT1	DHH	0.048085008450824
WNT4	NR5A1	0.0479201341271844
DKK1	CTNNB1	0.0477145047407592
WT1pKTS	RSPO1	0.0474639920128275
SRY	NR5A1	0.0472010071171662
NR5A1	SOX9	0.0471009537430508
DMRT1	AMH	0.0468953049511646
FGF9	NR0B1	0.0460319205544315
CBX2	NR5A1	0.045309019158716
NR0B1	CTNNB1	0.0452415890513083
SOX9	CBX2	0.0448168302458099
PGD2	DKK1	0.0445189962318913
SRY	SOX9	0.0435087535489079
DHH	SRY	0.0434918337221491
DHH	NR0B1	0.0432538456151939
CTNNB1	UGR	0.0429953619414734
SRY	WT1mKTS	0.0429747800180377
DMRT1	UGR	0.0429520104966629
DKK1	WNT4	0.0425769012590741
DMRT1	WT1mKTS	0.0424358957533083
DKK1	WT1pKTS	0.0418546506241628
UGR	WNT4	0.0410547779299285
WT1pKTS	CBX2	0.0407762792666844
FGF9	SRY	0.0404562429263057
NR0B1	PGD2	0.0402214761818169
CTNNB1	GATA4	0.0400740165587082
SRY	CBX2	0.0399996518342747
GATA4	UGR	0.0399131936623636
CTNNB1	SRY	0.0396122642064613
WT1mKTS	UGR	0.0389697732199124
NR0B1	FGF9	0.0389159306067257
PGD2	SRY	0.0384322392282777
RSPO1	GATA4	0.0382116210266418
WNT4	SOX9	0.0378144041211322
DMRT1	GATA4	0.0371861953294486
DKK1	WT1mKTS	0.0366824542849476
WT1mKTS	WT1pKTS	0.0364275640526605
SOX9	UGR	0.0363729302579288
DMRT1	CTNNB1	0.0361356070156124
DKK1	GATA4	0.0359331696263919
AMH	DKK1	0.0358083691523653
DMRT1	WT1pKTS	0.035794960399018
RSPO1	WT1mKTS	0.0357704005971405
DMRT1	WNT4	0.0356966120164106
CTNNB1	WT1mKTS	0.0348067353637446
NR0B1	DHH	0.0346343370648972
AMH	DMRT1	0.0346040528890937
SOX9	WT1mKTS	0.0340832760877435
SOX9	GATA4	0.0334524442842139
WT1mKTS	CBX2	0.0331766114125349
FOXL2	WT1mKTS	0.0328702970732521
DMRT1	NR5A1	0.0314059786788205
FOXL2	CBX2	0.0314004041446355
DHH	GATA4	0.0313909183303281
CBX2	NR0B1	0.0308478041012252
UGR	SRY	0.0308137889993956
AMH	GATA4	0.0307424382088882
PGD2	GATA4	0.030073892975876
FOXL2	GATA4	0.0300711435724296
DHH	WT1mKTS	0.029423542977993
FGF9	GATA4	0.0292701686574251
PGD2	WT1mKTS	0.0291786908026628
AMH	WT1mKTS	0.0289288690517941
DKK1	NR5A1	0.0287171198674998
SRY	RSPO1	0.0283319736921684
SOX9	RSPO1	0.0276404328895524
FGF9	WT1mKTS	0.0267907556354501
GATA4	WT1pKTS	0.0264245593833859
NR5A1	UGR	0.0261288517387544
CBX2	RSPO1	0.0259338710626442
NR0B1	FOXL2	0.0257860557086248
DMRT1	FOXL2	0.0252066897855108
GATA4	CBX2	0.0250403704245641
NR0B1	CBX2	0.0246915934934573
WNT4	DKK1	0.0246622337773792
NR0B1	SRY	0.0246219717251208
WNT4	DHH	0.0244876578839403
WT1mKTS	NR0B1	0.0244339896058873
SRY	PGD2	0.0243925487090236
GATA4	NR5A1	0.0237974218200869
AMH	SRY	0.0237220151926428
WNT4	CBX2	0.0236400957366546
CBX2	SRY	0.0234694998045398
SRY	DHH	0.0233144601778716
UGR	RSPO1	0.0232526294061923
FOXL2	SRY	0.0230669189434482
WNT4	DMRT1	0.0230362083447925
CTNNB1	DKK1	0.0230239079558016
SRY	WNT4	0.0229185946354324
DKK1	FOXL2	0.0228812152949595
FGF9	WNT4	0.0224371130478332
WNT4	WT1pKTS	0.0223308343044024
FGF9	NR5A1	0.0222246971455221
DKK1	NR0B1	0.0222222506635277
NR5A1	SRY	0.0219565365170725
GATA4	NR0B1	0.0214507306605991
CTNNB1	DMRT1	0.0214074011060494
WNT4	AMH	0.0212383510303678
CBX2	DKK1	0.0209793237631565
DHH	CBX2	0.0208712261433384
PGD2	UGR	0.0205322719083983
FGF9	UGR	0.0204072400229382
CBX2	CTNNB1	0.0201542409974902
PGD2	CBX2	0.0201233818125548
WT1pKTS	DMRT1	0.0200168628226512
DHH	UGR	0.0199116362243997
WT1mKTS	NR5A1	0.0195024121745446
CBX2	WT1pKTS	0.0193222855246757
PGD2	NR5A1	0.0191592787734492
FGF9	CBX2	0.019131379821413
CBX2	DMRT1	0.019027594629907
DMRT1	NR0B1	0.0188682839805726
CBX2	WNT4	0.0187391108398015
SRY	AMH	0.0186598215986975
AMH	UGR	0.0186105939433388
WT1pKTS	DKK1	0.0185130073399103
DHH	NR5A1	0.0185086024309054
RSPO1	SOX9	0.018224247562439
PGD2	WNT4	0.0181519215928714
AMH	NR5A1	0.0181081311565811
SOX9	NR0B1	0.0174665887507901
SRY	FGF9	0.0173989751711173
DHH	WNT4	0.0171704925403041
WNT4	FGF9	0.0171397195717
WNT4	PGD2	0.0166191059971437
WT1pKTS	UGR	0.0165832716286317
FOXL2	NR0B1	0.0162274868709124
UGR	CTNNB1	0.0161832682602448
WT1pKTS	NR0B1	0.0158639302768101
UGR	NR5A1	0.0158275521285882
DMRT1	RSPO1	0.0156753557140233
WNT4	SRY	0.0156447615960244
UGR	WT1pKTS	0.0149727990264455
RSPO1	SRY	0.014943038056192
SOX9	WT1pKTS	0.0149198482886037
NR5A1	AMH	0.0148369278527081
NR5A1	PGD2	0.0146786037509524
DKK1	RSPO1	0.0146752121423385
NR0B1	WT1pKTS	0.0141606646005435
AMH	CBX2	0.0132184208666059
CBX2	FOXL2	0.0130766583164488
WT1pKTS	WNT4	0.0128543191379533
NR5A1	DMRT1	0.0124928300493143
NR5A1	DHH	0.0122944017713783
NR5A1	DKK1	0.0118622641383837
WT1mKTS	WNT4	0.0118425652283402
UGR	DMRT1	0.0116621704402
AMH	WNT4	0.0113784091042237
NR5A1	FGF9	0.0110907796566139
GATA4	WNT4	0.0104226508407564
SOX9	CTNNB1	0.010317064628653
PGD2	RSPO1	0.0101696034698007
NR0B1	SOX9	0.0098282363610038
FOXL2	UGR	0.0095536180122153
CTNNB1	SOX9	0.0095283231230567
FGF9	RSPO1	0.0092877875718351
RSPO1	DKK1	0.009235041920632
UGR	FOXL2	0.0092044616457465
PGD2	WT1pKTS	0.0090550634769515
UGR	DKK1	0.0090038633764218
RSPO1	DMRT1	0.0088560809861549
FGF9	WT1pKTS	0.0087628912516372
WT1mKTS	FOXL2	0.0086603084136069
SOX9	FOXL2	0.008268882798983
FOXL2	DMRT1	0.0081024882235044
RSPO1	DHH	0.0078517210106719
GATA4	SRY	0.0077232011232495
FOXL2	DKK1	0.0076704908016212
RSPO1	FGF9	0.0073754830016013
WT1mKTS	SRY	0.0073184293361293
CBX2	SOX9	0.0071690495435793
DHH	RSPO1	0.0070538258213218
DHH	WT1pKTS	0.0070326625270948
WT1mKTS	CTNNB1	0.0070124217678279
WT1mKTS	RSPO1	0.0069097947641324
AMH	WT1pKTS	0.0069033923586109
GATA4	RSPO1	0.0066569226590268
AMH	RSPO1	0.006311321662773
GATA4	CTNNB1	0.0061723356417841
RSPO1	PGD2	0.0061690192479732
GATA4	FOXL2	0.0060912621447283
UGR	SOX9	0.0060902971442731
RSPO1	AMH	0.0058778688576208
FGF9	CTNNB1	0.0056249682534942
WT1pKTS	SOX9	0.0055628882444634
NR0B1	DMRT1	0.0055078028094763
DHH	CTNNB1	0.00483884019939
