TF	target	importance
DMRT1	DKK1	0.35277976183749427
WT1pKTS	FOXL2	0.3437489129335265
DKK1	DMRT1	0.3280789641628175
FOXL2	WT1pKTS	0.29785765536794273
CTNNB1	RSPO1	0.27454488090902274
UGR	CBX2	0.27285704497945823
RSPO1	CTNNB1	0.2563928097193656
PGD2	FGF9	0.2555965163120695
CBX2	UGR	0.2523050601920717
FGF9	PGD2	0.24606074064618297
DHH	PGD2	0.23709958423619082
DHH	FGF9	0.2366456737258654
PGD2	AMH	0.23182977471636781
DMRT1	SRY	0.2317497601937104
FGF9	DHH	0.22958087657360854
PGD2	DHH	0.2284541246460445
DKK1	SRY	0.22281844146170163
RSPO1	WNT4	0.22212642802603327
DHH	AMH	0.20358563259745968
RSPO1	NR5A1	0.2024031554004269
AMH	DHH	0.201403376437646
SRY	DMRT1	0.19840406600661809
FGF9	AMH	0.1969980757684105
SRY	DKK1	0.1906336381296331
FOXL2	CTNNB1	0.18137524588519616
FGF9	SOX9	0.18009170499413896
WNT4	NR0B1	0.17927530959199287
WT1mKTS	GATA4	0.17859087197693344
GATA4	WT1mKTS	0.17394578385342668
CTNNB1	FOXL2	0.17284221305962807
DHH	SOX9	0.17198459290916387
AMH	FGF9	0.1717542251275417
AMH	PGD2	0.17158155827163718
CTNNB1	WNT4	0.16903496782604996
PGD2	SOX9	0.1680906914014722
WNT4	RSPO1	0.16720325975552905
NR0B1	WNT4	0.1615399054714764
RSPO1	NR0B1	0.14933195514512776
NR5A1	RSPO1	0.14527269677911284
SRY	UGR	0.14314971350880007
CTNNB1	WT1pKTS	0.1337453654761235
SOX9	DMRT1	0.1287727849142803
SOX9	DKK1	0.12849670298663393
NR5A1	WT1pKTS	0.12764960723777247
FOXL2	NR5A1	0.12482542297060327
CTNNB1	NR5A1	0.12481904392352955
FOXL2	RSPO1	0.12154923633968873
NR5A1	FOXL2	0.11981488040133742
SOX9	DHH	0.11853972673617018
SRY	WT1pKTS	0.11831082831460911
SOX9	AMH	0.11830138645120843
SOX9	PGD2	0.1132605999177329
AMH	SOX9	0.11233720300307011
RSPO1	FOXL2	0.1109940400996126
SOX9	FGF9	0.10898488511253024
NR5A1	CTNNB1	0.10723976669034602
SOX9	SRY	0.10511295857573494
WNT4	CTNNB1	0.10166849734151319
WT1pKTS	WT1mKTS	0.10026660810217514
WT1pKTS	NR5A1	0.09917700700692327
NR0B1	UGR	0.09417037011458239
UGR	GATA4	0.09387412925272347
UGR	WT1mKTS	0.09367151029828207
DKK1	SOX9	0.09238405527894744
DKK1	CBX2	0.0899648172374819
CTNNB1	NR0B1	0.08891175771710083
NR5A1	CBX2	0.0852648679307634
WT1pKTS	SRY	0.0850460983918437
WT1pKTS	CTNNB1	0.0848000245242282
DMRT1	CBX2	0.08249957512544358
UGR	NR0B1	0.08223424414682927
WT1pKTS	GATA4	0.08088560391182915
DMRT1	SOX9	0.07945798527027816
AMH	NR0B1	0.07638164260586994
RSPO1	CBX2	0.07588817863460788
NR0B1	GATA4	0.0751533271512694
NR5A1	GATA4	0.07313108403019207
NR5A1	WT1mKTS	0.07291473543056379
CBX2	WT1mKTS	0.07039780395114782
WNT4	UGR	0.06901884565833726
SOX9	WNT4	0.06627887781093486
NR0B1	WT1mKTS	0.06594155405339078
SRY	FOXL2	0.06542993436614557
RSPO1	WT1pKTS	0.06447436778535913
FOXL2	WNT4	0.0641513031013808
DHH	DMRT1	0.06272028579341939
NR0B1	AMH	0.06260442991423228
DKK1	FGF9	0.062147116401564735
NR0B1	RSPO1	0.062067203348009525
DKK1	PGD2	0.06168123242319521
CBX2	GATA4	0.061524629991440725
SRY	CTNNB1	0.06074533345757296
FGF9	DKK1	0.05881670760256166
NR5A1	NR0B1	0.0580376691592933
DKK1	AMH	0.056871810963432565
SOX9	NR5A1	0.056855323263213534
CTNNB1	CBX2	0.05663927088971688
FGF9	DMRT1	0.056022799718336264
PGD2	NR0B1	0.05471619482197707
SRY	NR0B1	0.05444439573185848
RSPO1	UGR	0.05439948743994339
NR0B1	NR5A1	0.054238692856238405
DKK1	UGR	0.05402577002924733
PGD2	DMRT1	0.05402199629040205
DHH	DKK1	0.053352017633297465
NR5A1	WNT4	0.051625049591194606
WNT4	FOXL2	0.05159012925392603
WNT4	GATA4	0.05095986217551474
DMRT1	FGF9	0.05093354776982155
SRY	GATA4	0.049474482939745074
DMRT1	PGD2	0.049300534397265054
WNT4	WT1mKTS	0.048916306664938965
DKK1	DHH	0.04863821838740693
DMRT1	DHH	0.04808500845082406
WNT4	NR5A1	0.047920134127184405
DKK1	CTNNB1	0.04771450474075924
WT1pKTS	RSPO1	0.04746399201282758
SRY	NR5A1	0.04720100711716625
NR5A1	SOX9	0.04710095374305087
DMRT1	AMH	0.0468953049511646
FGF9	NR0B1	0.04603192055443155
