Gene1	Gene2	EdgeWeight
DMRT1	DKK1	194.3491072007182
DKK1	DMRT1	188.55930930475915
FOXL2	WT1pKTS	173.96734928550984
UGR	CBX2	160.25894043486784
CBX2	UGR	142.86977414126952
PGD2	FGF9	138.6592358709376
CTNNB1	WT1pKTS	132.18439121020614
FGF9	PGD2	131.9665468916136
WT1pKTS	FOXL2	131.76781883339186
DKK1	SRY	129.88924707339157
SRY	DMRT1	127.0726786130028
AMH	PGD2	118.82475743372302
DMRT1	SRY	117.05197663435038
CTNNB1	FOXL2	115.42288521581396
NR5A1	WT1pKTS	113.21036291514268
NR0B1	WNT4	109.89173286652596
SRY	DKK1	108.72534553749242
GATA4	WT1mKTS	106.6089101684764
DHH	AMH	105.54806510009573
CTNNB1	NR5A1	99.7472447002172
WT1mKTS	GATA4	98.70901451671226
RSPO1	NR5A1	97.02884704182212
PGD2	DHH	94.90327923318712
SOX9	DKK1	94.66400111311376
RSPO1	WNT4	92.48164174098456
NR5A1	FOXL2	92.09639229880464
RSPO1	CTNNB1	91.29085528267858
PGD2	AMH	90.90131571251966
CTNNB1	WNT4	89.63456951267109
DHH	FGF9	88.98213300607716
FOXL2	NR5A1	88.97023364662243
CTNNB1	RSPO1	88.45444001125938
SOX9	PGD2	87.75265939788564
SOX9	DMRT1	86.35734695850235
FGF9	DHH	86.09245048447318
SRY	WT1pKTS	85.24967466716588
FGF9	AMH	83.90831080726815
NR0B1	UGR	83.86709771206301
WNT4	RSPO1	83.44861039543773
WT1pKTS	CTNNB1	81.67284478455095
AMH	FGF9	81.66696467713041
WNT4	NR0B1	80.16108191142311
AMH	DHH	77.45951528077849
DHH	DKK1	75.78824991883823
NR5A1	CBX2	73.39948223397973
WT1pKTS	NR5A1	73.23457695489144
SOX9	SRY	72.43941051722464
SRY	NR5A1	72.4215982302064
SRY	FOXL2	72.11106791202025
DMRT1	CBX2	72.04381910175867
FOXL2	CTNNB1	70.5273276183667
RSPO1	CBX2	70.35492353390175
DHH	PGD2	69.96871020134049
DKK1	FGF9	67.0539636482955
RSPO1	WT1pKTS	66.15939978494744
NR5A1	CTNNB1	65.8463784067283
AMH	SOX9	65.60338390258181
NR5A1	RSPO1	64.91525408464408
CTNNB1	CBX2	64.86926382972561
RSPO1	FOXL2	63.65961209047493
NR0B1	NR5A1	63.41460590523629
