	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.708716315564676	-0.44888945574505124	0.7084494058020246	-0.553790555341971	0.7126012403785275	0.19114894989677766	0.8679223504818715	0.9598976602222361	-0.5707248669722724	-0.3258134851408664	0.7002667788361215	-0.32493686672368105	0.41034481817288504	0.5659656253238856	-0.4780293000912637	-0.3019917349795089	0.8110824548474167	0.15885417710683525
FGF9	0.708716315564676	1.0	-0.45441772515951445	0.9654248350463672	-0.4124618737919788	0.9674079224902232	0.1316504496962027	0.6260106180372025	0.7160161079317834	-0.5636512550600836	-0.24500954391526295	0.9605962599810055	-0.6074352315425097	0.5302918343770517	0.3949797844753081	-0.33301449293439095	-0.20849885099649068	0.8794126095151928	0.0898786976878376
RSPO1	-0.44888945574505124	-0.45441772515951445	1.0	-0.45322212559989744	0.8894643047172152	-0.45526746040272137	0.22812661931402936	-0.4979628286567052	-0.4554138796174872	0.8182871400182692	-0.4328477663975323	-0.44791352746138813	0.7045928839491009	-0.7935321531233738	-0.657075332378244	0.7688627369024368	-0.4160944128071406	-0.5161957656346896	0.22943122914972072
DHH	0.7084494058020246	0.9654248350463672	-0.45322212559989744	1.0	-0.41168423080100125	0.9651443553013275	0.13482217352331122	0.6272071282803514	0.7158394774127875	-0.5622858808902194	-0.2456155088656425	0.9605275972089545	-0.6055826379558895	0.5296344050634166	0.39528749387939016	-0.33235202863678937	-0.20960109354723402	0.8784173462199119	0.0981204126742007
CTNNB1	-0.553790555341971	-0.4124618737919788	0.8894643047172152	-0.41168423080100125	1.0	-0.41429985457619795	0.20942141324973773	-0.601102175686467	-0.5547913128382745	0.762968463845067	-0.404538034071885	-0.4068395878379611	0.6435726400325282	-0.7447973927255636	-0.742617608090649	0.8431130658021765	-0.3806721295571851	-0.4772554175983498	0.20701816349704769
PGD2	0.7126012403785275	0.9674079224902232	-0.45526746040272137	0.9651443553013275	-0.41429985457619795	1.0	0.13680514995442244	0.628941256996641	0.7172555845444072	-0.5644143042584658	-0.2470439466525444	0.9607803916922224	-0.6094174392957352	0.5299221933486421	0.39742714918371347	-0.3351144841447247	-0.2100432318697249	0.8815186327668952	0.0978385377040899
WT1mKTS	0.19114894989677766	0.1316504496962027	0.22812661931402936	0.13482217352331122	0.20942141324973773	0.13680514995442244	1.0	0.20031811083399978	0.1908291266866019	0.23519626285798748	-0.17644876702651213	0.1376192646543956	0.3148007089861012	-0.007687752366249639	0.07937422318627355	0.19781545617420615	-0.37418838122300485	0.15816996950513218	0.5192471094052368
SRY	0.8679223504818715	0.6260106180372025	-0.4979628286567052	0.6272071282803514	-0.601102175686467	0.628941256996641	0.20031811083399978	1.0	0.867758109461259	-0.4706482698418508	-0.1605655718074541	0.6160725671598011	-0.2441805745364342	0.5354943509314927	0.6760467460365513	-0.5697115787484902	-0.3185278372764835	0.7242746352590327	0.19717939569173584
DKK1	0.9598976602222361	0.7160161079317834	-0.4554138796174872	0.7158394774127875	-0.5547913128382745	0.7172555845444072	0.1908291266866019	0.867758109461259	1.0	-0.5772223982484446	-0.32491888881427333	0.7081796056859639	-0.33406063414733184	0.4166639621870308	0.5711172121926799	-0.4784075453809104	-0.30154457041517824	0.8192054799008012	0.16299010315133275
WNT4	-0.5707248669722724	-0.5636512550600836	0.8182871400182692	-0.5622858808902194	0.762968463845067	-0.5644143042584658	0.23519626285798748	-0.4706482698418508	-0.5772223982484446	1.0	-0.20025494863169901	-0.5554886236494175	0.7672485328463747	-0.5973155186924084	-0.48933886619781297	0.6228144163469694	-0.388886505212802	-0.630404616546015	0.2673366111744664
CBX2	-0.3258134851408664	-0.24500954391526295	-0.4328477663975323	-0.2456155088656425	-0.404538034071885	-0.2470439466525444	-0.17644876702651213	-0.1605655718074541	-0.32491888881427333	-0.20025494863169901	1.0	-0.2429210603862116	-0.29216805441066424	0.4003455561295554	0.2808005583400547	-0.35650877143285453	0.7534166285505625	-0.27939749966406574	-0.16194954211200832
AMH	0.7002667788361215	0.9605962599810055	-0.44791352746138813	0.9605275972089545	-0.4068395878379611	0.9607803916922224	0.1376192646543956	0.6160725671598011	0.7081796056859639	-0.5554886236494175	-0.2429210603862116	1.0	-0.6112125264297799	0.5247695546470601	0.3912363845222694	-0.3299389832098902	-0.2065259578257933	0.8662490431761567	0.10293730618072743
NR0B1	-0.32493686672368105	-0.6074352315425097	0.7045928839491009	-0.6055826379558895	0.6435726400325282	-0.6094174392957352	0.3148007089861012	-0.2441805745364342	-0.33406063414733184	0.7672485328463747	-0.29216805441066424	-0.6112125264297799	1.0	-0.5868822696341321	-0.36441415991232884	0.5274404686778353	-0.47674720463692216	-0.5073935623764891	0.3213209006876139
NR5A1	0.41034481817288504	0.5302918343770517	-0.7935321531233738	0.5296344050634166	-0.7447973927255636	0.5299221933486421	-0.007687752366249639	0.5354943509314927	0.4166639621870308	-0.5973155186924084	0.4003455561295554	0.5247695546470601	-0.5868822696341321	1.0	0.7092379484480645	-0.705683728532289	0.23955530081688528	0.5792734136962757	0.005655124591955795
WT1pKTS	0.5659656253238856	0.3949797844753081	-0.657075332378244	0.39528749387939016	-0.742617608090649	0.39742714918371347	0.07937422318627355	0.6760467460365513	0.5711172121926799	-0.48933886619781297	0.2808005583400547	0.3912363845222694	-0.36441415991232884	0.7092379484480645	1.0	-0.8690516440740962	0.11275175052185939	0.45855524202912784	0.08043172007688315
FOXL2	-0.4780293000912637	-0.33301449293439095	0.7688627369024368	-0.33235202863678937	0.8431130658021765	-0.3351144841447247	0.19781545617420615	-0.5697115787484902	-0.4784075453809104	0.6228144163469694	-0.35650877143285453	-0.3299389832098902	0.5274404686778353	-0.705683728532289	-0.8690516440740962	1.0	-0.30788264910051044	-0.3904151032906538	0.18034546371432944
UGR	-0.3019917349795089	-0.20849885099649068	-0.4160944128071406	-0.20960109354723402	-0.3806721295571851	-0.2100432318697249	-0.37418838122300485	-0.3185278372764835	-0.30154457041517824	-0.388886505212802	0.7534166285505625	-0.2065259578257933	-0.47674720463692216	0.23955530081688528	0.11275175052185939	-0.30788264910051044	1.0	-0.24430691478099376	-0.3811210056598659
SOX9	0.8110824548474167	0.8794126095151928	-0.5161957656346896	0.8784173462199119	-0.4772554175983498	0.8815186327668952	0.15816996950513218	0.7242746352590327	0.8192054799008012	-0.630404616546015	-0.27939749966406574	0.8662490431761567	-0.5073935623764891	0.5792734136962757	0.45855524202912784	-0.3904151032906538	-0.24430691478099376	1.0	0.11624667430321102
