Gene1	Gene2	EdgeWeight
SRY	DMRT1	0.3789714791691794
DMRT1	SRY	0.3744586733524362
CTNNB1	RSPO1	0.3445688359258528
DMRT1	SOX9	0.3068092222687134
RSPO1	WNT4	0.2922940469127463
CTNNB1	FOXL2	0.2853138421092533
RSPO1	CTNNB1	0.2816600147838433
RSPO1	NR5A1	0.2663850545820598
FOXL2	CTNNB1	0.25754934263934
WNT4	NR0B1	0.255534211078294
NR5A1	FOXL2	0.2452362660183188
SOX9	DMRT1	0.244572918697416
RSPO1	NR0B1	0.2084461490107945
SOX9	SRY	0.2026443027680716
DMRT1	CBX2	0.1976257379081581
CTNNB1	WNT4	0.1928772844754395
SRY	SOX9	0.1862044089339148
NR0B1	WNT4	0.1774107949500834
NR5A1	RSPO1	0.1712149345898739
WNT4	RSPO1	0.16377932802066
NR5A1	GATA4	0.159290721750762
CTNNB1	NR5A1	0.158818986093302
FOXL2	NR5A1	0.158735720951486
WNT4	SOX9	0.1485386055349832
RSPO1	FOXL2	0.1444830779947128
NR5A1	CBX2	0.1404300766959589
FOXL2	RSPO1	0.138389473927295
NR5A1	SOX9	0.1374732807104735
SOX9	CBX2	0.1373524498734026
NR0B1	GATA4	0.1359963323017502
WNT4	CTNNB1	0.1292466661906048
CTNNB1	NR0B1	0.1237724350488659
RSPO1	CBX2	0.1236096028776941
SRY	GATA4	0.1167219744252838
CBX2	GATA4	0.1163238643059419
NR5A1	NR0B1	0.1147526515813054
NR5A1	CTNNB1	0.1135656054513943
SRY	CBX2	0.1133770395330132
CTNNB1	SRY	0.1122556469659773
SRY	FOXL2	0.1085831949075502
CTNNB1	CBX2	0.0977550117099861
DMRT1	GATA4	0.0958345039471138
WNT4	GATA4	0.0937882682356624
WNT4	DMRT1	0.0854032131504771
CBX2	DMRT1	0.0851355691922523
SOX9	GATA4	0.083505701432866
FOXL2	WNT4	0.0759556275330608
RSPO1	GATA4	0.0742355165534417
CTNNB1	DMRT1	0.0742337350410926
SOX9	WNT4	0.0735479878006407
WNT4	FOXL2	0.072971759050545
SOX9	NR5A1	0.0728243148602819
NR0B1	NR5A1	0.0726364437358684
SOX9	NR0B1	0.071684786737088
NR0B1	RSPO1	0.0709350861285285
CTNNB1	GATA4	0.0703580464523143
SRY	CTNNB1	0.0685538050462132
FOXL2	SRY	0.0673107367604307
DMRT1	CTNNB1	0.0642009946484702
SRY	NR5A1	0.0641632225867942
SRY	NR0B1	0.0630702813860507
RSPO1	SOX9	0.0630153639894196
CBX2	SOX9	0.0610495529060363
WNT4	CBX2	0.0603519382234504
NR5A1	WNT4	0.0582981172959621
WNT4	NR5A1	0.0557408382029927
NR0B1	SOX9	0.0549585541842079
CBX2	NR5A1	0.0547591201092527
FOXL2	GATA4	0.0539450705948637
FOXL2	NR0B1	0.0526670445413495
DMRT1	WNT4	0.0519115086009271
CBX2	SRY	0.0509715631026071
GATA4	CBX2	0.0492208764075511
DMRT1	FOXL2	0.0489396535086484
DMRT1	NR5A1	0.0482440329623729
GATA4	NR5A1	0.0476922659155889
NR0B1	CTNNB1	0.0475782685138174
NR5A1	SRY	0.0465452816962075
NR0B1	SRY	0.0441589949556201
RSPO1	SRY	0.0421193285029884
GATA4	NR0B1	0.0411109620449222
NR0B1	CBX2	0.0409453318877685
NR0B1	FOXL2	0.0396004259466685
NR5A1	DMRT1	0.0394099035239312
FOXL2	CBX2	0.0393319348830164
WNT4	SRY	0.0353807432869455
SRY	WNT4	0.0349399419978201
DMRT1	NR0B1	0.0346612131989665
CBX2	NR0B1	0.0343002653723628
FOXL2	DMRT1	0.0334395753323728
RSPO1	DMRT1	0.0293215265479171
CBX2	RSPO1	0.0274427047822396
SOX9	RSPO1	0.027162904141331
CBX2	WNT4	0.026506235844771
CTNNB1	SOX9	0.0241806992188227
GATA4	SRY	0.0241547286087152
SRY	RSPO1	0.0239227707986631
DMRT1	RSPO1	0.0229175292828055
CBX2	FOXL2	0.0216529355743503
CBX2	CTNNB1	0.0188035348169689
SOX9	FOXL2	0.0176957504634095
GATA4	WNT4	0.0162584545885485
GATA4	DMRT1	0.0161988586366887
GATA4	FOXL2	0.0155230944265428
NR0B1	DMRT1	0.0133132207086722
GATA4	SOX9	0.0104895778444796
SOX9	CTNNB1	0.010260629132075
GATA4	RSPO1	0.0096664324027502
GATA4	CTNNB1	0.0085811387772726
FOXL2	SOX9	0.0072807344089488
