Gene1	Gene2	EdgeWeight
DMRT1	SRY	164.174777445318
SRY	DMRT1	159.43073338718753
SOX9	DMRT1	156.91341968845796
RSPO1	NR5A1	153.69326401003224
RSPO1	WNT4	134.93685162095628
SOX9	SRY	131.76962237577638
DMRT1	CBX2	131.11055835467224
RSPO1	NR0B1	130.65339544273542
NR0B1	WNT4	125.85999482366174
FOXL2	NR5A1	123.79541309894236
DMRT1	SOX9	121.14389266992949
NR5A1	CBX2	112.1684673347877
SOX9	CBX2	107.49001525382548
RSPO1	FOXL2	106.70628010910043
RSPO1	CTNNB1	105.04241713540264
FOXL2	CTNNB1	103.48661285654102
WNT4	NR0B1	96.39333464361032
NR5A1	CTNNB1	94.30014778528448
CBX2	DMRT1	93.95864937001132
SOX9	NR5A1	93.73726466305122
CTNNB1	RSPO1	92.7151745861969
WNT4	CBX2	91.0481342958515
NR5A1	RSPO1	88.03308609287004
CTNNB1	FOXL2	88.03010478909611
SRY	SOX9	85.92564248366284
WNT4	RSPO1	85.15676026027909
NR5A1	FOXL2	85.12220186989109
CTNNB1	NR5A1	81.37173614113891
WNT4	SOX9	81.18378494403167
CTNNB1	WNT4	80.77581678573706
DMRT1	WNT4	79.68638422168094
CTNNB1	SRY	79.33412342275933
CTNNB1	DMRT1	79.09658441374005
NR5A1	NR0B1	78.24988389086043
RSPO1	CBX2	76.1627448475108
SRY	NR5A1	72.30538018638829
WNT4	CTNNB1	70.87731470643628
SRY	CBX2	70.6784482908787
FOXL2	SRY	69.29650632818401
FOXL2	RSPO1	68.86628078604845
NR0B1	NR5A1	67.44054193834492
NR0B1	RSPO1	65.69084896258698
NR0B1	GATA4	65.10621002785513
WNT4	NR5A1	64.94293696677379
FOXL2	WNT4	64.43550135290674
NR5A1	WNT4	62.13298764334749
SRY	FOXL2	61.835921578988504
SOX9	NR0B1	60.95949210546452
NR5A1	SRY	59.87171058835062
SRY	CTNNB1	59.11625320044018
CTNNB1	CBX2	58.1552232912451
CBX2	NR5A1	52.16842020459119
NR0B1	CTNNB1	52.09895311655146
CTNNB1	NR0B1	51.80333961723736
WNT4	GATA4	50.126913741639456
NR0B1	CBX2	48.27523075230768
CBX2	GATA4	47.910935593995774
SRY	GATA4	46.55660394292647
CBX2	SRY	46.22867729441037
NR5A1	GATA4	46.10308322783687
FOXL2	CBX2	45.6129312750978
NR5A1	SOX9	45.46792132440787
CBX2	SOX9	45.373233894184395
SOX9	WNT4	44.766338395263915
NR0B1	FOXL2	44.64131531492686
RSPO1	SOX9	44.321863999499286
RSPO1	GATA4	44.036281071505265
WNT4	DMRT1	43.21901235674937
DMRT1	FOXL2	43.05677103340469
WNT4	FOXL2	42.89104929762773
SRY	WNT4	42.649888081816854
DMRT1	NR5A1	42.6205192407172
RSPO1	SRY	42.099828044262175
WNT4	SRY	41.75206908662233
DMRT1	CTNNB1	40.48907682766718
CTNNB1	GATA4	40.07933909982863
CTNNB1	SOX9	39.14596095080591
DMRT1	GATA4	38.472240240421506
SOX9	GATA4	38.29956326709771
FOXL2	NR0B1	37.795716389013464
NR0B1	SOX9	37.47483881528736
SOX9	RSPO1	37.40849251562343
CBX2	NR0B1	37.330552828611374
SRY	NR0B1	37.281548695772095
NR5A1	DMRT1	37.179368901901384
RSPO1	DMRT1	34.93127199081793
GATA4	NR0B1	32.43413070694387
CBX2	FOXL2	32.09406814717812
CBX2	RSPO1	31.666050027550323
CBX2	CTNNB1	29.683770748931735
SRY	RSPO1	29.146128052327896
GATA4	CBX2	26.29824630382297
NR0B1	SRY	25.6559471498228
GATA4	WNT4	24.87774022322328
FOXL2	DMRT1	24.49537666622825
GATA4	NR5A1	23.924523550020016
DMRT1	NR0B1	23.098605679751135
CBX2	WNT4	22.87849685140572
SOX9	CTNNB1	21.048845024550296
GATA4	SRY	19.816738264494028
DMRT1	RSPO1	19.35451099562457
FOXL2	GATA4	19.30882978689322
NR0B1	DMRT1	17.252568668716155
SOX9	FOXL2	17.043173378318183
GATA4	CTNNB1	14.856608598194804
GATA4	DMRT1	14.52301455619003
GATA4	SOX9	11.562554051132627
FOXL2	SOX9	10.400306867058498
GATA4	RSPO1	6.962667720892381
GATA4	FOXL2	6.579114481468234
