Gene1	Gene2	EdgeWeight
DMRT1	SRY	1.902466953371074
SRY	DMRT1	1.902466953371074
DMRT1	SOX9	1.853685888227726
SOX9	DMRT1	1.853685888227726
WNT4	NR0B1	1.8278542603193653
NR0B1	WNT4	1.8278542603193653
CBX2	GATA4	1.8200067748159223
GATA4	CBX2	1.8200067748159223
RSPO1	CTNNB1	1.8141972470119585
CTNNB1	RSPO1	1.8141972470119585
NR5A1	FOXL2	1.7598690454294468
FOXL2	NR5A1	1.7598690454294468
SRY	SOX9	1.7423744530515703
SOX9	SRY	1.7423744530515703
RSPO1	NR5A1	1.733198544678842
NR5A1	RSPO1	1.733198544678842
RSPO1	WNT4	1.7225706960550318
WNT4	RSPO1	1.7225706960550318
CTNNB1	FOXL2	1.7217925854312854
FOXL2	CTNNB1	1.7217925854312854
RSPO1	NR0B1	1.6436933230677129
NR0B1	RSPO1	1.6436933230677129
CTNNB1	WNT4	1.6063304616537848
WNT4	CTNNB1	1.6063304616537848
RSPO1	FOXL2	1.5565291469449718
FOXL2	RSPO1	1.5565291469449718
CTNNB1	NR5A1	1.4688092917290918
NR5A1	CTNNB1	1.4688092917290918
NR0B1	NR5A1	1.435450209750779
NR5A1	NR0B1	1.435450209750779
SRY	FOXL2	1.4162034428102772
FOXL2	SRY	1.4162034428102772
WNT4	SOX9	1.3870322049593429
SOX9	WNT4	1.3870322049593429
CTNNB1	NR0B1	1.3573020285202353
NR0B1	CTNNB1	1.3573020285202353
NR5A1	GATA4	1.3180690154801744
GATA4	NR5A1	1.3180690154801744
DMRT1	CTNNB1	1.2837939483141445
CTNNB1	DMRT1	1.2837939483141445
NR0B1	GATA4	1.2772088662571337
GATA4	NR0B1	1.2772088662571337
CTNNB1	SRY	1.2609859201058486
SRY	CTNNB1	1.2609859201058486
CBX2	NR5A1	1.19643207685056
NR5A1	CBX2	1.19643207685056
WNT4	FOXL2	1.158070854262689
FOXL2	WNT4	1.158070854262689
NR5A1	SOX9	1.1232587046466098
SOX9	NR5A1	1.1232587046466098
DMRT1	WNT4	1.103344972919662
WNT4	DMRT1	1.103344972919662
RSPO1	CBX2	1.053152892053411
CBX2	RSPO1	1.053152892053411
NR0B1	FOXL2	0.989599205784515
FOXL2	NR0B1	0.989599205784515
NR0B1	SOX9	0.9689757906604788
SOX9	NR0B1	0.9689757906604788
CTNNB1	CBX2	0.9670412692915272
CBX2	CTNNB1	0.9670412692915272
DMRT1	FOXL2	0.9596748370706109
FOXL2	DMRT1	0.9596748370706109
SRY	NR5A1	0.95381838026124
NR5A1	SRY	0.95381838026124
CBX2	FOXL2	0.93387749827256
FOXL2	CBX2	0.93387749827256
WNT4	NR5A1	0.8745071048087726
NR5A1	WNT4	0.8745071048087726
RSPO1	SOX9	0.8716773309837074
SOX9	RSPO1	0.8716773309837074
DMRT1	CBX2	0.7599964295039516
CBX2	DMRT1	0.7599964295039516
RSPO1	SRY	0.7446988007237944
SRY	RSPO1	0.7446988007237944
SRY	WNT4	0.736074955916725
WNT4	SRY	0.736074955916725
WNT4	GATA4	0.7156890626127507
GATA4	WNT4	0.7156890626127507
CTNNB1	SOX9	0.6357825307668127
SOX9	CTNNB1	0.6357825307668127
DMRT1	RSPO1	0.5161002506410818
RSPO1	DMRT1	0.5161002506410818
RSPO1	GATA4	0.5100581514914354
GATA4	RSPO1	0.5100581514914354
FOXL2	SOX9	0.4908560217730638
SOX9	FOXL2	0.4908560217730638
CBX2	SOX9	0.4707447677729994
SOX9	CBX2	0.4707447677729994
CTNNB1	GATA4	0.4664593104475723
GATA4	CTNNB1	0.4664593104475723
SRY	CBX2	0.3487746310184537
CBX2	SRY	0.3487746310184537
SRY	NR0B1	0.3198530597900355
NR0B1	SRY	0.3198530597900355
DMRT1	NR0B1	0.2907861736599622
NR0B1	DMRT1	0.2907861736599622
DMRT1	NR5A1	0.2512203994791342
NR5A1	DMRT1	0.2512203994791342
SRY	GATA4	0.2069898089018485
GATA4	SRY	0.2069898089018485
CBX2	NR0B1	0.1859344072834124
NR0B1	CBX2	0.1859344072834124
DMRT1	GATA4	0.1759738877552325
GATA4	DMRT1	0.1759738877552325
FOXL2	GATA4	0.1724651015209147
GATA4	FOXL2	0.1724651015209147
WNT4	CBX2	0.1280789366970702
CBX2	WNT4	0.1280789366970702
SOX9	GATA4	0.1146554663576223
GATA4	SOX9	0.1146554663576223
