Gene1	Gene2	EdgeWeight
DKK1	DMRT1	0.3481619998443316
DMRT1	DKK1	0.342186535129271
WT1pKTS	FOXL2	0.3345065691293538
FOXL2	WT1pKTS	0.3161126129111632
UGR	CBX2	0.2708736913566786
CBX2	UGR	0.266619948778679
CTNNB1	RSPO1	0.2603669750247563
RSPO1	CTNNB1	0.2568178400114748
PGD2	DHH	0.2549145556124888
PGD2	FGF9	0.2494708508354278
FGF9	PGD2	0.2485419082774202
DHH	PGD2	0.2481864228856924
DHH	AMH	0.2475900321894641
RSPO1	WNT4	0.2403720893826309
DMRT1	SRY	0.2401606213377655
FGF9	DHH	0.2401582481718477
DKK1	SRY	0.2337514006088885
WT1mKTS	GATA4	0.227154163608733
DHH	FGF9	0.2239782296421042
GATA4	WT1mKTS	0.2213154432805275
RSPO1	NR5A1	0.2210385054886803
SRY	DKK1	0.2106696323273465
SRY	DMRT1	0.2057630143118253
AMH	FGF9	0.203102331545887
FGF9	AMH	0.2017057164356341
AMH	DHH	0.1945303226846761
WNT4	NR0B1	0.184465002595707
CTNNB1	FOXL2	0.1830087274696981
PGD2	AMH	0.1820638760972664
WNT4	RSPO1	0.179976153314459
FOXL2	CTNNB1	0.1791623491940774
DHH	SOX9	0.1699211561233628
AMH	PGD2	0.1663405353487431
FGF9	SOX9	0.1636618445729175
CTNNB1	WNT4	0.1627943459801014
NR5A1	RSPO1	0.1625133358873817
PGD2	SOX9	0.1553077856941822
FOXL2	NR5A1	0.1478370998008048
CTNNB1	WT1pKTS	0.1451571060086764
NR0B1	WNT4	0.1437548582626311
RSPO1	NR0B1	0.1428603501881426
WNT4	CTNNB1	0.1427647969421318
NR5A1	WT1pKTS	0.1401859582013034
SRY	UGR	0.1348200590232832
SOX9	DMRT1	0.1272331846812252
AMH	SOX9	0.1268268753437535
SOX9	AMH	0.1242263198081302
SOX9	DKK1	0.1239794695109671
CTNNB1	NR5A1	0.1232133488244537
RSPO1	FOXL2	0.119299595778149
NR5A1	FOXL2	0.1187122395912242
SOX9	FGF9	0.1150162094933855
WT1pKTS	NR5A1	0.1138942459732909
SOX9	PGD2	0.10767125326032
SOX9	DHH	0.1075613032201373
WT1pKTS	WT1mKTS	0.1075469991363111
FOXL2	RSPO1	0.107007466017105
DKK1	CBX2	0.1022327258622912
DKK1	SOX9	0.0988304685993906
UGR	GATA4	0.0983183855881911
NR0B1	UGR	0.0962469935907053
NR5A1	GATA4	0.0951590929502439
WT1pKTS	GATA4	0.0946587523804124
SRY	WT1pKTS	0.0936863178827528
UGR	WT1mKTS	0.0936371681652802
SOX9	SRY	0.0901884739226181
WT1pKTS	SRY	0.0897304793439202
UGR	NR0B1	0.0881564500853532
NR5A1	CTNNB1	0.0875921821891622
NR5A1	CBX2	0.0866402778713096
AMH	NR0B1	0.0861089060897331
NR5A1	WT1mKTS	0.0845944455524716
CTNNB1	NR0B1	0.0840727076838648
DMRT1	CBX2	0.0802310856476615
DMRT1	SOX9	0.078741834696227
RSPO1	CBX2	0.0776535165082968
SOX9	WNT4	0.0776368196503865
RSPO1	WT1pKTS	0.0768397425167224
NR0B1	RSPO1	0.0765078475380103
WT1pKTS	CTNNB1	0.0725944746941499
NR0B1	GATA4	0.0708422658158417
CBX2	WT1mKTS	0.0689049776630201
SRY	FOXL2	0.0660545179474746
WNT4	UGR	0.065276145465181
NR0B1	WT1mKTS	0.0646325149506233
DKK1	PGD2	0.0646052435626531
DKK1	AMH	0.0626714617213587
SRY	NR0B1	0.0598874466240676
CTNNB1	CBX2	0.0596568493421984
CBX2	GATA4	0.0590910292496651
FOXL2	WNT4	0.0584920399164794
PGD2	DKK1	0.0578098770112713
DKK1	FGF9	0.0574151824342046
FGF9	DKK1	0.0573693429256444
FGF9	DMRT1	0.0560954687737521
SRY	CTNNB1	0.0551507492030459
WNT4	FOXL2	0.0549948214871593
NR0B1	AMH	0.0549520407243093
FGF9	NR0B1	0.0543162218098521
PGD2	NR0B1	0.0537180815071936
DHH	DKK1	0.0536359094315097
DHH	DMRT1	0.0535904785732369
NR5A1	WNT4	0.0533245815819709
DKK1	UGR	0.0531865868940794
SOX9	NR5A1	0.0523355035696738
NR0B1	NR5A1	0.051865305799625
DKK1	DHH	0.0505747570699796
DMRT1	UGR	0.050129828797808
RSPO1	UGR	0.0499291685971611
DMRT1	PGD2	0.0491596469761527
WNT4	WT1mKTS	0.0481981380927486
DHH	NR0B1	0.0478181844938967
WNT4	GATA4	0.0472813240191291
PGD2	DMRT1	0.0469715576277038
NR5A1	SOX9	0.0468687589727101
WT1pKTS	RSPO1	0.0466617798535206
CTNNB1	SRY	0.046275128350926
DKK1	CTNNB1	0.0458265136083136
WT1mKTS	UGR	0.0454806876978551
DMRT1	DHH	0.0453610570797537
DMRT1	FGF9	0.0451392855254392
NR0B1	CTNNB1	0.0451388800213427
GATA4	UGR	0.0450911344788981
SRY	SOX9	0.0448519246525097
SRY	WT1mKTS	0.0447251090296131
DMRT1	AMH	0.0443681759256281
SOX9	CBX2	0.0440617603069743
CTNNB1	UGR	0.0438933435034475
WNT4	NR5A1	0.0430915130330438
WNT4	SOX9	0.0430355321096866
SRY	CBX2	0.0423043897701679
DMRT1	WT1pKTS	0.042065210887845
UGR	WNT4	0.0402584007861385
DKK1	WT1pKTS	0.0400008023529062
SRY	GATA4	0.0391300460852671
SRY	NR5A1	0.0386145828318782
DKK1	WNT4	0.0385933867364834
NR0B1	PGD2	0.0380904693550846
CBX2	NR5A1	0.0380866426027235
FGF9	SRY	0.0374479737422051
DMRT1	CTNNB1	0.0372902438387631
NR5A1	NR0B1	0.0369390172587904
WT1pKTS	CBX2	0.0366440173518789
AMH	DMRT1	0.0359454410956562
RSPO1	GATA4	0.0352219654840261
RSPO1	WT1mKTS	0.0343301869564202
UGR	SRY	0.0342322392227727
AMH	DKK1	0.0329554263110209
CTNNB1	GATA4	0.0329098371502283
FOXL2	CBX2	0.0326629612888446
DMRT1	WT1mKTS	0.0318533479608736
NR0B1	DHH	0.0317970784913691
NR0B1	FGF9	0.0315600008282124
