	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
E37_5_927	0.0034476019	0.0269451672	1.6799765325	0.0010902631	1.9170188882	0.0116828535	1.675512082	0.0050462216	0.0704836492	1.7329190057	0.0004030341	0.0010344785	1.76195482	0.0048229276	0.3474226602	1.2941934658	0.0655735157	0.0238686885	1.7253448281
E42_7_69	0.0325505012	0.0528046838	1.4298864499	0.026818218	1.6112400425	0.0171810539	1.2105155973	0.1329661014	0.0029740342	1.5751500291	0.0584328012	0.0391633853	1.3838740007	0.0223730798	0.0162122012	1.3921658607	0.0008456571	0.0084359573	1.5931876524
E20_7_209	1.4515937734	1.5754725093	0.0212641318	1.4615130022	0.0066760132	1.6448611908	1.5839900003	1.4515718706	1.6725281282	0.0497328335	0.014498839	1.3811934307	0.0205248121	1.3619356889	1.8433393464	0.0010417494	0.0101008821	1.6736320524	1.5955089792
E70_2_163	1.1050401861	5.7942e-05	1.2127775128	0.0146566722	0.5964505446	0.0134217421	1.4034354159	1.7915348455	1.1763582074	1.2646842321	0.5477245632	0.2048238216	1.7176786637	0.7865814349	1.7127817935	0.0140793609	0.0157260307	0.2967089835	1.7171221439
E107_6_328	1.5313399117	1.580420895	0.0116199978	1.1952189636	0.0060250846	1.6560942714	1.4850641133	1.7718912263	1.3220296876	0.0033815875	0.0141950887	1.1999252631	0.4154357417	1.6266760331	1.4113970794	0.0017273416	0.1285482163	1.1676411693	1.4320020696
E131_7_61	0.0139582574	0.0687715852	1.5951398205	0.0572641347	1.6210097237	0.00598054	1.7804511484	0.0263762232	0.0497431433	1.2661312967	0.0012995459	0.0083331975	1.3242196165	0.0231956121	0.2257896609	1.6226497121	0.0110711959	0.0051658297	1.4596231952
E135_3_524	1.6103201181	0.156916251	0.0272903538	0.0256000266	0.027151753	0.0280589773	1.5482539428	1.6268088068	1.5563116307	0.068886645	0.0026666624	0.035989896	1.6623332419	1.0889358648	1.7352405316	0.0028388098	0.0108423205	1.278808246	1.6024579305
E106_4_886	0.0339373211	0.0712926461	1.2377423988	0.0218815005	1.5983584148	0.0245535055	1.8819570006	0.0143667839	0.0003422933	1.792789715	0.0853256439	0.0228500291	1.5468872154	0.0224749051	0.0739728281	1.7119277608	0.1303161231	0.0337957702	1.6984077275
E49_7_93	1.3857395842	1.4881689904	0.0227586747	1.3145529197	0.0792100314	1.6850393995	1.6028035491	1.4199674572	1.7214071131	0.0138698623	0.0339038303	1.3968732868	0.0047109514	1.7911814638	1.5468130112	0.0015464359	0.0509112968	1.4803107772	1.3873724153
E37_7_85	0.0020950746	0.0027872766	1.7982114911	0.0117281622	1.6094452646	0.079306591	1.4574884449	0.0057509539	0.0215643882	1.8567878296	0.0065480019	0.030808092	1.8885553704	0.0003614069	0.0043548587	1.5643950865	0.0362137161	0.0024656164	1.4390639026
E37_5_687	0.0062124091	0.0006639415	1.3046080505	0.0077620845	1.5897188846	0.0097000986	1.4711741576	0.0027754653	0.0282886131	1.8896349243	0.0178213898	0.0028934421	1.4943070035	0.0314699535	0.117120759	1.4034041067	0.0228019389	0.0237262556	1.4220869568
E108_5_527	0.0010196173	0.0565440984	1.6604770936	0.1299437347	1.7551862561	0.0011173696	1.530699928	0.065201145	0.0377375388	1.5525142418	0.0009288943	0.0485146113	1.3813179883	0.0109984349	0.0217669417	1.2964178877	0.0023410131	0.1241626201	1.6832432138
E51_5_767	1.6186202206	1.5965951268	0.0068028694	1.223950009	0.0150785051	1.5593832905	1.5782754526	1.5796806607	1.44668521	0.0068418271	0.0048083263	1.6098702456	0.3987953118	1.3500734165	1.6463797146	0.0422850441	0.0335409228	1.8863171824	1.6792154958
E37_6_328	0.0630025155	0.0468877818	1.5600964489	0.0131816494	1.3819759028	0.0746911387	1.5937462307	0.0286207001	0.0147725395	1.621183979	0.00555238	0.0045076111	1.6702686379	0.0175884486	0.1389770483	1.6715207933	0.0060435024	0.1116489551	1.3862733373
E10_0_881	0.0585280563	0.0387140286	0.0322675377	0.0038362172	0.0025688225	0.0007441907	1.627673721	0.0001066557	0.0268226062	0.0503422856	1.4246499402	0.0109028639	0.0268532997	1.3306504588	1.3358024026	0.0004384042	1.5820776657	0.0702306098	1.3313820633
E12_1_362	0.015653073	0.0593167785	0.0155957915	0.0019955894	0.0270735538	0.0169090025	1.0457779393	0.0644304225	0.0336143717	0.8710400265	0.8394268595	0.0029008387	0.8125844747	1.425060224	1.0849259098	0.0073655779	0.6463914089	0.0864254843	1.5035205977
E136_6_008	1.5651490503	1.4885326876	0.0592161203	1.5417071604	0.0942186403	1.7769539034	1.4909988522	1.4493571484	1.5755223677	0.1324809362	0.0679376108	1.364541615	0.0039729931	1.6785639024	1.5986861612	0.0323040099	0.0869112655	1.5070375684	1.8805782067
E40_5_767	0.0206499977	0.0087346356	1.4465156153	0.024261486	1.7001647598	0.0094139135	1.5069132722	0.0004511242	0.0568715643	1.5963218577	0.0196191541	0.0603137164	1.44805513	0.0670010835	0.0458664532	1.3439997719	0.0261000285	0.0522641587	1.3771531175
E42_5_847	0.0079729264	0.0001072881	1.4737356091	0.0099943124	1.6488312527	0.0003857955	1.7366407543	0.0430276168	0.0976642533	1.6174440421	0.0394382533	0.0226501964	1.6472127145	0.1109297026	0.0689903992	1.4747321698	0.0061125524	0.0028753778	1.6899244467
E42_1_762	0.0092460946	0.0231279437	0.0260905319	0.0031155524	0.0118234558	0.0105814217	1.2480502196	0.0010025174	0.1042608773	1.3753928783	1.0511117936	0.0131093077	1.1712841924	1.7948326054	1.3905521064	0.0152408421	0.5249457457	0.0226405644	1.6649896477
E36_2_563	0.5972223619	0.0013885016	1.2590205146	0.0544469639	0.942949338	0.0190707119	1.5582532772	1.6188117753	0.540798265	1.5511450998	0.3047142794	0.0138214565	1.7032040573	1.5002080954	1.7404609981	0.0821503708	0.0955316348	0.2836932411	1.2295201311
E120_2_483	1.2946920848	0.0437415847	1.5281040331	0.014274537	0.2020232311	0.0370565553	1.5884164198	1.2348444824	1.5581296789	1.5522173197	0.0185582661	0.0092014943	1.5321858983	0.0588706209	1.7666090322	0.0144197229	0.0196841158	0.0577972393	1.4868729303
E112_1_282	0.0255742727	0.013341839	0.0019896076	0.0582495913	0.0003173077	4.05957e-05	1.5358837547	0.4355790624	0.1103017611	0.6454050751	1.6983372792	0.0359997425	0.5295709191	1.5019836324	1.7032204656	0.052267945	1.0022014644	0.0845837766	1.6781824058
E133_3_444	0.0573086517	0.0005069535	1.6720427272	0.0019119436	1.2805454941	0.0033139321	1.3922470726	0.0783252874	0.1129235476	1.3660618175	0.0007049614	0.0762762368	1.5609929658	0.4127840932	1.4891169532	0.0832322592	0.0919443212	0.0192129942	1.4029521705
E36_3_925	1.5008234115	0.0108319104	0.3660691509	0.0036144698	0.2889195908	0.0136618433	1.8651260867	1.4905887952	1.3505853181	0.1094739384	0.1524774871	0.0207655898	1.4497182739	0.0159023895	1.6859530333	0.0029570599	0.0407529805	0.0228794961	1.6092367199
E112_4_486	1.7120535785	1.4250039359	0.0025225007	1.4852699842	0.0141340445	1.5241632466	1.6205742791	1.478626809	1.5518198309	0.0961800263	0.0041262867	1.5995154284	0.0062409174	1.6402975222	1.5254761313	0.0296734713	0.039009699	1.6293482011	1.6200177672
E31_3_284	1.7015022795	0.024489432	0.4746264085	0.0177506037	0.2865753151	0.0489481902	1.8013501728	1.6200128355	1.3916006772	0.8029782185	0.0178809274	0.0080448526	1.7247069701	1.0387298154	1.8681751948	0.0143645379	0.0014145559	0.7799692221	1.5150608801
E70_0_481	0.0323682978	0.0539180433	0.0079594614	0.0023247351	0.0054484566	0.0185100171	1.6351567984	0.0771537212	0.0787246566	0.1208930296	1.3435817533	0.0126224488	0.0005179827	1.5067414948	1.4079585858	0.0006027967	1.7308965448	0.0818158185	1.365111203
E101_4_966	1.6583642422	1.5407846718	0.0081357444	1.4651722427	0.0378196225	1.1838744377	1.4975439273	1.6096764122	1.8787670743	0.0612944255	0.0053463223	1.5601300428	0.390284922	1.5931232347	1.4304128045	0.0509305237	0.1289395574	1.3985358459	1.495562822
E15_6_648	1.7236971813	1.4682170279	0.0507711584	1.4915959169	0.0129074072	1.5430445664	1.8619545865	1.4010911882	1.6300072568	0.0073834073	0.0663030985	1.8357773304	0.3839620516	1.7727693803	1.4915372581	0.0210189538	0.0299424045	1.4213809419	1.7099309789
E133_1_041	0.0231618934	0.1032422365	0.0908014098	0.0864078316	0.0261626238	0.028857566	1.1861596349	0.0036532237	0.0005361343	0.0425399481	1.073032985	0.002342699	0.013751181	1.2691940206	1.1451023717	0.0521955546	1.5112886537	0.0349684947	1.1607720434
E51_4_566	1.3182352987	0.008321747	0.0773682713	0.009888659	0.0991153246	0.0611992235	1.6142961336	1.4425499586	1.7749059516	0.0968932638	0.0013234638	0.0034130758	1.5802272469	0.6381479352	1.5781805756	0.0186692681	0.0094412059	1.0318032467	1.5513594555
E80_4_646	0.0132862492	0.0061794834	1.62685209	0.0117825736	1.4369227135	0.038144729	1.552579172	0.0012982972	0.022952699	1.6320241348	0.0149064083	0.0019527591	1.472726286	0.0137949378	0.0509349032	1.4575172715	0.0227227968	0.0556036328	1.6021031189
E31_3_044	1.5456755358	0.0043980763	0.6060051297	0.0027486238	0.0686725334	0.0059726062	1.7091663849	1.5407314886	1.5378369658	0.4830762652	0.0180557762	0.0238161376	1.5020689399	0.0143491656	1.7974256578	0.0008028791	0.0163978251	0.0422210576	1.6030959958
E123_4_646	0.0595529177	0.0017472225	1.6334928102	0.0007631793	1.4049654265	0.002707222	1.5624793907	0.0395509412	0.0130576092	1.6730165134	0.0868831094	0.0031710515	1.3888872265	0.0198469276	0.0101510255	1.7489420452	0.0068206821	0.0079623731	1.6885774794
E31_4_486	1.6811428118	1.5189964449	0.0180628698	1.6409745442	0.0141331809	1.5775867752	1.5312942993	1.568199703	1.6576859344	0.0292346548	0.020465733	1.5538766488	0.3140884332	1.6305677213	1.6272320996	0.0195286076	0.0088576462	1.4332489673	1.4999959043
E86_3_925	0.0461401625	0.0150623085	1.5536169294	0.0005494758	1.5942125657	0.0137385405	1.6643931177	0.0214087006	0.1185497107	1.3601137476	0.1959774491	0.0043500574	1.7122162466	0.071395915	0.6254916968	1.2502237879	0.0040319743	0.0045170052	1.3413343889
E12_3_925	0.1131539301	0.004928285	1.5405640144	0.0179090243	1.8172351399	0.0084923609	1.4044760402	0.0088271078	0.0462723954	1.6370145176	0.0152716212	0.0210003643	1.6712315988	0.0098862494	0.00828197	1.7663865808	0.0483094568	0.012695264	1.5971772948
E85_1_362	0.0331947229	0.0654228459	0.0010894636	0.0795047166	0.0146996572	0.0085310166	1.4509061288	0.3193638778	0.0125492583	0.3269771341	1.4340350636	0.0284140084	1.2996721127	1.4933519107	1.6449070232	0.0043500688	0.9760371442	0.0193205332	1.7173280416
E112_7_61	1.2537237174	1.562910555	0.0518313056	1.4474384873	0.0039732476	1.5656384211	1.6508109053	1.6756387397	1.6522080508	0.0432958905	0.0007702482	1.6260250621	0.0641048888	1.5024271751	1.4185925124	0.0283142477	0.0443504175	1.3321128924	1.6643992346
E54_0_32	0.0119621706	0.0210507311	0.0068757716	0.0025574435	0.0240504945	0.0071296847	0.9344956785	0.0167131468	0.0101439301	0.0179223817	1.3747000954	0.0070781912	0.1050947922	1.0376538318	1.1044663395	0.0040638871	1.2793424021	0.006268244	1.2261285239
E107_7_209	1.5549464125	1.622500827	0.0476899241	1.5508936122	0.0187403322	1.7614462012	1.6189181686	1.4877300123	1.8122233149	0.0931540102	0.1218177176	1.283966672	0.1230648431	1.6175338283	1.7598195149	0.0053720851	0.2842928596	1.7443535935	1.5395757562
E4_0_721	0.0086145424	0.0664052432	0.1071411618	0.0139997924	0.0410424526	0.0012604193	1.7092003748	0.0542301367	0.0584523497	0.2755912074	1.530706948	0.0029533332	0.6599193984	1.7123732105	1.5903224384	0.0061313903	1.2051184281	0.0557444576	1.5122470417
E56_0_16	0.0017735573	0.1591655652	0.0145008737	0.0381929939	0.002436375	0.0009554162	0.3581317807	0.0025335673	0.004195072	0.0036876203	0.5748253419	0.0168665377	0.0074231413	0.6098901277	0.4907918292	0.0298492654	0.7129453161	0.0651141847	0.6987381199
E109_1_282	0.0243591123	0.0115991207	0.006004322	0.1963991399	0.0261331964	0.0009811366	1.5837139647	1.2678485929	0.0118300081	1.423098169	1.6305788398	0.0018678334	1.5570529162	1.8235566574	1.5495155008	0.0326908876	0.2223717065	0.0297288271	1.4998746847
E36_0_16	0.002778321	0.0067687433	0.0193881264	0.0925029141	0.000746229	0.0330105609	1.1426017695	0.0067461473	0.006140809	0.0749960188	1.1522840946	0.0061943357	0.0237192219	1.2014669983	1.0625250748	0.0005378358	1.3871852843	0.0465618965	1.310868901
E88_7_61	1.6627438892	1.6194248249	0.0023108194	1.8028003201	0.0014529804	1.9322486136	1.5924878527	1.8062711071	1.3635804189	0.0081387201	0.0176557345	1.5737186671	0.0010915414	1.5108515948	1.7098780505	0.0342131112	0.039159827	1.6265132721	1.6357063416
E131_1_121	0.0087795883	0.0868529418	0.0008825743	0.0267232853	0.0029013518	0.0102258741	1.0261872224	0.032354007	0.0014355073	0.0182333344	1.0318713856	0.1151571401	0.0862149088	0.9151633579	1.0873107764	0.0054327435	1.3335488121	0.0182059258	1.1417148658
E16_4_245	0.0081776858	0.0069179967	1.4322097778	0.0015985505	1.530600894	0.0862674378	1.5329994779	0.0382865152	0.0557216755	1.6592283099	0.229648673	0.2449069708	1.6522954711	0.0272034731	0.0420174156	1.2996643737	0.0080149066	0.0034208166	1.7041852421
E37_0_08	0.0315533486	0.0051136305	0.0011468866	0.0065535031	0.0197667441	0.0027392877	0.6901518677	0.0717143589	0.0419795935	0.0122056917	0.6212023854	0.0145716684	0.0049899166	0.7234399361	0.4944787888	0.0262032449	0.903797332	0.0374601335	0.6217518064
E101_6_728	1.6416301095	1.2806301402	0.0029628149	1.3330432357	0.0276595718	1.5464838443	1.576907199	1.7838188113	1.5083799374	0.0878933815	0.0373006208	1.4397050949	0.0023415389	1.301445357	1.7247107801	0.1178228994	0.005512284	1.45016466	1.6425436618
E85_6_969	1.6627816448	1.6553384602	0.0260160163	1.5293243529	0.0035966622	1.5956447433	1.5097726242	1.4885795255	1.4779081359	0.1186238641	0.0017429408	1.350186971	0.0306811694	1.5799505333	1.8438669051	0.0557405456	0.023589466	1.8830018156	1.5065760801
E88_1_922	1.0210533222	0.0229002927	1.0914738173	0.2671066064	0.9202568862	0.0058362365	1.3732673025	1.1328620397	0.7388206364	1.5164565001	0.454652826	0.009689432	1.6864342731	1.1951182662	1.4494922179	0.0061581601	0.0251063943	0.148591218	1.351376622
E109_3_605	1.6266791268	0.0083123206	0.0201567659	0.0213540721	0.0399315516	0.0226694925	1.7213023352	1.5677240661	1.6817089442	0.0947126086	0.0023637765	0.0005716837	1.6054423698	0.085340012	1.6403795612	0.024285324	0.0425308636	0.1339913037	1.6791689901
E10_5_447	0.108721567	0.0039902805	1.6198368532	0.0229949367	1.5845856784	0.0602233593	1.5708732871	0.0034464135	0.0117377259	1.5436900452	0.0011748635	0.0880064248	1.5681741855	0.010615439	0.0095839544	1.702478392	0.0022540019	0.0442527925	1.4857272042
E136_3_685	1.4924372911	0.4176679409	0.0069543469	0.5416840117	0.0039044971	0.3715058839	1.5131268844	1.4951351425	1.5571248642	0.0110917185	0.0014767866	0.461954922	1.3958939695	1.4670664938	1.6072944489	0.0034174413	0.0048261442	1.7918991461	1.6131603599
E120_0_881	0.0343946539	0.0100592578	0.0061226966	0.0178319823	0.0260248308	0.0241924806	1.3560218382	0.0606717806	0.0098487772	0.1106486815	1.2753827036	0.0159992066	0.5139988651	1.232499262	1.5161528984	0.0083329361	1.5504127807	0.0225074207	1.3041168358
E47_6_889	0.001888697	0.0136626235	1.4207170025	0.0028000386	1.8719533102	0.0016463731	1.3571398697	0.0744773676	0.0051501664	1.5235602996	0.0112066482	0.109774782	1.4598476455	0.0343747423	0.0188193069	1.8513002426	0.0196736972	0.0399753445	1.9212041931
E78_1_202	0.0004381509	0.0208764412	0.0212785338	0.0278171343	0.0145621087	0.0350788072	1.8578885056	0.0074744869	0.0032807173	0.1576348995	1.5700213412	0.0404515987	1.3721771591	1.6078435738	1.8226046932	0.0022361745	1.5492883848	0.0528686091	1.7233103456
