TF	target	importance
DKK1	DMRT1	0.34816199984433166
DMRT1	DKK1	0.34218653512927105
WT1pKTS	FOXL2	0.33450656912935384
FOXL2	WT1pKTS	0.3161126129111632
UGR	CBX2	0.2708736913566786
CBX2	UGR	0.266619948778679
CTNNB1	RSPO1	0.2603669750247563
RSPO1	CTNNB1	0.25681784001147484
PGD2	DHH	0.2549145556124888
PGD2	FGF9	0.24947085083542786
FGF9	PGD2	0.2485419082774202
DHH	PGD2	0.2481864228856924
DHH	AMH	0.24759003218946413
RSPO1	WNT4	0.24037208938263097
DMRT1	SRY	0.2401606213377655
FGF9	DHH	0.24015824817184778
DKK1	SRY	0.23375140060888852
WT1mKTS	GATA4	0.22715416360873306
DHH	FGF9	0.2239782296421042
GATA4	WT1mKTS	0.22131544328052752
RSPO1	NR5A1	0.22103850548868037
SRY	DKK1	0.2106696323273465
SRY	DMRT1	0.20576301431182537
AMH	FGF9	0.20310233154588708
FGF9	AMH	0.20170571643563415
AMH	DHH	0.19453032268467613
WNT4	NR0B1	0.18446500259570703
CTNNB1	FOXL2	0.18300872746969812
PGD2	AMH	0.18206387609726646
WNT4	RSPO1	0.17997615331445907
FOXL2	CTNNB1	0.17916234919407742
DHH	SOX9	0.1699211561233628
AMH	PGD2	0.16634053534874313
FGF9	SOX9	0.16366184457291752
CTNNB1	WNT4	0.16279434598010148
NR5A1	RSPO1	0.16251333588738176
PGD2	SOX9	0.1553077856941822
FOXL2	NR5A1	0.1478370998008048
CTNNB1	WT1pKTS	0.1451571060086764
NR0B1	WNT4	0.14375485826263118
RSPO1	NR0B1	0.14286035018814264
WNT4	CTNNB1	0.1427647969421318
NR5A1	WT1pKTS	0.14018595820130345
SRY	UGR	0.1348200590232832
SOX9	DMRT1	0.12723318468122527
AMH	SOX9	0.12682687534375356
SOX9	AMH	0.12422631980813027
SOX9	DKK1	0.1239794695109671
CTNNB1	NR5A1	0.12321334882445374
RSPO1	FOXL2	0.11929959577814908
NR5A1	FOXL2	0.11871223959122426
SOX9	FGF9	0.11501620949338559
WT1pKTS	NR5A1	0.1138942459732909
SOX9	PGD2	0.10767125326032002
SOX9	DHH	0.10756130322013736
WT1pKTS	WT1mKTS	0.10754699913631115
FOXL2	RSPO1	0.10700746601710508
DKK1	CBX2	0.1022327258622912
DKK1	SOX9	0.09883046859939065
UGR	GATA4	0.0983183855881911
NR0B1	UGR	0.09624699359070535
NR5A1	GATA4	0.09515909295024397
WT1pKTS	GATA4	0.09465875238041245
