Gene1	Gene2	EdgeWeight
CTNNB1	FOXL2	0.3271228419702162
CBX2	UGR	0.3032540190564104
FOXL2	CTNNB1	0.2784293708882303
PGD2	FGF9	0.2543194084584336
FGF9	PGD2	0.2416467542073914
DHH	FGF9	0.2393488744349927
UGR	CBX2	0.238951376902356
FGF9	AMH	0.2380724441125414
FGF9	DHH	0.2348171189203608
PGD2	DHH	0.2288089841453832
DHH	PGD2	0.2217552944725797
CTNNB1	RSPO1	0.2072602538224719
PGD2	AMH	0.2069005150390251
RSPO1	CTNNB1	0.1903254603299592
DHH	AMH	0.1830334477935837
AMH	FGF9	0.1763590387776448
FOXL2	RSPO1	0.1760002909874723
AMH	PGD2	0.1717264350362779
RSPO1	FOXL2	0.1699522298912067
AMH	DHH	0.167537005404449
DHH	SOX9	0.1590841980004942
PGD2	SOX9	0.1499346657171243
DMRT1	DKK1	0.146116066944406
FGF9	SOX9	0.1425894104400166
CTNNB1	WNT4	0.1397041531846734
DKK1	DMRT1	0.1362486317544939
RSPO1	WNT4	0.1151596716278789
SOX9	DMRT1	0.1130388887142338
SOX9	DHH	0.1128479677744042
AMH	SOX9	0.1115572249585862
SOX9	DKK1	0.1069200198681773
SOX9	PGD2	0.1060583349611622
NR5A1	CBX2	0.1053794903228851
SOX9	AMH	0.1028793755300786
FOXL2	WT1pKTS	0.1013787459679187
WNT4	RSPO1	0.1001772272310415
CTNNB1	SRY	0.0898132865882809
NR0B1	GATA4	0.0897294750033154
DKK1	SRY	0.0873289722838429
SOX9	FGF9	0.084992129636173
WT1pKTS	FOXL2	0.080538059747619
WNT4	CTNNB1	0.0804461147883337
FOXL2	WNT4	0.0803707459369604
RSPO1	NR5A1	0.0789481452200302
UGR	SRY	0.078627972540295
FOXL2	CBX2	0.0784395180663247
FOXL2	SRY	0.078331761633518
CTNNB1	NR5A1	0.0776849115444554
NR5A1	UGR	0.0770828271983993
GATA4	NR0B1	0.076455460649198
CBX2	NR0B1	0.0762124109056397
UGR	NR0B1	0.075910483182109
WT1mKTS	GATA4	0.075815577056121
GATA4	WT1mKTS	0.0757472833953245
DMRT1	CBX2	0.074754578707646
CBX2	NR5A1	0.0747504535965501
WNT4	NR0B1	0.0747305253294479
WNT4	WT1mKTS	0.0747220051657534
NR0B1	WT1mKTS	0.0726140607881721
DMRT1	SRY	0.0705785733052921
RSPO1	NR0B1	0.0701398452725939
FGF9	DKK1	0.0699127270174536
DHH	DKK1	0.0697344036135773
NR5A1	GATA4	0.0693848730675992
DMRT1	SOX9	0.068935876157831
PGD2	DMRT1	0.0683908236175887
FOXL2	NR5A1	0.0681523232598601
SRY	DMRT1	0.0680540270433829
