TF	target	importance
CTNNB1	FOXL2	0.3271228419702162
CBX2	UGR	0.3032540190564104
FOXL2	CTNNB1	0.27842937088823033
PGD2	FGF9	0.2543194084584336
FGF9	PGD2	0.24164675420739143
DHH	FGF9	0.23934887443499278
UGR	CBX2	0.238951376902356
FGF9	AMH	0.23807244411254144
FGF9	DHH	0.2348171189203608
PGD2	DHH	0.2288089841453832
DHH	PGD2	0.2217552944725797
CTNNB1	RSPO1	0.20726025382247198
PGD2	AMH	0.20690051503902515
RSPO1	CTNNB1	0.1903254603299592
DHH	AMH	0.18303344779358377
AMH	FGF9	0.17635903877764483
FOXL2	RSPO1	0.17600029098747236
AMH	PGD2	0.17172643503627796
RSPO1	FOXL2	0.1699522298912067
AMH	DHH	0.16753700540444902
DHH	SOX9	0.15908419800049423
PGD2	SOX9	0.14993466571712438
DMRT1	DKK1	0.146116066944406
FGF9	SOX9	0.1425894104400166
CTNNB1	WNT4	0.13970415318467344
DKK1	DMRT1	0.1362486317544939
RSPO1	WNT4	0.11515967162787898
SOX9	DMRT1	0.1130388887142338
SOX9	DHH	0.11284796777440426
AMH	SOX9	0.11155722495858626
SOX9	DKK1	0.10692001986817731
SOX9	PGD2	0.10605833496116226
NR5A1	CBX2	0.10537949032288517
SOX9	AMH	0.10287937553007866
FOXL2	WT1pKTS	0.10137874596791871
WNT4	RSPO1	0.10017722723104158
CTNNB1	SRY	0.08981328658828097
NR0B1	GATA4	0.08972947500331545
DKK1	SRY	0.08732897228384294
SOX9	FGF9	0.08499212963617307
WT1pKTS	FOXL2	0.08053805974761902
WNT4	CTNNB1	0.08044611478833373
FOXL2	WNT4	0.08037074593696047
RSPO1	NR5A1	0.07894814522003023
UGR	SRY	0.07862797254029508
FOXL2	CBX2	0.07843951806632471
FOXL2	SRY	0.07833176163351804
CTNNB1	NR5A1	0.0776849115444554
NR5A1	UGR	0.07708282719839939
GATA4	NR0B1	0.07645546064919805
CBX2	NR0B1	0.07621241090563972
UGR	NR0B1	0.075910483182109
WT1mKTS	GATA4	0.07581557705612108
GATA4	WT1mKTS	0.07574728339532458
DMRT1	CBX2	0.07475457870764604
CBX2	NR5A1	0.07475045359655014
WNT4	NR0B1	0.07473052532944795
WNT4	WT1mKTS	0.07472200516575342
NR0B1	WT1mKTS	0.07261406078817216
DMRT1	SRY	0.0705785733052921
RSPO1	NR0B1	0.07013984527259391
FGF9	DKK1	0.06991272701745362
DHH	DKK1	0.06973440361357734
NR5A1	GATA4	0.06938487306759929
DMRT1	SOX9	0.06893587615783102
PGD2	DMRT1	0.06839082361758878
FOXL2	NR5A1	0.06815232325986019
SRY	DMRT1	0.06805402704338293
