Gene1	Gene2	EdgeWeight
FGF9	PGD2	0.8379912570565001
PGD2	FGF9	0.8379912570565001
DHH	PGD2	0.8371370056478085
PGD2	DHH	0.8371370056478085
AMH	FGF9	0.8362091503390336
FGF9	AMH	0.8362091503390336
FGF9	DHH	0.8338093876931558
DHH	FGF9	0.8338093876931558
AMH	DHH	0.8329787047503465
DHH	AMH	0.8329787047503465
AMH	PGD2	0.8287646277793166
PGD2	AMH	0.8287646277793166
FOXL2	CTNNB1	0.7775954303404407
CTNNB1	FOXL2	0.7775954303404407
SOX9	PGD2	0.7214917888880142
PGD2	SOX9	0.7214917888880142
SOX9	DHH	0.7104929653535753
DHH	SOX9	0.7104929653535753
FGF9	SOX9	0.7075647038860734
SOX9	FGF9	0.7075647038860734
AMH	SOX9	0.703404691726979
SOX9	AMH	0.703404691726979
RSPO1	CTNNB1	0.685156722076951
CTNNB1	RSPO1	0.685156722076951
FOXL2	RSPO1	0.6685058555791443
RSPO1	FOXL2	0.6685058555791443
CBX2	UGR	0.6184006386078719
UGR	CBX2	0.6184006386078719
DMRT1	SOX9	0.4978647875972891
SOX9	DMRT1	0.4978647875972891
DMRT1	DKK1	0.4932393234881113
DKK1	DMRT1	0.4932393234881113
WNT4	CTNNB1	0.4931115030602497
CTNNB1	WNT4	0.4931115030602497
RSPO1	WNT4	0.4888474078552572
WNT4	RSPO1	0.4888474078552572
DKK1	SOX9	0.4847039676660339
SOX9	DKK1	0.4847039676660339
PGD2	DMRT1	0.4790603719494163
DMRT1	PGD2	0.4790603719494163
FGF9	DKK1	0.4736110045375002
DKK1	FGF9	0.4736110045375002
DKK1	PGD2	0.4684150563604243
PGD2	DKK1	0.4684150563604243
AMH	DMRT1	0.4670874498477605
DMRT1	AMH	0.4670874498477605
DKK1	DHH	0.4591389970910924
DHH	DKK1	0.4591389970910924
DMRT1	FGF9	0.4577679096781176
FGF9	DMRT1	0.4577679096781176
DMRT1	DHH	0.457228869441597
DHH	DMRT1	0.457228869441597
FOXL2	WNT4	0.4481529287129429
WNT4	FOXL2	0.4481529287129429
AMH	DKK1	0.4449020675816447
DKK1	AMH	0.4449020675816447
RSPO1	SOX9	-0.4427179924590648
SOX9	RSPO1	-0.4427179924590648
WNT4	PGD2	-0.4366273010808022
PGD2	WNT4	-0.4366273010808022
SOX9	CTNNB1	-0.4297227140843334
CTNNB1	SOX9	-0.4297227140843334
FGF9	WNT4	-0.4286781398914464
WNT4	FGF9	-0.4286781398914464
DHH	WNT4	-0.4285758655135568
WNT4	DHH	-0.4285758655135568
CTNNB1	DMRT1	-0.4275648239816989
DMRT1	CTNNB1	-0.4275648239816989
WNT4	SOX9	-0.4210896697796641
SOX9	WNT4	-0.4210896697796641
CTNNB1	DKK1	-0.4205654302651416
DKK1	CTNNB1	-0.4205654302651416
AMH	WNT4	-0.417194012087311
WNT4	AMH	-0.417194012087311
CTNNB1	SRY	-0.4170257893624911
SRY	CTNNB1	-0.4170257893624911
RSPO1	PGD2	-0.4101267920852126
PGD2	RSPO1	-0.4101267920852126
CTNNB1	FGF9	-0.4099099513220109
FGF9	CTNNB1	-0.4099099513220109
RSPO1	DHH	-0.4067448223984648
DHH	RSPO1	-0.4067448223984648
FOXL2	SRY	-0.4056479374752115
SRY	FOXL2	-0.4056479374752115
AMH	RSPO1	-0.405092195923787
RSPO1	AMH	-0.405092195923787
NR5A1	CTNNB1	-0.4015396537634731
CTNNB1	NR5A1	-0.4015396537634731
RSPO1	FGF9	-0.3997461982503419
FGF9	RSPO1	-0.3997461982503419
FOXL2	NR5A1	-0.3963652302621744
NR5A1	FOXL2	-0.3963652302621744
CTNNB1	PGD2	-0.3963232887626204
PGD2	CTNNB1	-0.3963232887626204
DHH	CTNNB1	-0.3928078732866704
CTNNB1	DHH	-0.3928078732866704
CTNNB1	AMH	-0.3914355172361938
AMH	CTNNB1	-0.3914355172361938
DKK1	FOXL2	-0.3906149966325128
FOXL2	DKK1	-0.3906149966325128
FOXL2	DMRT1	-0.3870803890513876
DMRT1	FOXL2	-0.3870803890513876
SOX9	FOXL2	-0.3860870595393896
FOXL2	SOX9	-0.3860870595393896
RSPO1	NR5A1	-0.3815580677495682
NR5A1	RSPO1	-0.3815580677495682
SRY	DMRT1	0.3721091477939686
DMRT1	SRY	0.3721091477939686
NR0B1	FGF9	-0.370444142997718
FGF9	NR0B1	-0.370444142997718
DKK1	SRY	0.3692893606802645
SRY	DKK1	0.3692893606802645
RSPO1	DKK1	-0.3686334885225816
DKK1	RSPO1	-0.3686334885225816
AMH	NR0B1	-0.3655805149240383
NR0B1	AMH	-0.3655805149240383
FOXL2	FGF9	-0.3619170216703747
FGF9	FOXL2	-0.3619170216703747
DHH	FOXL2	-0.3601886477610598
FOXL2	DHH	-0.3601886477610598
CBX2	PGD2	-0.3597740083804353
PGD2	CBX2	-0.3597740083804353
FOXL2	WT1pKTS	-0.3590006878922433
WT1pKTS	FOXL2	-0.3590006878922433
SOX9	SRY	0.3586316300231302
SRY	SOX9	0.3586316300231302
PGD2	FOXL2	-0.3576173814964262
FOXL2	PGD2	-0.3576173814964262
DHH	NR0B1	-0.3568184058242805
NR0B1	DHH	-0.3568184058242805
DKK1	WNT4	-0.3566795920490397
WNT4	DKK1	-0.3566795920490397
FOXL2	AMH	-0.3552956742573155
AMH	FOXL2	-0.3552956742573155
DMRT1	WNT4	-0.3512176345741121
WNT4	DMRT1	-0.3512176345741121
PGD2	NR0B1	-0.3498753990884039
NR0B1	PGD2	-0.3498753990884039
DMRT1	RSPO1	-0.3424817888042583
RSPO1	DMRT1	-0.3424817888042583
CBX2	DHH	-0.3395575853930663
DHH	CBX2	-0.3395575853930663
SOX9	CBX2	-0.33953425977793
CBX2	SOX9	-0.33953425977793
SRY	RSPO1	-0.3395215492348071
RSPO1	SRY	-0.3395215492348071
CBX2	FGF9	-0.3367226122876645
FGF9	CBX2	-0.3367226122876645
AMH	CBX2	-0.336051104558819
CBX2	AMH	-0.336051104558819
CBX2	DMRT1	-0.3343345638566705
DMRT1	CBX2	-0.3343345638566705
SRY	FGF9	0.3259161105495829
FGF9	SRY	0.3259161105495829
SRY	PGD2	0.3215942773718854
PGD2	SRY	0.3215942773718854
SRY	DHH	0.3175771473215375
DHH	SRY	0.3175771473215375
SRY	AMH	0.3145334110397104
AMH	SRY	0.3145334110397104
WT1pKTS	CTNNB1	-0.3038586438634167
CTNNB1	WT1pKTS	-0.3038586438634167
DKK1	CBX2	-0.2973666859288379
CBX2	DKK1	-0.2973666859288379
NR5A1	FGF9	0.2959926754236182
FGF9	NR5A1	0.2959926754236182
