Gene1	Gene2	EdgeWeight
CBX2	UGR	1.996765524675576
UGR	CBX2	1.996765524675576
CBX2	NR5A1	1.968832793882974
NR5A1	CBX2	1.968832793882974
CTNNB1	FOXL2	1.959908817695443
FOXL2	CTNNB1	1.959908817695443
CTNNB1	RSPO1	1.94652961243647
RSPO1	CTNNB1	1.94652961243647
DKK1	DMRT1	1.9460734922183145
DMRT1	DKK1	1.9460734922183145
FOXL2	RSPO1	1.9342404671210165
RSPO1	FOXL2	1.9342404671210165
FOXL2	WT1pKTS	1.922934597085764
WT1pKTS	FOXL2	1.922934597085764
RSPO1	WNT4	1.8911774505220216
WNT4	RSPO1	1.8911774505220216
NR5A1	UGR	1.89103851115593
UGR	NR5A1	1.89103851115593
FGF9	PGD2	1.8866569855972248
PGD2	FGF9	1.8866569855972248
DHH	FGF9	1.8864578236782457
FGF9	DHH	1.8864578236782457
AMH	PGD2	1.8860940165671072
PGD2	AMH	1.8860940165671072
AMH	FGF9	1.886054391794497
FGF9	AMH	1.886054391794497
DHH	PGD2	1.8834639964344713
PGD2	DHH	1.8834639964344713
AMH	DHH	1.882357035035204
DHH	AMH	1.882357035035204
CTNNB1	WNT4	1.8528987668160195
WNT4	CTNNB1	1.8528987668160195
DKK1	SRY	1.8248116300586064
SRY	DKK1	1.8248116300586064
DMRT1	SRY	1.804763401900673
SRY	DMRT1	1.804763401900673
PGD2	SOX9	1.7986807828017275
SOX9	PGD2	1.7986807828017275
FGF9	SOX9	1.7918845790226947
SOX9	FGF9	1.7918845790226947
AMH	SOX9	1.7835230216718396
SOX9	AMH	1.7835230216718396
DHH	SOX9	1.7820882883783074
SOX9	DHH	1.7820882883783074
CTNNB1	WT1pKTS	1.77392761351296
WT1pKTS	CTNNB1	1.77392761351296
DMRT1	SOX9	1.7023266725308153
SOX9	DMRT1	1.7023266725308153
FOXL2	WNT4	1.6960397775452387
WNT4	FOXL2	1.6960397775452387
NR0B1	WNT4	1.6949643389886977
WNT4	NR0B1	1.6949643389886977
DKK1	SOX9	1.6407030565984893
SOX9	DKK1	1.6407030565984893
NR5A1	RSPO1	1.594687645607856
RSPO1	NR5A1	1.594687645607856
DHH	DMRT1	1.5871939734085423
DMRT1	DHH	1.5871939734085423
GATA4	WT1mKTS	1.577451254968664
WT1mKTS	GATA4	1.577451254968664
DMRT1	PGD2	1.5636149799416663
PGD2	DMRT1	1.5636149799416663
NR0B1	RSPO1	1.550976455613036
RSPO1	NR0B1	1.550976455613036
DMRT1	FGF9	1.548035810014046
FGF9	DMRT1	1.548035810014046
DHH	DKK1	1.5325457475152209
DKK1	DHH	1.5325457475152209
DKK1	PGD2	1.5255720796488714
PGD2	DKK1	1.5255720796488714
DKK1	FGF9	1.5211243709095594
FGF9	DKK1	1.5211243709095594
AMH	DKK1	1.5148538577910813
DKK1	AMH	1.5148538577910813
AMH	DMRT1	1.5065441858220885
DMRT1	AMH	1.5065441858220885
FOXL2	SRY	1.4577364997686295
SRY	FOXL2	1.4577364997686295
FOXL2	NR5A1	1.4148071612363202
NR5A1	FOXL2	1.4148071612363202
DHH	WT1mKTS	1.4064152342928349
WT1mKTS	DHH	1.4064152342928349
FGF9	GATA4	1.3981202640977646
GATA4	FGF9	1.3981202640977646
AMH	NR0B1	1.3931735586292424
NR0B1	AMH	1.3931735586292424
DHH	GATA4	1.392300912300633
GATA4	DHH	1.392300912300633
FGF9	NR0B1	1.3732587518593211
NR0B1	FGF9	1.3732587518593211
RSPO1	WT1pKTS	1.3726553971873685
WT1pKTS	RSPO1	1.3726553971873685
GATA4	PGD2	1.369668334890846
PGD2	GATA4	1.369668334890846
NR5A1	SOX9	1.3565822134220316
SOX9	NR5A1	1.3565822134220316
FGF9	WT1mKTS	1.3537481452190168
WT1mKTS	FGF9	1.3537481452190168
AMH	GATA4	1.348671141183115
GATA4	AMH	1.348671141183115
SRY	WT1pKTS	1.342069925136957
WT1pKTS	SRY	1.342069925136957
DHH	NR0B1	1.3323156164510994
NR0B1	DHH	1.3323156164510994
DHH	NR5A1	1.32900479873709
NR5A1	DHH	1.32900479873709
CTNNB1	NR0B1	1.3129428398124112
NR0B1	CTNNB1	1.3129428398124112
NR5A1	PGD2	1.3005133368453166
PGD2	NR5A1	1.3005133368453166
GATA4	SOX9	1.2977752574861343
SOX9	GATA4	1.2977752574861343
DHH	SRY	1.2960152642695233
SRY	DHH	1.2960152642695233
AMH	WT1mKTS	1.294516325652982
WT1mKTS	AMH	1.294516325652982
PGD2	WT1mKTS	1.292675466508011
WT1mKTS	PGD2	1.292675466508011
SOX9	SRY	1.2914804542138576
SRY	SOX9	1.2914804542138576
CTNNB1	SRY	1.2748658072940595
SRY	CTNNB1	1.2748658072940595
CTNNB1	NR5A1	1.263664898735421
