Gene1	Gene2	EdgeWeight
AMH	AMH	1.0
NR5A1	NR5A1	1.0
WT1pKTS	WT1pKTS	1.0
WT1mKTS	WT1mKTS	1.0
CBX2	CBX2	1.0
UGR	UGR	1.0
SRY	SRY	1.0
SOX9	SOX9	1.0
RSPO1	RSPO1	1.0
PGD2	PGD2	1.0
WNT4	WNT4	1.0
NR0B1	NR0B1	1.0
GATA4	GATA4	1.0
FOXL2	FOXL2	1.0
FGF9	FGF9	1.0
DMRT1	DMRT1	1.0
DKK1	DKK1	1.0
DHH	DHH	1.0
CTNNB1	CTNNB1	1.0
FOXL2	CTNNB1	0.324131075868481
CTNNB1	FOXL2	0.324131075868481
AMH	DHH	0.257452738680444
DHH	AMH	0.257452738680443
PGD2	DHH	0.243170811044724
DHH	PGD2	0.243170811044724
FGF9	PGD2	0.237247564271853
PGD2	FGF9	0.237247564271853
FGF9	AMH	0.235180870340276
AMH	FGF9	0.235180870340276
FGF9	DHH	0.216064681111033
DHH	FGF9	0.216064681111033
DMRT1	CBX2	-0.210503499260475
CBX2	DMRT1	-0.210503499260475
GATA4	NR0B1	-0.205501346533738
NR0B1	GATA4	-0.205501346533738
AMH	PGD2	0.197568665405506
PGD2	AMH	0.197568665405506
UGR	CBX2	0.190435606193584
CBX2	UGR	0.190435606193584
WT1pKTS	FOXL2	-0.184229585496615
FOXL2	WT1pKTS	-0.184229585496614
RSPO1	FOXL2	0.183707704835253
FOXL2	RSPO1	0.183707704835253
UGR	WNT4	-0.183506119930638
WNT4	UGR	-0.183506119930638
UGR	NR0B1	-0.178422121940718
NR0B1	UGR	-0.178422121940718
CBX2	NR0B1	-0.177932878818644
NR0B1	CBX2	-0.177932878818644
CBX2	FOXL2	-0.174953744633846
FOXL2	CBX2	-0.174953744633846
SRY	CTNNB1	-0.172655600804051
CTNNB1	SRY	-0.172655600804051
CBX2	DKK1	-0.167943634495415
DKK1	CBX2	-0.167943634495415
CTNNB1	RSPO1	0.167224753016614
RSPO1	CTNNB1	0.167224753016614
WNT4	WT1mKTS	-0.165475388675266
WT1mKTS	WNT4	-0.165475388675266
CBX2	RSPO1	-0.164369903476885
RSPO1	CBX2	-0.164369903476885
CTNNB1	DMRT1	-0.160807787002708
DMRT1	CTNNB1	-0.160807787002708
NR0B1	WT1mKTS	-0.154607096461917
WT1mKTS	NR0B1	-0.154607096461917
WT1mKTS	GATA4	-0.152771779007919
GATA4	WT1mKTS	-0.152771779007919
CBX2	CTNNB1	-0.148852299104672
CTNNB1	CBX2	-0.148852299104672
WT1pKTS	WT1mKTS	-0.145539826405649
WT1mKTS	WT1pKTS	-0.145539826405649
SRY	UGR	-0.1427596158785
UGR	SRY	-0.1427596158785
NR0B1	NR5A1	-0.13746053838448
NR5A1	NR0B1	-0.13746053838448
CTNNB1	NR5A1	-0.134446236141983
NR5A1	CTNNB1	-0.134446236141983
CBX2	SOX9	-0.134070090567688
SOX9	CBX2	-0.134070090567687
PGD2	SOX9	0.132813881576108
SOX9	PGD2	0.132813881576108
WT1pKTS	GATA4	-0.129164281204028
GATA4	WT1pKTS	-0.129164281204028
FGF9	NR0B1	-0.128204333851472
NR0B1	FGF9	-0.128204333851472
DMRT1	DKK1	0.127726373568929
DKK1	DMRT1	0.127726373568929
DMRT1	WNT4	-0.126833226561516
WNT4	DMRT1	-0.126833226561516
RSPO1	GATA4	-0.12215979158938
GATA4	RSPO1	-0.12215979158938
NR5A1	SRY	-0.119282524492498
SRY	NR5A1	-0.119282524492498
FOXL2	DMRT1	-0.119097733967499
DMRT1	FOXL2	-0.119097733967499
NR0B1	WNT4	-0.11881233251887
WNT4	NR0B1	-0.11881233251887
RSPO1	SRY	-0.118283999521058
SRY	RSPO1	-0.118283999521058
SRY	FOXL2	-0.118189104054249
FOXL2	SRY	-0.118189104054249
WNT4	GATA4	-0.117871190058049
GATA4	WNT4	-0.117871190058049
SRY	GATA4	-0.116293302189952
GATA4	SRY	-0.116293302189952
AMH	NR0B1	-0.115334388727678
NR0B1	AMH	-0.115334388727677
DKK1	WNT4	-0.114939089669668
WNT4	DKK1	-0.114939089669667
UGR	DMRT1	-0.114528773289096
DMRT1	UGR	-0.114528773289095
RSPO1	UGR	-0.112449339917614
UGR	RSPO1	-0.112449339917614
