Gene1	Gene2	corVal	pValue
AMH	AMH	1	0
CBX2	CBX2	1	0
CTNNB1	CTNNB1	1	0
DHH	DHH	1	0
DKK1	DKK1	1	0
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
FOXL2	FOXL2	1	0
GATA4	GATA4	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
PGD2	PGD2	1	0
RSPO1	RSPO1	1	0
SOX9	SOX9	1	0
SRY	SRY	1	0
UGR	UGR	1	0
WNT4	WNT4	1	0
WT1mKTS	WT1mKTS	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	CTNNB1	0.324131075868481	9.8241510963693e-50
CTNNB1	FOXL2	0.324131075868481	9.82415109637071e-50
AMH	DHH	0.257452738680444	2.1798927258658e-31
DHH	AMH	0.257452738680443	2.17989272586612e-31
PGD2	DHH	0.243170811044724	4.40828380730729e-28
DHH	PGD2	0.243170811044724	4.40828380730729e-28
FGF9	PGD2	0.237247564271853	8.99233413539745e-27
PGD2	FGF9	0.237247564271853	8.99233413539758e-27
FGF9	AMH	0.235180870340276	2.5259702233723e-26
AMH	FGF9	0.235180870340276	2.52597022337235e-26
FGF9	DHH	0.216064681111033	2.2317850605447e-22
DHH	FGF9	0.216064681111033	2.23178506054478e-22
PGD2	AMH	0.197568665405506	6.68444661721258e-19
AMH	PGD2	0.197568665405506	6.68444661721258e-19
UGR	CBX2	0.190435606193584	1.19610829624031e-17
CBX2	UGR	0.190435606193584	1.19610829624032e-17
RSPO1	FOXL2	0.183707704835253	1.64086107205982e-16
FOXL2	RSPO1	0.183707704835253	1.64086107205987e-16
RSPO1	CTNNB1	0.167224753016614	6.63975883137699e-14
CTNNB1	RSPO1	0.167224753016614	6.63975883137754e-14
PGD2	SOX9	0.132813881576108	2.90445689819757e-09
SOX9	PGD2	0.132813881576108	2.90445689819772e-09
DKK1	DMRT1	0.127726373568929	1.14598079883845e-08
DMRT1	DKK1	0.127726373568929	1.1459807988385e-08
SOX9	DHH	0.108305542299458	1.33731517613082e-06
DHH	SOX9	0.108305542299458	1.33731517613083e-06
NR5A1	CBX2	0.0984369120627191	1.12629466150898e-05
CBX2	NR5A1	0.098436912062719	1.126294661509e-05
FGF9	SOX9	0.0927252674598076	3.54264665529821e-05
SOX9	FGF9	0.0927252674598076	3.54264665529824e-05
SOX9	AMH	0.0916439762902761	4.36954677954425e-05
AMH	SOX9	0.0916439762902759	4.36954677954439e-05
NR5A1	SOX9	0.0743682153460851	0.000919108325816604
SOX9	NR5A1	0.074368215346085	0.00091910832581662
WNT4	RSPO1	0.060228891875429	0.00730106984101715
RSPO1	WNT4	0.060228891875429	0.00730106984101716
SRY	DKK1	0.0473919203317742	0.0348360235982794
DKK1	SRY	0.0473919203317741	0.0348360235982796
DKK1	SOX9	0.0441966296508249	0.0490869396440795
SOX9	DKK1	0.0441966296508249	0.0490869396440796
DMRT1	SOX9	0.0423021332013631	0.0596452553532461
SOX9	DMRT1	0.0423021332013631	0.0596452553532462
DMRT1	SRY	0.0418510820835609	0.0624190730479812
SRY	DMRT1	0.0418510820835608	0.0624190730479817
CTNNB1	WNT4	0.039443038378179	0.0790868128219332
WNT4	CTNNB1	0.0394430383781789	0.0790868128219338
FGF9	DKK1	0.0346564849186658	0.12288552828431
DKK1	FGF9	0.0346564849186658	0.12288552828431
NR5A1	UGR	0.0224850589073739	0.316935689489673
UGR	NR5A1	0.0224850589073738	0.316935689489673
AMH	DMRT1	0.0202905952661102	0.366482660567321
DMRT1	AMH	0.0202905952661102	0.366482660567321
DHH	NR5A1	0.0154762255733833	0.490963757848359
NR5A1	DHH	0.0154762255733833	0.49096375784836
SRY	SOX9	0.0118734417340383	0.597207760299283
SOX9	SRY	0.0118734417340383	0.597207760299284
DMRT1	PGD2	0.0116250651683658	0.604901008481689
PGD2	DMRT1	0.0116250651683658	0.60490100848169
NR5A1	FGF9	0.00673504377579327	0.76438176310493
FGF9	NR5A1	0.00673504377579323	0.764381763104931
FOXL2	WNT4	0.00189037456510369	0.932955414488337
