Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.3426962496624136
DKK1	DMRT1	0.3258839902743199
DMRT1	DKK1	0.3072262301512344
FOXL2	WT1pKTS	0.2984045698566562
UGR	CBX2	0.2677281837843659
CTNNB1	RSPO1	0.2616274622345376
FGF9	PGD2	0.2573877926518118
CBX2	UGR	0.2564345961542071
PGD2	AMH	0.2491978862964347
RSPO1	CTNNB1	0.2445941295309379
PGD2	FGF9	0.2442625767515056
PGD2	DHH	0.2376542012343292
DHH	PGD2	0.2318655073187358
DMRT1	SRY	0.2311687646311511
RSPO1	WNT4	0.226433891543467
DKK1	SRY	0.2262569280058178
FGF9	DHH	0.2183421231529688
FOXL2	CTNNB1	0.2171525581661571
RSPO1	NR5A1	0.2163028844071906
DHH	FGF9	0.2056494834300182
DHH	AMH	0.2032481577939723
SRY	DKK1	0.1939662416738881
SRY	DMRT1	0.1918986140469583
FGF9	AMH	0.1883880058870436
PGD2	SOX9	0.1880200271485095
AMH	PGD2	0.1877769514361064
AMH	DHH	0.183220218500888
WNT4	NR0B1	0.1797189803902687
AMH	FGF9	0.1794655220350476
CTNNB1	FOXL2	0.1751590923989352
FGF9	SOX9	0.1714796689472308
GATA4	WT1mKTS	0.1706056633606343
WT1mKTS	GATA4	0.1705657882938457
DHH	SOX9	0.1692047256494412
CTNNB1	WNT4	0.1644897847481232
NR5A1	RSPO1	0.1641166296346189
WNT4	RSPO1	0.1613287867724561
NR0B1	WNT4	0.1510383565082387
SOX9	DKK1	0.1485310959695203
RSPO1	NR0B1	0.1458009330609981
SOX9	DMRT1	0.1358757975334765
NR5A1	FOXL2	0.1351857671905461
SRY	UGR	0.1345287621983089
CTNNB1	WT1pKTS	0.131012929575289
CTNNB1	NR5A1	0.1260065805722031
FOXL2	NR5A1	0.1250692440726332
SOX9	FGF9	0.1250563752844674
SRY	WT1pKTS	0.1215635747530432
NR5A1	WT1pKTS	0.1199780004557672
SOX9	DHH	0.119679994136258
FOXL2	RSPO1	0.1192151336867117
AMH	SOX9	0.1117992583434578
SOX9	AMH	0.1073574103448141
SOX9	SRY	0.1052607903345489
RSPO1	FOXL2	0.1018925043872541
WT1pKTS	WT1mKTS	0.1011866831849672
SOX9	PGD2	0.1007842274846812
NR5A1	CTNNB1	0.0997390010425038
UGR	GATA4	0.0991604857536658
NR5A1	CBX2	0.0937152869752964
NR0B1	UGR	0.0928881387490613
WT1pKTS	CTNNB1	0.0924934618100165
CTNNB1	NR0B1	0.0905479610635076
WT1pKTS	NR5A1	0.0901014947425269
UGR	WT1mKTS	0.0884734484278372
WNT4	CTNNB1	0.0870363168951754
WT1pKTS	SRY	0.0867920065049974
DKK1	SOX9	0.0860930906145368
DKK1	CBX2	0.0858897539856745
WT1pKTS	GATA4	0.0851561676067004
DMRT1	SOX9	0.0783155465478055
DMRT1	CBX2	0.0775544416418294
NR5A1	GATA4	0.0750018788688337
NR0B1	GATA4	0.0739556167399597
AMH	NR0B1	0.0736359836267775
RSPO1	CBX2	0.0728992019545192
UGR	NR0B1	0.0727612583577605
WNT4	UGR	0.0720299934913505
NR5A1	WT1mKTS	0.0717824451969621
CBX2	WT1mKTS	0.0714897736184108
NR0B1	WT1mKTS	0.0710595177744274
FOXL2	WNT4	0.0688181099270466
DKK1	DHH	0.0686838957010714
FGF9	DKK1	0.0681210124531255
SOX9	WNT4	0.0649326412526975
CTNNB1	CBX2	0.0645882672940585
RSPO1	WT1pKTS	0.0640614083705073
NR0B1	RSPO1	0.062045856949261
DHH	DMRT1	0.0618124913577806
CBX2	GATA4	0.0612035328852002
DKK1	UGR	0.0608739296322504
PGD2	NR0B1	0.0607625536043116
FGF9	DMRT1	0.0606519585214738
NR0B1	AMH	0.0605740674144006
SRY	FOXL2	0.0594963638195804
NR5A1	NR0B1	0.0587188071049735
PGD2	DKK1	0.0579264146060387
WT1pKTS	RSPO1	0.0577467458623007
SRY	CTNNB1	0.0576761364980386
DKK1	AMH	0.0566931731438275
SOX9	NR5A1	0.0553359893070117
DKK1	FGF9	0.054519939570292
SRY	NR0B1	0.0540338115945368
PGD2	DMRT1	0.0537168877432688
DMRT1	UGR	0.0528972959264864
DHH	DKK1	0.0527948917679597
RSPO1	UGR	0.052439220588181
NR5A1	WNT4	0.0514757974232081
WNT4	NR5A1	0.0512367059320332
WNT4	GATA4	0.0511423730173768
DKK1	PGD2	0.0507499970626812
DMRT1	AMH	0.0502813267067991
SRY	GATA4	0.0496969220066807
DMRT1	FGF9	0.0493046926977358
NR0B1	CTNNB1	0.0473837006847997
DMRT1	PGD2	0.0472505861766976
WNT4	WT1mKTS	0.0471245834002887
NR0B1	FGF9	0.0468068752551445
CBX2	NR5A1	0.0467574144428147
WNT4	FOXL2	0.045738766583524
SRY	NR5A1	0.0456247840233282
DMRT1	DHH	0.0454695242880645
SOX9	CBX2	0.0452070076315197
NR0B1	NR5A1	0.0451449917080355
DHH	NR0B1	0.0450515273551934
SRY	WT1mKTS	0.0448670235263865
FGF9	SRY	0.0448480516296408
CTNNB1	UGR	0.0442497363318044
SRY	SOX9	0.044022486429106
NR0B1	PGD2	0.0437716213137135
DKK1	WT1pKTS	0.0435870909519456
SRY	CBX2	0.043483766078291
NR5A1	SOX9	0.0430292945677543
DKK1	CTNNB1	0.042556521572633
GATA4	UGR	0.0423779442662059
NR0B1	DHH	0.0421157611788695
FGF9	NR0B1	0.0420051786320705
UGR	WNT4	0.041826371648037
DKK1	WNT4	0.0417448750098156
WT1pKTS	CBX2	0.0416299168510516
DMRT1	WT1pKTS	0.0401453442093823
DMRT1	WT1mKTS	0.0401016044843761
DKK1	WT1mKTS	0.0399538268478914
CTNNB1	SRY	0.0395981953682269
RSPO1	GATA4	0.039501127839361
WT1mKTS	UGR	0.038909328808352
DMRT1	CTNNB1	0.0385928966216985
DHH	SRY	0.0383850644532419
CTNNB1	GATA4	0.0378781193925015
DMRT1	GATA4	0.0374351523761821
WT1mKTS	WT1pKTS	0.0364692523085957
RSPO1	WT1mKTS	0.0362135528411586
DKK1	GATA4	0.0361146533275225
CTNNB1	WT1mKTS	0.035791507716995
PGD2	SRY	0.0355995655492593
DMRT1	WNT4	0.0354456763731271
WNT4	SOX9	0.0348214477084952
SOX9	WT1mKTS	0.0343750410235011
WT1mKTS	CBX2	0.0343576406838572
SOX9	GATA4	0.0339162193145111
UGR	SRY	0.0331910972177645
AMH	DMRT1	0.0330953923593339
CBX2	NR0B1	0.032913745870394
FOXL2	WT1mKTS	0.0324212387008237
SOX9	UGR	0.032242863033797
DHH	GATA4	0.0305824887634979
PGD2	GATA4	0.0305615384267899
DKK1	NR5A1	0.0299772808678713
AMH	DKK1	0.0299321392446288
AMH	GATA4	0.0296819762388998
PGD2	WT1mKTS	0.029580853951042
AMH	WT1mKTS	0.02943768635205
DHH	WT1mKTS	0.0293902117676535
FOXL2	GATA4	0.0293377623500642
DMRT1	NR5A1	0.0291965053563677
FGF9	GATA4	0.029108196798406
FOXL2	CBX2	0.0274930388067597
DMRT1	FOXL2	0.0269592098009815
NR0B1	FOXL2	0.0268575961835395
CBX2	RSPO1	0.0261531636248138
FGF9	WT1mKTS	0.0261453378245936
GATA4	WT1pKTS	0.0260992325407793
WNT4	CBX2	0.0258072478089633
WNT4	FGF9	0.0257424161371779
SRY	RSPO1	0.0256855961563098
FGF9	NR5A1	0.0254565951518455
CBX2	SRY	0.0249441976739431
NR0B1	SRY	0.0249279780674578
SRY	DHH	0.0248185830430721
RSPO1	SOX9	0.0245535452792428
CTNNB1	DMRT1	0.0245208488598
GATA4	CBX2	0.0242195078226623
WT1mKTS	NR0B1	0.0238693347272365
CTNNB1	DKK1	0.0236713629323609
CBX2	DMRT1	0.0235873938040341
NR0B1	CBX2	0.0235289721164408
SRY	PGD2	0.023443109736868
NR5A1	UGR	0.0233527392145376
SOX9	RSPO1	0.0232439697715243
FOXL2	SRY	0.0230405455062725
GATA4	NR0B1	0.0229998468539795
SRY	FGF9	0.0228952871663662
GATA4	NR5A1	0.0227055403583882
CBX2	DKK1	0.0227010805773185
DMRT1	NR0B1	0.0224827747558256
SRY	AMH	0.0222550681213408
WNT4	DKK1	0.0222211616933058
FGF9	WNT4	0.0219574306376701
WNT4	WT1pKTS	0.0219125676501024
DKK1	FOXL2	0.0218156818118056
DHH	UGR	0.0214273593500408
CBX2	WT1pKTS	0.0213878780886811
SRY	WNT4	0.0212520560465184
SOX9	NR0B1	0.0207425237570693
DHH	WNT4	0.0205598070821943
WT1mKTS	NR5A1	0.0205280815374234
PGD2	CBX2	0.0203363320444829
WT1pKTS	DMRT1	0.0203155543085418
CBX2	WNT4	0.0201732128982152
WNT4	PGD2	0.0201469544433205
NR5A1	SRY	0.0199601936261477
WT1pKTS	DKK1	0.0199171307790286
DHH	NR5A1	0.0197368524422735
DKK1	NR0B1	0.0196523127065626
DHH	CBX2	0.0195389987209019
WNT4	AMH	0.0195091604493532
AMH	SRY	0.0195053197420221
WNT4	DMRT1	0.0192933348214848
FGF9	CBX2	0.0188478507393095
FGF9	UGR	0.0187984926841077
PGD2	UGR	0.0186371452577533
PGD2	NR5A1	0.0186027527557245
SOX9	WT1pKTS	0.0179155975542362
AMH	NR5A1	0.0175880618669473
WT1pKTS	NR0B1	0.0173561333920492
FOXL2	NR0B1	0.0169463331464841
UGR	RSPO1	0.016667221079486
CBX2	CTNNB1	0.0164885057112174
WNT4	SRY	0.0164860255408663
DMRT1	RSPO1	0.016243573758702
UGR	CTNNB1	0.016170177691472
PGD2	WNT4	0.0161506135133508
WNT4	DHH	0.0161321750360297
DKK1	RSPO1	0.0161282345195067
AMH	WNT4	0.0160140986678342
WT1pKTS	UGR	0.0159994216724276
RSPO1	SRY	0.0153291834992991
WT1pKTS	WNT4	0.0147202102183531
UGR	NR5A1	0.0146282404553807
UGR	WT1pKTS	0.0144150646664602
NR5A1	AMH	0.0143475408256113
NR0B1	WT1pKTS	0.0141229824554415
NR5A1	FGF9	0.0139940245123543
NR5A1	DHH	0.0139290378270961
CBX2	FOXL2	0.013779383655652
AMH	CBX2	0.0131745850600153
NR5A1	PGD2	0.0123261967081583
NR5A1	DKK1	0.0121252242535044
WT1mKTS	WNT4	0.0119686808660508
NR0B1	SOX9	0.0116998670720338
AMH	UGR	0.0114663352699747
FGF9	RSPO1	0.0113231983731521
UGR	DKK1	0.0111151305862505
GATA4	WNT4	0.0109983856360513
NR5A1	DMRT1	0.0109262481938462
UGR	FOXL2	0.0104508532570249
FOXL2	UGR	0.0104466973711526
PGD2	RSPO1	0.0100700178513685
RSPO1	DKK1	0.009888996084504
UGR	DMRT1	0.0096766896327202
SOX9	CTNNB1	0.0093841262107626
RSPO1	DMRT1	0.0091823079749865
FOXL2	DKK1	0.0083645038853646
SOX9	FOXL2	0.0083201792093638
DHH	RSPO1	0.0082531954314985
PGD2	WT1pKTS	0.0081851054700589
WT1mKTS	FOXL2	0.0079716671411518
CTNNB1	SOX9	0.007882951584284
FOXL2	DMRT1	0.0078174519644211
FGF9	WT1pKTS	0.0076991638771465
WT1mKTS	RSPO1	0.0074977031115044
GATA4	SRY	0.0074365057313129
WT1mKTS	SRY	0.0072695869180293
UGR	SOX9	0.0072661912027533
GATA4	FOXL2	0.0070927913162141
DHH	WT1pKTS	0.0069708598542225
GATA4	RSPO1	0.0069450836542542
CBX2	SOX9	0.006724074586002
RSPO1	FGF9	0.0064667321397262
RSPO1	PGD2	0.0064609589548155
WT1mKTS	CTNNB1	0.0060973491711015
AMH	WT1pKTS	0.0060693773616838
RSPO1	AMH	0.0060480198619904
GATA4	CTNNB1	0.0060100948101341
RSPO1	DHH	0.0059741016496468
AMH	RSPO1	0.0057084275279928
CBX2	FGF9	0.0054183214795556
NR0B1	DKK1	0.0053686779428436
CBX2	DHH	0.0051884102985241
FGF9	CTNNB1	0.0050099140678397
NR0B1	DMRT1	0.0049905102909151
UGR	FGF9	0.0049528497882845
PGD2	CTNNB1	0.0048686656343703
DHH	CTNNB1	0.0047858667239487
WT1pKTS	SOX9	0.0046898662764542
CBX2	AMH	0.0045420945490851
PGD2	FOXL2	0.0044983485219741
CTNNB1	FGF9	0.0044234458022842
AMH	FOXL2	0.0042227797958234
UGR	DHH	0.0041230064681767
CTNNB1	DHH	0.0039914243533114
AMH	CTNNB1	0.0039605771571925
FGF9	FOXL2	0.0039509176841061
DHH	FOXL2	0.003911847580109
WT1pKTS	DHH	0.0039026504931409
FOXL2	SOX9	0.0036456888566773
CTNNB1	PGD2	0.0036370640796365
CTNNB1	AMH	0.0036283860969696
GATA4	SOX9	0.0035521420515867
WT1mKTS	DMRT1	0.0035044562707398
UGR	PGD2	0.0034430977777207
WT1pKTS	FGF9	0.0034041481857443
GATA4	DMRT1	0.003250072041898
WT1mKTS	SOX9	0.0032001271346278
GATA4	DKK1	0.0031279665532788
UGR	AMH	0.0030527726762152
WT1pKTS	AMH	0.0030093666936683
WT1pKTS	PGD2	0.0030056601320442
WT1mKTS	DKK1	0.0030007388458437
WT1mKTS	AMH	0.0029006263474159
FOXL2	FGF9	0.0026929043396419
CBX2	PGD2	0.0026610804435442
GATA4	FGF9	0.0026550056373126
FOXL2	AMH	0.0024975668152994
GATA4	AMH	0.0024693699757578
FOXL2	DHH	0.0023856206126
WT1mKTS	FGF9	0.0022893997873406
WT1mKTS	DHH	0.0022383254119276
GATA4	DHH	0.0021509466140241
FOXL2	PGD2	0.0018103796128786
WT1mKTS	PGD2	0.0017916798988326
GATA4	PGD2	0.0016871347677526
