TF	target	importance
WT1pKTS	FOXL2	0.34269624966241363
DKK1	DMRT1	0.3258839902743199
DMRT1	DKK1	0.3072262301512344
FOXL2	WT1pKTS	0.2984045698566562
UGR	CBX2	0.2677281837843659
CTNNB1	RSPO1	0.26162746223453764
FGF9	PGD2	0.2573877926518118
CBX2	UGR	0.2564345961542071
PGD2	AMH	0.2491978862964347
RSPO1	CTNNB1	0.2445941295309379
PGD2	FGF9	0.2442625767515056
PGD2	DHH	0.23765420123432926
DHH	PGD2	0.23186550731873587
DMRT1	SRY	0.23116876463115116
RSPO1	WNT4	0.22643389154346708
DKK1	SRY	0.2262569280058178
FGF9	DHH	0.21834212315296883
FOXL2	CTNNB1	0.21715255816615714
RSPO1	NR5A1	0.2163028844071906
DHH	FGF9	0.20564948343001827
DHH	AMH	0.20324815779397234
SRY	DKK1	0.19396624167388818
SRY	DMRT1	0.19189861404695835
FGF9	AMH	0.1883880058870436
PGD2	SOX9	0.18802002714850957
AMH	PGD2	0.18777695143610643
AMH	DHH	0.18322021850088807
WNT4	NR0B1	0.1797189803902687
AMH	FGF9	0.17946552203504762
CTNNB1	FOXL2	0.1751590923989352
FGF9	SOX9	0.17147966894723082
GATA4	WT1mKTS	0.17060566336063432
WT1mKTS	GATA4	0.17056578829384575
DHH	SOX9	0.1692047256494412
CTNNB1	WNT4	0.16448978474812326
NR5A1	RSPO1	0.16411662963461895
WNT4	RSPO1	0.16132878677245616
NR0B1	WNT4	0.15103835650823877
SOX9	DKK1	0.14853109596952033
RSPO1	NR0B1	0.14580093306099812
SOX9	DMRT1	0.13587579753347653
NR5A1	FOXL2	0.13518576719054617
SRY	UGR	0.13452876219830892
CTNNB1	WT1pKTS	0.13101292957528904
CTNNB1	NR5A1	0.12600658057220315
FOXL2	NR5A1	0.1250692440726332
SOX9	FGF9	0.1250563752844674
SRY	WT1pKTS	0.12156357475304325
NR5A1	WT1pKTS	0.11997800045576723
SOX9	DHH	0.11967999413625804
FOXL2	RSPO1	0.1192151336867117
AMH	SOX9	0.11179925834345786
SOX9	AMH	0.10735741034481416
SOX9	SRY	0.10526079033454892
RSPO1	FOXL2	0.10189250438725414
WT1pKTS	WT1mKTS	0.10118668318496724
SOX9	PGD2	0.1007842274846812
NR5A1	CTNNB1	0.09973900104250381
UGR	GATA4	0.0991604857536658
NR5A1	CBX2	0.09371528697529646
NR0B1	UGR	0.0928881387490613
WT1pKTS	CTNNB1	0.09249346181001657
CTNNB1	NR0B1	0.09054796106350763
WT1pKTS	NR5A1	0.09010149474252699
UGR	WT1mKTS	0.08847344842783725
WNT4	CTNNB1	0.08703631689517541
WT1pKTS	SRY	0.08679200650499748
DKK1	SOX9	0.08609309061453688
DKK1	CBX2	0.08588975398567458
WT1pKTS	GATA4	0.08515616760670047
DMRT1	SOX9	0.07831554654780559
DMRT1	CBX2	0.0775544416418294
NR5A1	GATA4	0.07500187886883376
NR0B1	GATA4	0.07395561673995976
AMH	NR0B1	0.0736359836267775
RSPO1	CBX2	0.07289920195451925
UGR	NR0B1	0.07276125835776058
WNT4	UGR	0.07202999349135053
NR5A1	WT1mKTS	0.07178244519696217
CBX2	WT1mKTS	0.07148977361841084
NR0B1	WT1mKTS	0.0710595177744274
FOXL2	WNT4	0.06881810992704669
DKK1	DHH	0.06868389570107147
FGF9	DKK1	0.0681210124531255
SOX9	WNT4	0.06493264125269757
CTNNB1	CBX2	0.0645882672940585
RSPO1	WT1pKTS	0.06406140837050738
NR0B1	RSPO1	0.06204585694926103
DHH	DMRT1	0.061812491357780636
CBX2	GATA4	0.06120353288520028
DKK1	UGR	0.06087392963225044
PGD2	NR0B1	0.060762553604311625
FGF9	DMRT1	0.060651958521473884
NR0B1	AMH	0.06057406741440066
SRY	FOXL2	0.05949636381958047
NR5A1	NR0B1	0.05871880710497357
PGD2	DKK1	0.05792641460603876
WT1pKTS	RSPO1	0.05774674586230077
SRY	CTNNB1	0.05767613649803869
DKK1	AMH	0.056693173143827526
SOX9	NR5A1	0.05533598930701171
DKK1	FGF9	0.054519939570292074
SRY	NR0B1	0.05403381159453689
PGD2	DMRT1	0.053716887743268875
DMRT1	UGR	0.05289729592648646
DHH	DKK1	0.052794891767959776
RSPO1	UGR	0.05243922058818108
NR5A1	WNT4	0.051475797423208104
WNT4	NR5A1	0.05123670593203322
WNT4	GATA4	0.0511423730173768
DKK1	PGD2	0.05074999706268125
DMRT1	AMH	0.050281326706799176
SRY	GATA4	0.04969692200668072
DMRT1	FGF9	0.049304692697735894
NR0B1	CTNNB1	0.04738370068479972
DMRT1	PGD2	0.04725058617669768
WNT4	WT1mKTS	0.0471245834002887
NR0B1	FGF9	0.04680687525514458
CBX2	NR5A1	0.0467574144428147
WNT4	FOXL2	0.04573876658352409
SRY	NR5A1	0.04562478402332828
DMRT1	DHH	0.04546952428806454
SOX9	CBX2	0.04520700763151979
NR0B1	NR5A1	0.04514499170803557
DHH	NR0B1	0.04505152735519348
SRY	WT1mKTS	0.044867023526386544
FGF9	SRY	0.04484805162964081
CTNNB1	UGR	0.044249736331804436
SRY	SOX9	0.044022486429106084
NR0B1	PGD2	0.04377162131371357
DKK1	WT1pKTS	0.043587090951945656
SRY	CBX2	0.04348376607829106
NR5A1	SOX9	0.04302929456775434
DKK1	CTNNB1	0.042556521572633024
GATA4	UGR	0.04237794426620598
NR0B1	DHH	0.04211576117886959
FGF9	NR0B1	0.042005178632070546
