Gene1	Gene2	EdgeWeight
UGR	CBX2	216.30326553407633
FOXL2	WT1pKTS	194.95132263889352
DKK1	DMRT1	168.64936455891512
CBX2	UGR	159.46206530389324
RSPO1	NR5A1	141.935366971622
DMRT1	DKK1	136.07104435314878
FGF9	PGD2	132.78288976644944
WT1pKTS	FOXL2	129.85065338152504
AMH	PGD2	127.51153202836238
SOX9	DMRT1	118.723062858283
SRY	DMRT1	117.77264857260693
FOXL2	NR5A1	111.8087972585184
GATA4	WT1mKTS	111.77107460982694
DMRT1	SRY	110.52588617755367
NR5A1	WT1pKTS	108.8377356031571
FOXL2	CTNNB1	107.35804395083429
AMH	DHH	106.73933807458565
SRY	WT1pKTS	104.46509409730002
DKK1	SRY	103.93955175830853
PGD2	DHH	101.76599125881872
RSPO1	WNT4	101.66614421509932
SOX9	DKK1	97.07602840001395
SRY	DKK1	96.50188551341913
DHH	PGD2	95.8487202335201
RSPO1	CTNNB1	95.70015581428696
FGF9	SOX9	93.07206727041456
AMH	FGF9	91.60837052689682
CTNNB1	WT1pKTS	91.37019506924364
RSPO1	WT1pKTS	90.19547948070446
SOX9	SRY	89.61695357085297
NR0B1	WNT4	89.44717144340667
CTNNB1	FOXL2	89.31083166004534
WNT4	CTNNB1	87.50404893230642
WNT4	RSPO1	85.49146206984639
CBX2	NR5A1	84.94338765001145
PGD2	AMH	83.36366515080438
RSPO1	CBX2	82.57887685334201
WT1pKTS	NR5A1	81.55647591064285
CTNNB1	NR5A1	81.53987631348457
NR5A1	FOXL2	80.78678405096183
WT1mKTS	GATA4	80.64355636791662
SOX9	DHH	78.93375036395408
CTNNB1	WNT4	78.70177690821009
DHH	FGF9	77.92204056747967
NR0B1	UGR	77.60561610572532
NR5A1	CBX2	76.86135106899047
CTNNB1	RSPO1	76.53130586347511
SOX9	FGF9	75.85567932782635
FGF9	AMH	73.82283092986576
PGD2	SOX9	73.6062570709938
CTNNB1	SRY	73.49753112767051
DHH	AMH	70.4870737555328
RSPO1	NR0B1	70.469040268075
CTNNB1	UGR	70.08329241201203
PGD2	DMRT1	69.31322530009088
CTNNB1	CBX2	68.06330770289865
FOXL2	WNT4	66.90480329777479
WNT4	NR0B1	65.6036742590449
FOXL2	RSPO1	65.07504266979012
DHH	SOX9	64.95038277457296
AMH	DKK1	64.91292366340144
NR5A1	RSPO1	63.01306709022404
DMRT1	WT1pKTS	62.695119963965034
DKK1	WT1pKTS	61.81000050985483
SRY	NR5A1	61.14609813137417
PGD2	FGF9	60.90612389498828
WNT4	NR5A1	60.300700905651574
DKK1	CBX2	60.05547291816583
FOXL2	SRY	58.739908082633136
DHH	DKK1	56.33290534575973
SRY	FOXL2	54.759309250604616
WT1pKTS	DMRT1	53.89097034905297
PGD2	DKK1	53.82281057450131
SRY	UGR	53.81068794104794
DHH	NR0B1	53.734854590481305
AMH	SOX9	53.49301296183729
DHH	DMRT1	53.221612067114215
FGF9	DHH	51.857771676314016
NR0B1	RSPO1	51.67444088293238
NR0B1	AMH	51.38125179433205
WT1pKTS	CTNNB1	51.204546084664834
CTNNB1	DMRT1	51.17247284498205
WNT4	UGR	50.85503267605771
PGD2	NR5A1	49.97543049580489
UGR	WT1mKTS	49.871976510459874
RSPO1	UGR	49.79121642161424
DMRT1	CBX2	49.59587286199099
FGF9	DKK1	49.592426709384775
SOX9	AMH	49.241561833436826
DKK1	PGD2	48.92264259202625
DKK1	AMH	48.68488615737756
UGR	NR0B1	48.65203462188862
WNT4	FOXL2	48.64248688555829
PGD2	NR0B1	48.51789834707841
NR5A1	WNT4	48.3670751380895
UGR	GATA4	47.16906705665125
AMH	NR5A1	46.75091526974859
NR0B1	PGD2	46.72128598435234
NR5A1	CTNNB1	46.420464776108695
NR0B1	NR5A1	46.28685014867041
RSPO1	FOXL2	46.12839378326744
WT1pKTS	CBX2	46.08272226387047
NR5A1	NR0B1	46.02798256548338
AMH	NR0B1	45.99704135058023
UGR	RSPO1	45.85236831954903
DMRT1	PGD2	45.37061117264939
DHH	NR5A1	45.32631409190845
WT1pKTS	RSPO1	45.22457890958279
CBX2	RSPO1	45.14501561761733
WNT4	CBX2	44.993489717767886
PGD2	SRY	44.38376653037753
SOX9	PGD2	44.37603383827446
CTNNB1	DKK1	44.14948383078419
WNT4	DMRT1	44.06050186661368
WNT4	PGD2	43.912400276541874
SRY	CTNNB1	43.54673720568006
NR0B1	CTNNB1	43.20274652137764
AMH	WNT4	42.79200520529349
NR0B1	FGF9	42.655963778147076
NR0B1	GATA4	42.6091288598016
NR5A1	PGD2	42.506449801847396
NR0B1	DHH	42.23647545045522
DHH	WNT4	42.14263628411206
SOX9	NR5A1	41.720018634993934
WT1pKTS	WT1mKTS	41.669397930808394
DKK1	FGF9	41.446657144478024
DMRT1	SOX9	41.41375487497754
FOXL2	CBX2	41.26550954111511
FGF9	DMRT1	40.09299446094364
FOXL2	UGR	39.852814650975695
DKK1	CTNNB1	39.82533173729438
UGR	WNT4	39.67953651143189
DMRT1	UGR	39.40262115698105
DKK1	WNT4	39.257531816693906
AMH	DMRT1	39.14875186551463
WNT4	GATA4	38.571151286
NR0B1	WT1mKTS	37.93929165899992
WNT4	SOX9	37.36773613234601
RSPO1	SRY	37.22895811264568
DMRT1	WNT4	37.04283824947647
DMRT1	AMH	36.840171102614974
FGF9	NR0B1	36.63510627139837
WT1mKTS	NR0B1	36.48588891671327
SRY	CBX2	35.99322597674576
NR5A1	UGR	35.89077359833857
FGF9	NR5A1	35.78120999466111
NR5A1	SRY	35.2497157966551
SRY	SOX9	34.81738556262859
CTNNB1	SOX9	34.81069464705414
AMH	SRY	34.774401949845505
WT1pKTS	WNT4	34.71225851726569
SOX9	WNT4	34.57740981598624
WNT4	FGF9	34.525551913009394
CTNNB1	NR0B1	34.51242844189609
DMRT1	DHH	34.503204043781444
DMRT1	CTNNB1	34.15065391905951
UGR	SRY	33.719807747653924
SOX9	CBX2	33.6817587172795
SOX9	WT1pKTS	33.428669500957945
WT1pKTS	DKK1	33.23102036969753
WT1pKTS	GATA4	32.12932091459306
SRY	PGD2	31.87149951420856
WT1pKTS	SRY	31.71084131550317
CBX2	NR0B1	31.62625016985583
DMRT1	NR5A1	31.5807682193434
DKK1	NR5A1	31.405703532667975
CBX2	WT1mKTS	31.387986471422764
NR5A1	AMH	31.232015014271692
WNT4	WT1mKTS	31.06236248871532
DKK1	SOX9	30.5927277064345
DKK1	UGR	30.577417035355868
CBX2	CTNNB1	30.43911775768869
FGF9	SRY	29.91754918140492
DHH	SRY	29.74427695638864
FOXL2	WT1mKTS	29.342019614595777
CBX2	DMRT1	29.11570548368887
FGF9	WNT4	29.039407987988827
RSPO1	DHH	28.99847299954594
CBX2	WT1pKTS	28.958231685588466
WNT4	DKK1	28.94961600682216
CBX2	DKK1	28.840316471637102
SRY	WT1mKTS	28.475623021156608
PGD2	WNT4	28.388479284912183
UGR	DKK1	28.062817100265473
NR5A1	GATA4	27.971623773853395
SOX9	RSPO1	27.482392616479057
UGR	CTNNB1	27.37744321426369
SOX9	NR0B1	27.339484433095535
RSPO1	DMRT1	27.251784737208386
NR0B1	FOXL2	27.205565610551
FOXL2	NR0B1	26.753918818760557
RSPO1	GATA4	26.739461258350868
DMRT1	FOXL2	26.18932420877545
FOXL2	DKK1	26.110403963510407
NR5A1	SOX9	25.90987668380003
DKK1	RSPO1	25.876430917800885
NR0B1	CBX2	25.810773490365857
NR5A1	FGF9	25.798920094004828
DHH	CBX2	25.39582892025581
WNT4	AMH	25.27952808474667
AMH	WT1pKTS	25.180700740542974
AMH	CBX2	24.967740054281943
SRY	WNT4	24.92209503996434
NR5A1	WT1mKTS	24.66376998750053
