Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.8557347318967962
RSPO1	CTNNB1	0.8557347318967962
DKK1	DMRT1	0.8434179486892645
DMRT1	DKK1	0.8434179486892645
WT1pKTS	FOXL2	-0.8113059187438584
FOXL2	WT1pKTS	-0.8113059187438584
WT1mKTS	GATA4	0.7972327576620796
GATA4	WT1mKTS	0.7972327576620796
WNT4	NR0B1	0.769136469146119
NR0B1	WNT4	0.769136469146119
NR5A1	FOXL2	-0.7647373150435035
FOXL2	NR5A1	-0.7647373150435035
DHH	FGF9	0.7622693394948417
FGF9	DHH	0.7622693394948417
PGD2	FGF9	0.7616239989588275
FGF9	PGD2	0.7616239989588275
DHH	PGD2	0.7610721012820204
PGD2	DHH	0.7610721012820204
WNT4	RSPO1	0.7582749647760735
RSPO1	WNT4	0.7582749647760735
AMH	PGD2	0.7559726647997007
PGD2	AMH	0.7559726647997007
FOXL2	CTNNB1	0.7509704638966985
CTNNB1	FOXL2	0.7509704638966985
WT1pKTS	NR5A1	0.7504491943984655
NR5A1	WT1pKTS	0.7504491943984655
WNT4	CTNNB1	0.7478429606881032
CTNNB1	WNT4	0.7478429606881032
DHH	AMH	0.7459743939048623
AMH	DHH	0.7459743939048623
FGF9	AMH	0.7413276319224855
AMH	FGF9	0.7413276319224855
NR5A1	RSPO1	-0.7369522770652402
RSPO1	NR5A1	-0.7369522770652402
UGR	CBX2	0.7251765746081748
CBX2	UGR	0.7251765746081748
SRY	DMRT1	0.7246268156628328
DMRT1	SRY	0.7246268156628328
DKK1	SOX9	0.7241473228528136
SOX9	DKK1	0.7241473228528136
SRY	DKK1	0.7239963219788769
DKK1	SRY	0.7239963219788769
NR5A1	CTNNB1	-0.7140953131159583
CTNNB1	NR5A1	-0.7140953131159583
DMRT1	SOX9	0.7083842193720814
SOX9	DMRT1	0.7083842193720814
SOX9	WNT4	-0.7012392308841492
WNT4	SOX9	-0.7012392308841492
FOXL2	SRY	-0.6952319822067813
SRY	FOXL2	-0.6952319822067813
FOXL2	RSPO1	0.6922993908737587
RSPO1	FOXL2	0.6922993908737587
PGD2	WNT4	-0.6836255244954774
WNT4	PGD2	-0.6836255244954774
PGD2	SOX9	0.6771315165671771
SOX9	PGD2	0.6771315165671771
DHH	SOX9	0.6681836208347771
SOX9	DHH	0.6681836208347771
WNT4	FGF9	-0.6679503041123712
FGF9	WNT4	-0.6679503041123712
FGF9	SOX9	0.6637207106386689
SOX9	FGF9	0.6637207106386689
WNT4	DHH	-0.6612646320402042
DHH	WNT4	-0.6612646320402042
WT1pKTS	CTNNB1	-0.6580076683363835
CTNNB1	WT1pKTS	-0.6580076683363835
NR0B1	RSPO1	0.6568794926046562
RSPO1	NR0B1	0.6568794926046562
AMH	WNT4	-0.6428124220042462
WNT4	AMH	-0.6428124220042462
AMH	NR0B1	-0.6380314238670176
NR0B1	AMH	-0.6380314238670176
AMH	SOX9	0.6286227277573081
SOX9	AMH	0.6286227277573081
PGD2	NR0B1	-0.6279957576589376
NR0B1	PGD2	-0.6279957576589376
NR0B1	CTNNB1	0.6229307501938404
CTNNB1	NR0B1	0.6229307501938404
NR0B1	FGF9	-0.6188933360566271
FGF9	NR0B1	-0.6188933360566271
DHH	NR0B1	-0.6111790434450302
NR0B1	DHH	-0.6111790434450302
WNT4	DMRT1	-0.602809851019914
DMRT1	WNT4	-0.602809851019914
RSPO1	WT1pKTS	-0.601513686802663
WT1pKTS	RSPO1	-0.601513686802663
SOX9	SRY	0.5991012915501421
SRY	SOX9	0.5991012915501421
DKK1	WNT4	-0.5895723934576037
WNT4	DKK1	-0.5895723934576037
CTNNB1	SRY	-0.5829533542956621
SRY	CTNNB1	-0.5829533542956621
DKK1	FOXL2	-0.5739089029305572
FOXL2	DKK1	-0.5739089029305572
DMRT1	FOXL2	-0.5673729406367518
FOXL2	DMRT1	-0.5673729406367518
SOX9	RSPO1	-0.5639152380150267
RSPO1	SOX9	-0.5639152380150267
WT1pKTS	SRY	0.5596398174154952
SRY	WT1pKTS	0.5596398174154952
SOX9	CTNNB1	-0.5575390121733056
CTNNB1	SOX9	-0.5575390121733056
FOXL2	WNT4	0.5546401779082617
WNT4	FOXL2	0.5546401779082617
DMRT1	CTNNB1	-0.5508779802751075
CTNNB1	DMRT1	-0.5508779802751075
NR5A1	WNT4	-0.5496358654970835
WNT4	NR5A1	-0.5496358654970835
PGD2	DKK1	0.5480171621499703
DKK1	PGD2	0.5480171621499703
PGD2	RSPO1	-0.5454774994126301
RSPO1	PGD2	-0.5454774994126301
RSPO1	FGF9	-0.5427483611696743
FGF9	RSPO1	-0.5427483611696743
PGD2	DMRT1	0.5427115007678045
DMRT1	PGD2	0.5427115007678045
DKK1	CTNNB1	-0.5368128736093241
CTNNB1	DKK1	-0.5368128736093241
DHH	RSPO1	-0.5353716224428509
RSPO1	DHH	-0.5353716224428509
DHH	DKK1	0.5215172702681351
DKK1	DHH	0.5215172702681351
NR0B1	NR5A1	-0.5207570154200377
NR5A1	NR0B1	-0.5207570154200377
FGF9	DMRT1	0.5205244062674893
DMRT1	FGF9	0.5205244062674893
RSPO1	AMH	-0.5192429546684633
AMH	RSPO1	-0.5192429546684633
RSPO1	SRY	-0.5155208497527634
SRY	RSPO1	-0.5155208497527634
DKK1	FGF9	0.5149912447417726
FGF9	DKK1	0.5149912447417726
DMRT1	DHH	0.5118139733643715
DHH	DMRT1	0.5118139733643715
PGD2	CTNNB1	-0.5086306811649639
CTNNB1	PGD2	-0.5086306811649639
