	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.5205244062674893	-0.4487913319726637	0.5118139733643715	-0.5508779802751075	0.5427115007678045	-0.41296159311085356	0.7246268156628328	0.8434179486892645	-0.602809851019914	-0.2813189282328233	0.5010509471914125	-0.3733471165012311	0.3088789723175598	0.41465883915111074	-0.5673729406367518	-0.2657496916929772	0.7083842193720814	-0.4537960566021776
FGF9	0.5205244062674893	1.0	-0.5427483611696743	0.7622693394948417	-0.4880462447747091	0.7616239989588275	-0.47109310972762575	0.4109414880373562	0.5149912447417726	-0.6679503041123712	-0.25819691727783295	0.7413276319224855	-0.6188933360566271	0.3276472851994959	0.2035434551999651	-0.35875564301770874	-0.14904863326609255	0.6637207106386689	-0.4780148777286192
RSPO1	-0.4487913319726637	-0.5427483611696743	1.0	-0.5353716224428509	0.8557347318967962	-0.5454774994126301	0.23745661588010597	-0.5155208497527634	-0.4494742559483242	0.7582749647760735	-0.30655321226519905	-0.5192429546684633	0.6568794926046562	-0.7369522770652402	-0.601513686802663	0.6922993908737587	-0.32632309137874776	-0.5639152380150267	0.25198553957844166
DHH	0.5118139733643715	0.7622693394948417	-0.5353716224428509	1.0	-0.4835800068969832	0.7610721012820204	-0.46250685430650634	0.3968838471781613	0.5215172702681351	-0.6612646320402042	-0.2562608620878393	0.7459743939048623	-0.6111790434450302	0.32750146517969947	0.2093977126087911	-0.3456996425459608	-0.15063865715522756	0.6681836208347771	-0.4853289494336924
CTNNB1	-0.5508779802751075	-0.4880462447747091	0.8557347318967962	-0.4835800068969832	1.0	-0.5086306811649639	0.2312446835963522	-0.5829533542956621	-0.5368128736093241	0.7478429606881032	-0.2928839897554515	-0.4800712033185567	0.6229307501938404	-0.7140953131159583	-0.6580076683363835	0.7509704638966985	-0.3127982456646485	-0.5575390121733056	0.24737628437916864
PGD2	0.5427115007678045	0.7616239989588275	-0.5454774994126301	0.7610721012820204	-0.5086306811649639	1.0	-0.4744079153981115	0.43842191741158965	0.5480171621499703	-0.6836255244954774	-0.2655605122753391	0.7559726647997007	-0.6279957576589376	0.3523957220466511	0.24638894444409415	-0.3886959149905419	-0.16350410891357572	0.6771315165671771	-0.4898311220073833
WT1mKTS	-0.41296159311085356	-0.47109310972762575	0.23745661588010597	-0.46250685430650634	0.2312446835963522	-0.4744079153981115	1.0	-0.37195891091013955	-0.42463435045726733	0.3415318416167837	0.19650972849028303	-0.4617108603336011	0.2976535766094625	-0.13220967912753678	-0.07951986453219168	0.21606518285830123	0.045590821124621476	-0.4613485722915426	0.7972327576620796
SRY	0.7246268156628328	0.4109414880373562	-0.5155208497527634	0.3968838471781613	-0.5829533542956621	0.43842191741158965	-0.37195891091013955	1.0	0.7239963219788769	-0.45331830114071925	-0.07048221338426303	0.3998519987444254	-0.24293937025092413	0.48293477700488263	0.5596398174154952	-0.6952319822067813	-0.19644186021568547	0.5991012915501421	-0.37724085830677034
DKK1	0.8434179486892645	0.5149912447417726	-0.4494742559483242	0.5215172702681351	-0.5368128736093241	0.5480171621499703	-0.42463435045726733	0.7239963219788769	1.0	-0.5895723934576037	-0.30107908517722637	0.507704491417066	-0.37053469915174364	0.3126329504543088	0.40851038897127323	-0.5739089029305572	-0.26520177937167105	0.7241473228528136	-0.4545261065800194
WNT4	-0.602809851019914	-0.6679503041123712	0.7582749647760735	-0.6612646320402042	0.7478429606881032	-0.6836255244954774	0.3415318416167837	-0.45331830114071925	-0.5895723934576037	1.0	-0.01112776094852082	-0.6428124220042462	0.769136469146119	-0.5496358654970835	-0.45079170670848606	0.5546401779082617	-0.14211272363192462	-0.7012392308841492	0.36839567181045496
