Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,0.7195841786922949,1.0,1.0,1.0,3.3008839583481953,3.1787887513118127,3.3766766586986465,30,30,30,1
CTNNB1,RSPO1,0.8536131381519351,1.0,1.0,1.0,1.8903432217066443,1.8478705614551905,1.93452058261225,30,30,30,1
DKK1,DMRT1,0.8446915417167539,1.0,1.0,1.0,2.315130662321046,2.2487393196026515,2.385461873078505,30,30,30,1
DMRT1,DKK1,0.8446915417167539,1.0,1.0,1.0,2.2692878643132306,2.2028339043038914,2.3291585639139303,30,30,30,1
FOXL2,NR5A1,-0.7662335856112574,1.0,1.0,1.0,1.6756715903019002,1.6533166632843301,1.7031032094959546,30,30,30,1
FOXL2,WT1pKTS,-0.8120441533928808,1.0,1.0,1.0,2.0189771404587833,1.9935111399161987,2.043820423212174,30,30,30,1
GATA4,WT1mKTS,0.7973325640282967,1.0,1.0,1.0,2.5723376775232203,2.493229759157032,2.6390808879415792,30,30,30,1
RSPO1,CTNNB1,0.8536131381519351,1.0,1.0,1.0,1.8332729385907192,1.772235446606801,1.8810036425632757,30,30,30,1
UGR,CBX2,0.7195841786922949,1.0,1.0,1.0,3.081286448366448,3.027510126662738,3.1206563000302725,30,30,30,1
WNT4,NR0B1,0.7639141951522771,1.0,1.0,1.0,1.8000462373639345,1.7478141481826386,1.8695990911326366,30,30,30,1
WT1mKTS,GATA4,0.7973325640282967,1.0,1.0,1.0,2.4549039180728007,2.3914721715975364,2.513326644134114,30,30,30,1
WT1pKTS,FOXL2,-0.8120441533928808,1.0,1.0,1.0,1.6742930188914307,1.617524036086397,1.7162921700566882,30,30,30,1
DKK1,SOX9,0.7179057504570622,0.996078431372549,1.0,0.996078431372549,1.1863298351066056,1.1276447419190805,1.251428689720738,30,30,30,1
DKK1,SRY,0.7311644846841828,0.996078431372549,1.0,0.996078431372549,1.5482941432691955,1.4697483980490367,1.6021758198130525,30,30,30,1
PGD2,AMH,0.7613250919181904,0.996078431372549,1.0,0.996078431372549,1.488331919435077,1.445457587851525,1.5294466325900775,30,30,30,1
PGD2,FGF9,0.767320531253063,0.9784313725490196,1.0,0.9784313725490196,1.444500991221963,1.413102305218249,1.480444766145334,30,30,30,1
FGF9,DHH,0.7651081827602365,0.9745098039215686,1.0,0.9745098039215686,1.4697940854920113,1.425621730195156,1.5008233411827072,30,30,30,1
NR0B1,WNT4,0.7639141951522771,0.9705882352941176,1.0,0.9705882352941176,1.0789255306946193,1.0255047971047575,1.140085013719193,30,30,30,1
RSPO1,WNT4,0.7627103646919032,0.9705882352941176,1.0,0.9705882352941176,1.0730384021659984,1.0381691469209928,1.1164148186440546,30,30,30,1
FGF9,PGD2,0.767320531253063,0.9686274509803922,1.0,0.9686274509803922,1.4218737425465264,1.3826861324782516,1.455362755169808,30,30,30,1
PGD2,DHH,0.765185839385352,0.9647058823529412,1.0,0.9647058823529412,1.4702613907307893,1.4259668915205574,1.502709521559093,30,30,30,1
DHH,FGF9,0.7651081827602365,0.9627450980392157,1.0,0.9627450980392157,1.4323848835263653,1.3856434695366646,1.4699275301031651,30,30,30,1
DHH,PGD2,0.765185839385352,0.9529411764705882,1.0,0.9529411764705882,1.4098915974594581,1.3753283306486883,1.4521065548245486,30,30,30,1
DMRT1,SRY,0.7182118600317139,0.9450980392156862,1.0,0.9450980392156862,1.4739485106529278,1.4119395039074625,1.5544711483699312,30,30,30,1
NR5A1,CBX2,0.44605625676722604,0.9411764705882353,1.0,0.9411764705882353,1.1835787372261521,1.1194585998601487,1.2545672246596222,30,30,30,2
