Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.3273686716754154
DKK1	DMRT1	0.3271814392538038
DMRT1	DKK1	0.3207958743199475
FOXL2	WT1pKTS	0.2950664469682476
UGR	CBX2	0.2801197441032702
CTNNB1	RSPO1	0.2674790330842164
CBX2	UGR	0.2515353801746969
FGF9	PGD2	0.2502517026971942
RSPO1	CTNNB1	0.2488564611622218
PGD2	AMH	0.2481798092481682
PGD2	FGF9	0.2376764540658294
PGD2	DHH	0.2347315339460021
DMRT1	SRY	0.2316718408150816
FGF9	DHH	0.2274656181006714
DKK1	SRY	0.2247459245287566
DHH	PGD2	0.2241258859946146
DHH	FGF9	0.2232841897154152
RSPO1	WNT4	0.215740963725359
DHH	AMH	0.2153598041541628
AMH	DHH	0.211815105606686
RSPO1	NR5A1	0.211056232689846
AMH	FGF9	0.2006343509411609
FOXL2	CTNNB1	0.196228605762139
CTNNB1	FOXL2	0.1934309864233386
SRY	DMRT1	0.191685467819325
FGF9	SOX9	0.1858835595297454
AMH	PGD2	0.1843688713797215
SRY	DKK1	0.1798333642502254
CTNNB1	WNT4	0.1785145338279583
PGD2	SOX9	0.1726663104553432
WT1mKTS	GATA4	0.1721203775483714
DHH	SOX9	0.1719345430266774
WNT4	NR0B1	0.1717644300416617
GATA4	WT1mKTS	0.1688099207129881
FGF9	AMH	0.1668373790546661
WNT4	RSPO1	0.1642257185302202
RSPO1	NR0B1	0.1515324706971826
NR0B1	WNT4	0.1499165416217103
NR5A1	RSPO1	0.1451591302832715
NR5A1	FOXL2	0.133166362710551
FOXL2	RSPO1	0.1325050177656741
SOX9	DMRT1	0.1317826476086891
SOX9	DKK1	0.1317487447926318
CTNNB1	WT1pKTS	0.1313595318808187
NR5A1	WT1pKTS	0.1289176081422714
CTNNB1	NR5A1	0.1277400407884926
FOXL2	NR5A1	0.1270339636717938
SRY	UGR	0.1242363804203867
SOX9	AMH	0.1138671918030467
SRY	WT1pKTS	0.113324221975932
AMH	SOX9	0.110457476597996
SOX9	PGD2	0.1101194278698801
RSPO1	FOXL2	0.1085113888099286
SOX9	SRY	0.1081595002508985
SOX9	DHH	0.1075252944972641
WT1pKTS	WT1mKTS	0.1030730100339171
SOX9	FGF9	0.1017596816215906
UGR	GATA4	0.0997149634548251
WNT4	CTNNB1	0.0996080026477923
NR5A1	CTNNB1	0.0990427193848236
WT1pKTS	CTNNB1	0.0950029219191794
NR0B1	UGR	0.0935171234384072
CTNNB1	NR0B1	0.0928880775870216
UGR	WT1mKTS	0.0916265565164608
DKK1	CBX2	0.091561043205561
WT1pKTS	NR5A1	0.0915513172223344
NR5A1	CBX2	0.0878735135440656
DKK1	SOX9	0.0866304439944118
AMH	NR0B1	0.0862264972769218
WT1pKTS	GATA4	0.0844139358078637
WT1pKTS	SRY	0.0822709320498583
NR5A1	GATA4	0.0781692991093654
DMRT1	CBX2	0.0774558813652639
DMRT1	SOX9	0.0758235140947076
WNT4	UGR	0.0750201930713226
UGR	NR0B1	0.0744521091502325
CBX2	WT1mKTS	0.0734729281888486
NR5A1	WT1mKTS	0.0732179650126941
RSPO1	CBX2	0.0728268484364588
NR0B1	GATA4	0.0721895277189606
FGF9	DKK1	0.0717282151887157
NR0B1	WT1mKTS	0.0695459071509884
RSPO1	WT1pKTS	0.0678920063910006
FOXL2	WNT4	0.067345844184274
DHH	DKK1	0.0656875780326073
NR0B1	AMH	0.0648670257611479
CBX2	GATA4	0.0625793202305571
SOX9	WNT4	0.0616636438315492
NR0B1	RSPO1	0.0615694564537736
RSPO1	UGR	0.0607936078362046
DKK1	FGF9	0.0604858974312173
DMRT1	UGR	0.0602158740330912
PGD2	DKK1	0.0601779245822933
FGF9	DMRT1	0.0597924672264318
PGD2	NR0B1	0.059411120300241
NR5A1	WNT4	0.0591420015854794
DKK1	AMH	0.0587263994021078
CTNNB1	CBX2	0.0584572698568343
SRY	FOXL2	0.0569460698684007
PGD2	DMRT1	0.0557859342181601
WT1pKTS	RSPO1	0.055557685187199
SRY	CTNNB1	0.055486694128925
DHH	DMRT1	0.0551661894273195
SOX9	NR5A1	0.0547593429734756
SRY	NR0B1	0.0547529379962873
NR5A1	NR0B1	0.0545030764822687
DKK1	UGR	0.0545021790151576
DKK1	DHH	0.0540166947143134
WNT4	GATA4	0.0523272459932311
DMRT1	PGD2	0.0508910699648361
SRY	NR5A1	0.0508288888104404
DMRT1	FGF9	0.050689433981467
SRY	GATA4	0.0493069013377451
DMRT1	AMH	0.0489396094053573
FGF9	SRY	0.0479479538877571
NR0B1	NR5A1	0.0475154476698904
WNT4	FOXL2	0.0463399069277667
DKK1	CTNNB1	0.0462685486357992
SRY	WT1mKTS	0.0462060557448208
NR0B1	CTNNB1	0.0455690143669852
CBX2	NR5A1	0.0454159383975634
WNT4	NR5A1	0.045297672624811
NR5A1	SOX9	0.0447356408711429
WNT4	WT1mKTS	0.0446766081604693
NR0B1	PGD2	0.0445034538887561
DKK1	PGD2	0.04369678796267
DKK1	WT1pKTS	0.0425324811266094
SRY	SOX9	0.0422496489745761
DMRT1	DHH	0.041731312587705
WT1pKTS	CBX2	0.0416562976369673
CTNNB1	UGR	0.0415008008441155
WNT4	SOX9	0.0414495830673685
SRY	CBX2	0.0413662542433764
DHH	NR0B1	0.0412703715952598
DMRT1	WT1pKTS	0.0410667573911913
DMRT1	WT1mKTS	0.0403706045879162
NR0B1	DHH	0.0398147722077572
GATA4	UGR	0.0397613364735817
SOX9	CBX2	0.0394899314634416
DHH	SRY	0.0394652944606799
DKK1	WNT4	0.0389638765213648
CTNNB1	SRY	0.0385819842441491
RSPO1	GATA4	0.038533265832306
DKK1	WT1mKTS	0.0385322242457433
NR0B1	FGF9	0.0380875756436868
WT1mKTS	UGR	0.0378641994856016
FGF9	NR0B1	0.0378484757302834
RSPO1	WT1mKTS	0.037807237875356
DKK1	GATA4	0.0366096905699692
DMRT1	GATA4	0.0365637127520366
CTNNB1	GATA4	0.0365454237351234
UGR	WNT4	0.0364863316727578
DMRT1	CTNNB1	0.0360891023924167
AMH	DMRT1	0.0353739717840692
WT1mKTS	WT1pKTS	0.0350381311851569
DMRT1	WNT4	0.0349086228767731
CTNNB1	WT1mKTS	0.0347960883557561
FOXL2	WT1mKTS	0.0327909500702459
WT1mKTS	CBX2	0.0326914709034968
SOX9	GATA4	0.0324887139356659
PGD2	SRY	0.0324782666816841
SOX9	WT1mKTS	0.0319936327731374
SOX9	UGR	0.0318026310647735
DHH	GATA4	0.0305600454604702
UGR	SRY	0.03055523686839
DKK1	NR5A1	0.0304754440133568
DMRT1	NR5A1	0.0303950073255929
FOXL2	GATA4	0.0301836118737413
AMH	GATA4	0.0299278295390337
PGD2	GATA4	0.0298256329927504
DHH	WT1mKTS	0.0297769545584755
