Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	183.18482831237625
DKK1	DMRT1	171.06169227449686
WT1pKTS	FOXL2	157.37149834955895
DHH	PGD2	152.4478756249377
CBX2	UGR	149.15539400042042
CTNNB1	RSPO1	140.33186263288167
UGR	CBX2	139.8142533192219
DMRT1	DKK1	131.98344477458994
DKK1	SRY	128.5517277655002
SRY	DKK1	125.57393798566
RSPO1	CTNNB1	125.54196180506732
DMRT1	SRY	112.61924988147162
NR5A1	WT1pKTS	110.69758226272252
GATA4	WT1mKTS	105.98318897342877
AMH	PGD2	100.17691777297512
RSPO1	CBX2	99.94152111537436
PGD2	FGF9	97.70589796066332
RSPO1	NR0B1	95.30029571473524
SOX9	DKK1	95.08114336734066
WT1pKTS	NR5A1	93.9470436961129
NR0B1	UGR	93.7616896292303
FOXL2	NR5A1	93.5493390886877
DHH	FGF9	92.98648248516533
CTNNB1	WT1pKTS	91.87934287058977
NR5A1	CBX2	90.34363979706788
SRY	DMRT1	90.08260209827849
CTNNB1	FOXL2	89.87341080564946
AMH	DKK1	89.23345548319084
CTNNB1	WNT4	88.89924860447256
SOX9	DMRT1	88.43148052874415
RSPO1	WNT4	85.99276639716828
PGD2	DHH	83.81470374435577
CTNNB1	NR5A1	83.72304729184695
FGF9	AMH	83.70178133300253
RSPO1	UGR	83.67283131910047
FOXL2	CTNNB1	83.45580454408487
FOXL2	RSPO1	83.25542064765618
WT1mKTS	GATA4	83.16836823594674
SOX9	FGF9	82.51963292759937
NR5A1	RSPO1	82.13287590877216
SOX9	SRY	80.2229669987854
FGF9	SOX9	80.11667774928756
DHH	AMH	79.67654995525324
NR0B1	WNT4	78.99535553413484
FGF9	PGD2	78.53649345218622
RSPO1	NR5A1	78.08644371278267
FGF9	DHH	76.05820141288869
FGF9	DMRT1	75.33927308989661
PGD2	SOX9	74.46583369381011
AMH	DHH	73.65823486025295
NR0B1	CBX2	73.62823842951562
RSPO1	WT1pKTS	73.54973752739028
SRY	UGR	73.02780879216445
WNT4	NR0B1	71.1581669360038
RSPO1	FOXL2	71.15703162353998
WNT4	RSPO1	70.05089540961214
AMH	NR0B1	69.13847844869683
DKK1	PGD2	68.47570754603124
DHH	SOX9	68.42101996572939
WNT4	UGR	68.3484352609191
PGD2	AMH	68.14741504866844
SRY	WT1pKTS	67.60581906981658
WT1pKTS	SRY	66.67414185872445
DKK1	CBX2	66.40813839876769
SOX9	WNT4	66.03814539416157
