TF	target	importance
DKK1	DMRT1	195.305305742037
DMRT1	DKK1	194.25775021112517
WT1pKTS	FOXL2	193.3153483123823
UGR	CBX2	181.98643651162226
FOXL2	WT1pKTS	170.99979141168913
NR5A1	FOXL2	147.2085613295877
PGD2	FGF9	134.94537016491398
FGF9	AMH	131.54364688343452
SRY	DKK1	128.68969029354028
GATA4	WT1mKTS	118.81859194328307
CTNNB1	RSPO1	117.67177421236028
RSPO1	NR5A1	117.47500842633836
FGF9	PGD2	117.333309657899
DKK1	SRY	117.13896633499368
DMRT1	SRY	115.93653330485299
WNT4	RSPO1	114.08429459539424
NR5A1	WT1pKTS	112.87561615283958
RSPO1	WNT4	109.30495478562335
CBX2	UGR	105.98335170650437
SRY	WT1pKTS	105.65748746691501
DHH	AMH	102.02576605603069
RSPO1	FOXL2	98.83872365804237
PGD2	AMH	98.25853362328974
PGD2	DHH	98.08450951476527
AMH	PGD2	94.46933428745959
SOX9	DKK1	92.71180302080391
AMH	FGF9	91.42707607188328
SRY	DMRT1	88.77568019296747
FOXL2	CTNNB1	88.38392715461674
CTNNB1	WT1pKTS	86.82836616336667
CTNNB1	FOXL2	83.05540194564347
WT1mKTS	GATA4	79.00677819813727
FOXL2	NR5A1	78.5340646363427
AMH	DHH	78.31382495954293
SOX9	DMRT1	77.34707580015599
FGF9	DHH	76.55342021065633
WT1pKTS	SRY	75.67168660698938
NR0B1	UGR	75.61486389665721
WT1pKTS	NR5A1	74.26030112638055
DHH	FGF9	73.87895371532719
CTNNB1	WNT4	73.57033633790415
CTNNB1	NR5A1	73.55099589801637
NR5A1	CBX2	73.46076664946841
DMRT1	WT1pKTS	73.11994236138743
RSPO1	CBX2	72.80526618485463
RSPO1	CTNNB1	71.59449362949022
PGD2	DMRT1	71.46026731252925
CTNNB1	UGR	70.28361720858253
WNT4	FOXL2	66.00177621620018
SOX9	FGF9	65.8017788944376
AMH	SOX9	65.27504775727252
AMH	DMRT1	64.96056448089647
DMRT1	PGD2	63.59955640052888
UGR	WT1mKTS	63.40446320864278
NR5A1	CTNNB1	63.01985560717871
WT1pKTS	DKK1	63.00998559737287
WNT4	SOX9	62.84225166778202
FOXL2	WNT4	62.29931404918741
DKK1	SOX9	62.02636111866657
NR0B1	WNT4	61.787186102962785
DMRT1	AMH	61.53492617993007
SOX9	DHH	61.377503367945906
DHH	DKK1	61.349854554712856
DKK1	FGF9	61.26827079725083
NR0B1	RSPO1	60.99472412554857
NR0B1	NR5A1	60.35087566448106
FOXL2	RSPO1	58.860108895472266
UGR	GATA4	58.620800549007186
CBX2	NR5A1	58.07045406873717
CTNNB1	DKK1	57.85709096491909
DHH	PGD2	57.846917238626325
RSPO1	WT1pKTS	57.74610512785543
AMH	NR0B1	57.69269531554548
WNT4	CTNNB1	57.15636866507836
FOXL2	CBX2	57.01086611522038
DMRT1	DHH	56.97586121671663
WT1pKTS	CTNNB1	56.625725455350455
RSPO1	NR0B1	55.75347608679712
DKK1	DHH	55.60119619809768
WNT4	NR5A1	55.253466454110374
SRY	NR5A1	55.24841304450264
NR5A1	RSPO1	54.941604680506956
WNT4	NR0B1	54.28864699016738
NR0B1	DHH	54.23577059876516
WT1pKTS	RSPO1	53.78742109842141
PGD2	NR5A1	52.851162692226104
SRY	AMH	51.89223306901014
RSPO1	UGR	51.71480990274156
DHH	SOX9	51.53404923027395
CTNNB1	CBX2	51.51901243722606
SRY	FOXL2	50.90353452087886
DHH	DMRT1	50.84386151572495
PGD2	DKK1	50.548580809787616
NR0B1	GATA4	49.20975716815455
NR5A1	DHH	49.12052127071634
CTNNB1	NR0B1	47.43778103370416
SOX9	WNT4	47.43500855126713
FGF9	SOX9	47.172267220509404
NR0B1	CBX2	46.99088982938907
SOX9	AMH	46.30929581949056
NR0B1	FOXL2	46.089209905734414
DMRT1	UGR	45.75963145045105
DKK1	FOXL2	45.403506551638635
FGF9	SRY	44.78879676678439
DKK1	CBX2	44.076746579679785
CTNNB1	SRY	44.03676780978538
DMRT1	FOXL2	43.89273540549565
SRY	CTNNB1	43.8369227511362
SOX9	NR5A1	43.72293150364814
NR5A1	GATA4	43.6301466405264
PGD2	SOX9	43.55826843002638
NR5A1	AMH	43.22186432769104
PGD2	NR0B1	43.12556952428614
UGR	WNT4	42.99956359149916
DMRT1	WNT4	42.783150726505255
DKK1	PGD2	42.43514216266712
NR0B1	FGF9	42.2828729790107
DMRT1	CBX2	42.19433495771637
SOX9	PGD2	42.191013653482024
NR0B1	CTNNB1	42.129847608262466
WNT4	UGR	42.045652643889454
RSPO1	SRY	41.884471358156674
SOX9	SRY	41.67553897032937
SRY	CBX2	41.49190527259447
FGF9	DKK1	41.368259066395616
PGD2	WNT4	40.91125025573454
SRY	UGR	40.842466131835586
NR5A1	NR0B1	40.4837084740167
NR0B1	WT1mKTS	40.241026661216125
DKK1	WT1pKTS	40.158281371370926
UGR	RSPO1	40.10910847231862
UGR	NR0B1	39.95721562867739
UGR	SRY	39.60007844879
WT1pKTS	CBX2	38.93199046359289
WNT4	FGF9	38.60292655416741
SOX9	CBX2	38.59479003947227
DMRT1	SOX9	38.47897592404666
FGF9	NR0B1	38.46682807541991
AMH	SRY	38.36410991684858
SRY	PGD2	37.968866021054545
CTNNB1	DMRT1	37.76522103960349
CBX2	DMRT1	37.52496880613038
DKK1	UGR	37.46755882897891
FOXL2	SRY	37.38083745073858
DMRT1	CTNNB1	37.2984500854998
WNT4	GATA4	36.925784846187256
NR0B1	PGD2	36.816244581439015
FOXL2	DKK1	36.79911839180937
NR5A1	UGR	36.78264025577443
WNT4	DMRT1	36.73657855902775
WNT4	WT1mKTS	36.62378763421841
WT1pKTS	DMRT1	36.1968377258772
DHH	WNT4	36.06689774452524
DHH	NR5A1	35.76315478334184
NR5A1	SOX9	35.6477681757359
WT1pKTS	GATA4	35.61471281515651
DKK1	AMH	35.264535932816635
SOX9	UGR	34.74710201856144
FOXL2	UGR	34.655926304170286
WNT4	DKK1	34.528752685035194
UGR	DKK1	34.50138336267517
SRY	SOX9	34.43959390983015
