Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	0.345034842788261
DKK1	DMRT1	0.3053956656687985
DMRT1	DKK1	0.3051890598152622
RSPO1	CTNNB1	0.267842045168957
CBX2	UGR	0.2584656404539755
WT1pKTS	FOXL2	0.2478032893193297
CTNNB1	RSPO1	0.2339204952517876
PGD2	FGF9	0.2197210133488081
UGR	CBX2	0.2155733165709858
DHH	PGD2	0.1987279994381782
WNT4	NR0B1	0.1965843879414407
PGD2	DHH	0.1954218155335784
FOXL2	NR5A1	0.1889563991304122
PGD2	AMH	0.186010156722336
RSPO1	NR5A1	0.1848483227473277
DHH	AMH	0.1842949085069203
NR5A1	CBX2	0.1831735413682302
NR5A1	RSPO1	0.1818547681001878
CTNNB1	FOXL2	0.1753195572979062
FGF9	PGD2	0.1745392806579375
GATA4	WT1mKTS	0.1736755535138595
NR0B1	WNT4	0.1709520249388727
FGF9	DHH	0.1687323170935706
SRY	DMRT1	0.168360452792417
SRY	DKK1	0.1681299814490506
DKK1	SRY	0.1671665075826251
DHH	FGF9	0.1637151043313877
DKK1	SOX9	0.1583051142222704
SOX9	WNT4	0.1582339383724244
WNT4	CTNNB1	0.1561283673206974
RSPO1	WNT4	0.1554453860130538
WT1pKTS	NR5A1	0.1502717810136673
UGR	GATA4	0.1502508883969791
DMRT1	SRY	0.1489455029111182
UGR	WT1mKTS	0.1480994264376536
AMH	PGD2	0.1471286314875361
WT1mKTS	GATA4	0.1459083087386317
WNT4	RSPO1	0.1458266202871249
RSPO1	FOXL2	0.1451853664797361
FGF9	AMH	0.1441391213901048
CTNNB1	WT1pKTS	0.1381261718339537
DMRT1	SOX9	0.137569969027367
AMH	FGF9	0.1367007088944931
NR5A1	WT1pKTS	0.1358056822586999
AMH	DHH	0.135457878725642
CTNNB1	NR5A1	0.1253028711955334
NR5A1	FOXL2	0.1242109502579402
AMH	NR0B1	0.1159863817188721
DHH	SOX9	0.1149097046752006
SOX9	DKK1	0.1136481989714432
FOXL2	CTNNB1	0.1091807637242733
SOX9	PGD2	0.1074731414080026
SOX9	DHH	0.1073764123262047
DHH	GATA4	0.1073240266131392
CTNNB1	SRY	0.1056812768501108
NR5A1	UGR	0.1054988526834761
UGR	NR0B1	0.1035048922841908
SOX9	DMRT1	0.1033059445098268
SOX9	FGF9	0.1020571267448204
PGD2	WT1mKTS	0.1001602220778175
PGD2	SOX9	0.0991996429410658
PGD2	GATA4	0.0975843497785224
SOX9	AMH	0.0966955746943573
RSPO1	WT1pKTS	0.0956430321292911
NR5A1	CTNNB1	0.0955594334089863
FOXL2	SRY	0.0951315475928458
FGF9	GATA4	0.0890428921771896
DHH	WT1mKTS	0.087177051642997
FGF9	SOX9	0.0860850241318695
FGF9	WT1mKTS	0.085662173732156
SRY	FOXL2	0.0812759389069022
PGD2	NR0B1	0.0808473256889813
CTNNB1	WNT4	0.0783230094779767
GATA4	DHH	0.0764692105369646
FGF9	NR0B1	0.0754677241039671
WT1pKTS	SRY	0.0753898617991244
WT1pKTS	CBX2	0.0744707356319394
NR0B1	RSPO1	0.0737269449401182
RSPO1	CBX2	0.0735939412378508
NR0B1	UGR	0.0719631373282592
SRY	UGR	0.0705206924679328
CTNNB1	CBX2	0.0692513307718812
AMH	GATA4	0.0682613674523684
FGF9	WNT4	0.0677719387746768
RSPO1	NR0B1	0.0669283514436741
GATA4	FGF9	0.0662381558428298
GATA4	PGD2	0.0655976353426507
DKK1	CBX2	0.0653914169309611
WNT4	UGR	0.0643939395910023
GATA4	AMH	0.064367906350274
UGR	SRY	0.063754408829749
WNT4	SOX9	0.0625396377663253
PGD2	WNT4	0.0613401192915711
FOXL2	RSPO1	0.0604143162310454
DHH	NR0B1	0.0600664096134375
DMRT1	CBX2	0.0592062271493261
AMH	WT1mKTS	0.0588687902378253
WT1pKTS	CTNNB1	0.0585859328805992
RSPO1	SRY	0.058132678928791
NR0B1	CTNNB1	0.0572405318325301
UGR	WNT4	0.0566065711165923
WT1pKTS	UGR	0.0555333114215957
WT1mKTS	FGF9	0.0553636352639463
WT1pKTS	RSPO1	0.0545628690911013
RSPO1	UGR	0.0537780722541798
SRY	WT1pKTS	0.0529863633498807
WNT4	NR5A1	0.0529347148644894
WT1mKTS	AMH	0.0514145919315155
SOX9	GATA4	0.0503222980965956
AMH	SOX9	0.050052666663532
PGD2	DMRT1	0.0496732446419989
NR0B1	AMH	0.0496604130800902
DHH	DMRT1	0.0490418726525931
DHH	DKK1	0.0485244017076359
PGD2	DKK1	0.0480551879598331
WNT4	PGD2	0.0471404316825049
DMRT1	UGR	0.0466254133762991
CBX2	NR0B1	0.0465660723650592
WT1mKTS	PGD2	0.0464601511110812
WNT4	DHH	0.0463801935583681
NR5A1	SOX9	0.0458231971610749
WT1mKTS	DHH	0.0457993811055892
CTNNB1	UGR	0.045428481051637
DKK1	UGR	0.045203655322145
SOX9	RSPO1	0.0448953505662557
NR0B1	NR5A1	0.0444200691437778
WNT4	FOXL2	0.0441637036707406
SRY	NR0B1	0.0433816296671013
CBX2	NR5A1	0.0430363272733982
WNT4	FGF9	0.0421220639593224
DKK1	CTNNB1	0.042027940218128
WNT4	WT1pKTS	0.0416092316426214
NR0B1	DHH	0.0415858529207114
WNT4	AMH	0.0414515206683326
SRY	CTNNB1	0.0406374304133254
NR0B1	FGF9	0.0405595737088917
RSPO1	SOX9	0.0403227012124065
GATA4	DKK1	0.0397720262711526
NR5A1	NR0B1	0.0396667706963712
DMRT1	CTNNB1	0.0396472618114494
DKK1	WT1mKTS	0.0395407006871551
SOX9	WT1mKTS	0.0390764745391773
DMRT1	WNT4	0.0388466610536616
GATA4	SOX9	0.0386322013004104
DMRT1	WT1mKTS	0.0385967954108308
CBX2	SRY	0.0384013978581465
DKK1	GATA4	0.037845999193001
FGF9	DMRT1	0.0377368737470141
GATA4	DMRT1	0.037366587786671
CTNNB1	NR0B1	0.0372457604895326
SRY	WT1mKTS	0.0368723802943206
DMRT1	GATA4	0.0367506869531644
DKK1	WNT4	0.0366064734858623
SOX9	SRY	0.0364989042525199
NR0B1	PGD2	0.0364788090191292
NR5A1	SRY	0.0363453220421485
WT1pKTS	GATA4	0.0359548108123
SRY	SOX9	0.0358229741014489
WNT4	CBX2	0.0355826960904938
CBX2	RSPO1	0.0351354296452746
WT1pKTS	WT1mKTS	0.0351140602747299
NR0B1	SRY	0.0347427589988454
DHH	WNT4	0.0346329036276759
CTNNB1	DKK1	0.0330109162864516
SOX9	CBX2	0.0326538380213075
WNT4	SRY	0.0325717235875143
WT1mKTS	UGR	0.0323532620011989
DKK1	FOXL2	0.0320426711383932
GATA4	UGR	0.0318504490031484
FGF9	RSPO1	0.0316003577212379
NR5A1	GATA4	0.0314271446990208
NR5A1	DKK1	0.0313981312311412
FGF9	DKK1	0.0311147679845273
DKK1	PGD2	0.0310139995558634
WT1mKTS	SRY	0.0307696433878703
AMH	WNT4	0.0306626870913956
SRY	GATA4	0.0306203902796982
NR5A1	DMRT1	0.0306041951613913
GATA4	SRY	0.0302249936485135
SRY	CBX2	0.0301126762750694
SRY	NR5A1	0.0297376933069331
NR5A1	WT1mKTS	0.0296843634677916
SOX9	NR5A1	0.029590962515198
CBX2	CTNNB1	0.0295498432074069
SOX9	UGR	0.0294050515099196
WT1mKTS	DMRT1	0.0286413046002529
CBX2	DMRT1	0.0286175755751537
NR0B1	WT1pKTS	0.0285257668474791
DMRT1	NR5A1	0.0282584548934168
CTNNB1	DMRT1	0.0276910936175111
DMRT1	FOXL2	0.0276838096653881
DKK1	NR5A1	0.0275392623209308
NR0B1	CBX2	0.0275379134843454
FOXL2	CBX2	0.0273444936381259
CBX2	DKK1	0.0270111250432137
AMH	DMRT1	0.0267115588360668
AMH	DKK1	0.0261296384166838
UGR	RSPO1	0.0255573678105152
DMRT1	NR0B1	0.0255418315180319
DKK1	DHH	0.0254594822535917
CBX2	WNT4	0.0251972475673804
DKK1	AMH	0.0249241280232869
WNT4	DMRT1	0.0247955333308042
WT1mKTS	DKK1	0.024764201476829
DMRT1	PGD2	0.0246816953125612
DMRT1	FGF9	0.0245716638581084
DKK1	FGF9	0.0245577673786806
WT1mKTS	SOX9	0.023559424828658
FOXL2	WT1mKTS	0.0232950952553555
DMRT1	DHH	0.0232114654661333
UGR	CTNNB1	0.0231005008782953
DMRT1	WT1pKTS	0.0230945573567867
NR0B1	WT1mKTS	0.0230475316275951
DMRT1	AMH	0.0229537458433957
WNT4	GATA4	0.0228002776295718
WNT4	WT1mKTS	0.0226049031164444
CBX2	SOX9	0.0226003778266411
NR0B1	GATA4	0.0225810851188804
NR5A1	WNT4	0.0224443530499665
FOXL2	DKK1	0.0218804702300793
CTNNB1	WT1mKTS	0.0217349985081164
NR0B1	FOXL2	0.0217252031532904
UGR	NR5A1	0.0215962893528693
RSPO1	DHH	0.0214575394080965
WNT4	DKK1	0.0214385152350418
FOXL2	DMRT1	0.0214342118044561
GATA4	NR0B1	0.0213088697637491
CBX2	WT1pKTS	0.0212949298114201
CTNNB1	SOX9	0.0208203441457291
RSPO1	GATA4	0.0205672980366294
DKK1	NR0B1	0.0204126082466322
SOX9	CTNNB1	0.0203346146400359
UGR	AMH	0.0203290457371995
WT1mKTS	NR0B1	0.0203189339385187
PGD2	UGR	0.0201541878105704
RSPO1	FGF9	0.0201275570817239
DKK1	WT1pKTS	0.0199621592503668
DHH	CBX2	0.019937968277606
PGD2	CBX2	0.0198955954740222
PGD2	RSPO1	0.0195810671425041
SOX9	NR0B1	0.019532569485858
RSPO1	WT1mKTS	0.0193841118275478
DHH	UGR	0.0190157072599854
GATA4	CBX2	0.0185602733831219
CTNNB1	GATA4	0.0184863977383782
FOXL2	GATA4	0.0184616120852222
SRY	WNT4	0.0182727132333079
RSPO1	PGD2	0.0181902856779988
UGR	DMRT1	0.0180540520037983
UGR	PGD2	0.0179779618669264
SRY	DHH	0.0179397904627149
UGR	WT1pKTS	0.0178305243673556
FGF9	UGR	0.0176427068921812
SRY	AMH	0.0174716322327894
CBX2	WT1mKTS	0.0174053673486258
RSPO1	AMH	0.0173871487815645
FOXL2	UGR	0.0169931141954904
WT1pKTS	DKK1	0.0169454597809194
FGF9	CBX2	0.0169298307000539
UGR	DHH	0.0167497403723025
CTNNB1	DHH	0.0165988627423759
WT1pKTS	AMH	0.0165666060488146
WT1pKTS	DHH	0.0165657943746857
UGR	FGF9	0.0165263661908756
WT1pKTS	DMRT1	0.0164449666646738
FOXL2	SOX9	0.0164212956362583
NR0B1	SOX9	0.0163791967316515
NR5A1	AMH	0.0162861579798825
UGR	DKK1	0.0162429854732352
UGR	SOX9	0.0162423335237627
WT1mKTS	CBX2	0.0161846130577831
CBX2	FOXL2	0.0160061055369609
CBX2	AMH	0.0158489618173044
CBX2	GATA4	0.015810166200707
CTNNB1	AMH	0.0156471357985475
CBX2	DHH	0.0156294044522249
WT1pKTS	FGF9	0.0155592437973773
WT1pKTS	PGD2	0.0154605191613419
DMRT1	RSPO1	0.0153912841720434
NR5A1	FGF9	0.0152918430248621
AMH	UGR	0.0151743253770024
RSPO1	DKK1	0.0151652112940977
SRY	FGF9	0.0151074999753965
AMH	RSPO1	0.014965955214989
DHH	RSPO1	0.014790461484463
DKK1	RSPO1	0.0147538047751349
WT1pKTS	SOX9	0.0147141941043272
RSPO1	DMRT1	0.0146962176281914
NR5A1	DHH	0.0146310113723226
UGR	FOXL2	0.0146295216724778
CTNNB1	FGF9	0.0146183314797787
AMH	CBX2	0.0145995919368953
WT1pKTS	NR0B1	0.0145751956512338
FOXL2	AMH	0.0145512443932834
FOXL2	DHH	0.0145338472949222
NR5A1	PGD2	0.0142400810923083
GATA4	NR5A1	0.0142276933472291
CBX2	PGD2	0.0142250531843943
SRY	PGD2	0.0141407521661513
SOX9	FOXL2	0.0141093035725764
SRY	RSPO1	0.0140837223208828
FGF9	CTNNB1	0.0139660197949732
CTNNB1	PGD2	0.0139300348222177
CBX2	FGF9	0.0138178383978674
WT1mKTS	WT1pKTS	0.0138022878581066
WT1mKTS	NR5A1	0.0136346917914352
FOXL2	WNT4	0.0133764105176667
FOXL2	FGF9	0.0133445067208291
GATA4	WT1pKTS	0.0131447856167839
FOXL2	PGD2	0.0125935370132154
FGF9	NR5A1	0.01235874855247
FOXL2	NR0B1	0.0120642853833474
GATA4	WNT4	0.0120150169384981
PGD2	SRY	0.0119497811177724
DHH	SRY	0.0116503341369232
SOX9	WT1pKTS	0.0115844712968973
NR0B1	DKK1	0.0115797213734017
FGF9	SRY	0.011569711124253
NR0B1	DMRT1	0.0114286489783805
AMH	NR5A1	0.0113479149309652
PGD2	NR5A1	0.0111207793278049
AMH	SRY	0.0110736453511279
FGF9	WT1pKTS	0.0109122774453011
DHH	NR5A1	0.0108170242921409
WT1pKTS	WNT4	0.0107852844181395
PGD2	WT1pKTS	0.0105362988565761
PGD2	CTNNB1	0.0104731117869446
AMH	WT1pKTS	0.0101718259359321
DHH	WT1pKTS	0.0099347913542858
AMH	FOXL2	0.0098330036660988
DHH	CTNNB1	0.0096437067104438
GATA4	RSPO1	0.0096106884918889
WT1mKTS	FOXL2	0.0095642705291757
PGD2	FOXL2	0.0094762102629915
WT1mKTS	RSPO1	0.0093284967534443
AMH	CTNNB1	0.009256559062586
FGF9	FOXL2	0.0090962157294106
GATA4	FOXL2	0.0090427167420768
DHH	FOXL2	0.0088321623986039
WT1mKTS	CTNNB1	0.0085089832212352
WT1mKTS	WNT4	0.0084872610312768
GATA4	CTNNB1	0.0083169539191323
