TF	target	importance
FOXL2	WT1pKTS	0.345034842788261
DKK1	DMRT1	0.3053956656687985
DMRT1	DKK1	0.3051890598152622
RSPO1	CTNNB1	0.267842045168957
CBX2	UGR	0.2584656404539755
WT1pKTS	FOXL2	0.24780328931932977
CTNNB1	RSPO1	0.23392049525178768
PGD2	FGF9	0.2197210133488081
UGR	CBX2	0.21557331657098586
DHH	PGD2	0.19872799943817823
WNT4	NR0B1	0.19658438794144079
PGD2	DHH	0.19542181553357846
FOXL2	NR5A1	0.18895639913041223
PGD2	AMH	0.18601015672233606
RSPO1	NR5A1	0.18484832274732774
DHH	AMH	0.18429490850692035
NR5A1	CBX2	0.1831735413682302
NR5A1	RSPO1	0.18185476810018783
CTNNB1	FOXL2	0.17531955729790621
FGF9	PGD2	0.17453928065793756
GATA4	WT1mKTS	0.1736755535138595
NR0B1	WNT4	0.17095202493887277
FGF9	DHH	0.16873231709357064
SRY	DMRT1	0.16836045279241704
SRY	DKK1	0.1681299814490506
DKK1	SRY	0.16716650758262513
DHH	FGF9	0.1637151043313877
DKK1	SOX9	0.1583051142222704
SOX9	WNT4	0.15823393837242444
WNT4	CTNNB1	0.1561283673206974
RSPO1	WNT4	0.1554453860130538
WT1pKTS	NR5A1	0.1502717810136673
UGR	GATA4	0.1502508883969791
DMRT1	SRY	0.14894550291111827
UGR	WT1mKTS	0.1480994264376536
AMH	PGD2	0.14712863148753616
WT1mKTS	GATA4	0.14590830873863175
WNT4	RSPO1	0.14582662028712495
RSPO1	FOXL2	0.14518536647973618
FGF9	AMH	0.14413912139010482
CTNNB1	WT1pKTS	0.13812617183395376
DMRT1	SOX9	0.13756996902736707
AMH	FGF9	0.13670070889449318
NR5A1	WT1pKTS	0.13580568225869993
AMH	DHH	0.135457878725642
CTNNB1	NR5A1	0.12530287119553343
NR5A1	FOXL2	0.12421095025794021
AMH	NR0B1	0.11598638171887211
DHH	SOX9	0.11490970467520065
SOX9	DKK1	0.11364819897144328
FOXL2	CTNNB1	0.10918076372427331
SOX9	PGD2	0.1074731414080026
SOX9	DHH	0.10737641232620473
DHH	GATA4	0.1073240266131392
CTNNB1	SRY	0.10568127685011086
NR5A1	UGR	0.10549885268347611
UGR	NR0B1	0.10350489228419087
SOX9	DMRT1	0.10330594450982687
SOX9	FGF9	0.10205712674482047
PGD2	WT1mKTS	0.10016022207781754
PGD2	SOX9	0.09919964294106588
PGD2	GATA4	0.09758434977852243
SOX9	AMH	0.09669557469435736
RSPO1	WT1pKTS	0.09564303212929116
NR5A1	CTNNB1	0.09555943340898634
FOXL2	SRY	0.09513154759284588
FGF9	GATA4	0.08904289217718965
DHH	WT1mKTS	0.08717705164299701
FGF9	SOX9	0.08608502413186955
FGF9	WT1mKTS	0.08566217373215602
SRY	FOXL2	0.0812759389069022
PGD2	NR0B1	0.08084732568898133
CTNNB1	WNT4	0.0783230094779767
GATA4	DHH	0.07646921053696468
FGF9	NR0B1	0.07546772410396714
WT1pKTS	SRY	0.0753898617991244
WT1pKTS	CBX2	0.07447073563193947
NR0B1	RSPO1	0.07372694494011826
RSPO1	CBX2	0.07359394123785086
NR0B1	UGR	0.07196313732825928
SRY	UGR	0.07052069246793283
CTNNB1	CBX2	0.06925133077188121
AMH	GATA4	0.06826136745236842
FGF9	WNT4	0.0677719387746768
RSPO1	NR0B1	0.06692835144367415
GATA4	FGF9	0.06623815584282988
GATA4	PGD2	0.06559763534265071
DKK1	CBX2	0.06539141693096119
WNT4	UGR	0.06439393959100234
GATA4	AMH	0.06436790635027409
UGR	SRY	0.06375440882974909
WNT4	SOX9	0.06253963776632536
PGD2	WNT4	0.06134011929157113
FOXL2	RSPO1	0.06041431623104549
DHH	NR0B1	0.06006640961343756
DMRT1	CBX2	0.0592062271493261
AMH	WT1mKTS	0.058868790237825395
WT1pKTS	CTNNB1	0.058585932880599205
RSPO1	SRY	0.05813267892879105
NR0B1	CTNNB1	0.05724053183253011
UGR	WNT4	0.05660657111659235
WT1pKTS	UGR	0.055533311421595746
WT1mKTS	FGF9	0.055363635263946345
WT1pKTS	RSPO1	0.05456286909110139
RSPO1	UGR	0.05377807225417987
SRY	WT1pKTS	0.05298636334988074
WNT4	NR5A1	0.0529347148644894
WT1mKTS	AMH	0.051414591931515506
SOX9	GATA4	0.050322298096595684
AMH	SOX9	0.050052666663532024
PGD2	DMRT1	0.049673244641998925
NR0B1	AMH	0.049660413080090296
DHH	DMRT1	0.049041872652593195
DHH	DKK1	0.04852440170763593
PGD2	DKK1	0.048055187959833184
WNT4	PGD2	0.047140431682504924
DMRT1	UGR	0.04662541337629917
CBX2	NR0B1	0.046566072365059205
WT1mKTS	PGD2	0.046460151111081226
WNT4	DHH	0.046380193558368144
NR5A1	SOX9	0.04582319716107491
WT1mKTS	DHH	0.045799381105589204
CTNNB1	UGR	0.045428481051637076
DKK1	UGR	0.045203655322145
SOX9	RSPO1	0.044895350566255765
NR0B1	NR5A1	0.04442006914377788
WNT4	FOXL2	0.04416370367074069
SRY	NR0B1	0.04338162966710139
CBX2	NR5A1	0.04303632727339827
WNT4	FGF9	0.04212206395932248
DKK1	CTNNB1	0.042027940218128015
WNT4	WT1pKTS	0.04160923164262148
NR0B1	DHH	0.041585852920711416
WNT4	AMH	0.041451520668332645
SRY	CTNNB1	0.04063743041332543
NR0B1	FGF9	0.04055957370889175
RSPO1	SOX9	0.04032270121240654
GATA4	DKK1	0.03977202627115268
NR5A1	NR0B1	0.03966677069637124
DMRT1	CTNNB1	0.039647261811449425
DKK1	WT1mKTS	0.03954070068715514
SOX9	WT1mKTS	0.039076474539177376
DMRT1	WNT4	0.03884666105366169
GATA4	SOX9	0.038632201300410424
DMRT1	WT1mKTS	0.03859679541083084
CBX2	SRY	0.03840139785814659
DKK1	GATA4	0.037845999193001
FGF9	DMRT1	0.03773687374701413
GATA4	DMRT1	0.03736658778667102
CTNNB1	NR0B1	0.03724576048953263
SRY	WT1mKTS	0.03687238029432066
DMRT1	GATA4	0.03675068695316449
DKK1	WNT4	0.0366064734858623
SOX9	SRY	0.036498904252519934
NR0B1	PGD2	0.03647880901912922
NR5A1	SRY	0.03634532204214853
WT1pKTS	GATA4	0.03595481081230005
SRY	SOX9	0.03582297410144892
WNT4	CBX2	0.03558269609049387
CBX2	RSPO1	0.03513542964527465
WT1pKTS	WT1mKTS	0.035114060274729963
NR0B1	SRY	0.034742758998845436
DHH	WNT4	0.03463290362767597
CTNNB1	DKK1	0.033010916286451676
SOX9	CBX2	0.03265383802130754
WNT4	SRY	0.032571723587514353
WT1mKTS	UGR	0.03235326200119898
DKK1	FOXL2	0.032042671138393215
GATA4	UGR	0.031850449003148464
FGF9	RSPO1	0.031600357721237975
NR5A1	GATA4	0.03142714469902082
NR5A1	DKK1	0.031398131231141234
FGF9	DKK1	0.031114767984527374
DKK1	PGD2	0.031013999555863456
WT1mKTS	SRY	0.03076964338787031
AMH	WNT4	0.030662687091395656
SRY	GATA4	0.03062039027969828
NR5A1	DMRT1	0.030604195161391304
GATA4	SRY	0.030224993648513533
SRY	CBX2	0.030112676275069472
SRY	NR5A1	0.029737693306933148
NR5A1	WT1mKTS	0.029684363467791644
SOX9	NR5A1	0.029590962515198087
CBX2	CTNNB1	0.029549843207406903
SOX9	UGR	0.029405051509919657
WT1mKTS	DMRT1	0.028641304600252968
CBX2	DMRT1	0.02861757557515371
NR0B1	WT1pKTS	0.028525766847479192
DMRT1	NR5A1	0.02825845489341681
CTNNB1	DMRT1	0.027691093617511108
DMRT1	FOXL2	0.027683809665388158
DKK1	NR5A1	0.027539262320930825
NR0B1	CBX2	0.02753791348434549
FOXL2	CBX2	0.027344493638125942
CBX2	DKK1	0.027011125043213714
AMH	DMRT1	0.026711558836066848
AMH	DKK1	0.026129638416683827
UGR	RSPO1	0.025557367810515225
DMRT1	NR0B1	0.025541831518031917
DKK1	DHH	0.025459482253591736
CBX2	WNT4	0.025197247567380485
DKK1	AMH	0.024924128023286956
WNT4	DMRT1	0.024795533330804292
WT1mKTS	DKK1	0.024764201476829013
DMRT1	PGD2	0.02468169531256125
DMRT1	FGF9	0.02457166385810842
DKK1	FGF9	0.024557767378680664
WT1mKTS	SOX9	0.023559424828658075
FOXL2	WT1mKTS	0.023295095255355565
DMRT1	DHH	0.023211465466133327
UGR	CTNNB1	0.02310050087829536
DMRT1	WT1pKTS	0.023094557356786786
NR0B1	WT1mKTS	0.023047531627595173
DMRT1	AMH	0.022953745843395768
WNT4	GATA4	0.02280027762957184
WNT4	WT1mKTS	0.02260490311644442
CBX2	SOX9	0.02260037782664118
NR0B1	GATA4	0.02258108511888046
NR5A1	WNT4	0.022444353049966552
FOXL2	DKK1	0.021880470230079392
CTNNB1	WT1mKTS	0.02173499850811649
NR0B1	FOXL2	0.021725203153290407
UGR	NR5A1	0.021596289352869332
RSPO1	DHH	0.02145753940809658
WNT4	DKK1	0.02143851523504181
FOXL2	DMRT1	0.021434211804456118
GATA4	NR0B1	0.021308869763749152
CBX2	WT1pKTS	0.021294929811420178
CTNNB1	SOX9	0.020820344145729187
RSPO1	GATA4	0.020567298036629406
DKK1	NR0B1	0.02041260824663222
SOX9	CTNNB1	0.020334614640035935
UGR	AMH	0.020329045737199576
WT1mKTS	NR0B1	0.020318933938518757
PGD2	UGR	0.020154187810570486
RSPO1	FGF9	0.020127557081723913
DKK1	WT1pKTS	0.019962159250366856
DHH	CBX2	0.019937968277606046
PGD2	CBX2	0.019895595474022247
PGD2	RSPO1	0.019581067142504162
SOX9	NR0B1	0.019532569485858076
RSPO1	WT1mKTS	0.019384111827547873
DHH	UGR	0.019015707259985408
GATA4	CBX2	0.018560273383121956
CTNNB1	GATA4	0.018486397738378253
FOXL2	GATA4	0.01846161208522228
SRY	WNT4	0.01827271323330798
RSPO1	PGD2	0.018190285677998862
UGR	DMRT1	0.0180540520037983
UGR	PGD2	0.017977961866926486
SRY	DHH	0.01793979046271494
UGR	WT1pKTS	0.017830524367355625
FGF9	UGR	0.01764270689218124
SRY	AMH	0.01747163223278945
CBX2	WT1mKTS	0.01740536734862585
RSPO1	AMH	0.017387148781564592
FOXL2	UGR	0.01699311419549044
WT1pKTS	DKK1	0.016945459780919495
FGF9	CBX2	0.016929830700053994
UGR	DHH	0.01674974037230252
CTNNB1	DHH	0.016598862742375903
WT1pKTS	AMH	0.01656660604881464
WT1pKTS	DHH	0.016565794374685774
UGR	FGF9	0.016526366190875667
WT1pKTS	DMRT1	0.01644496666467387
FOXL2	SOX9	0.016421295636258312
NR0B1	SOX9	0.016379196731651592
NR5A1	AMH	0.01628615797988257
UGR	DKK1	0.016242985473235272
UGR	SOX9	0.016242333523762722
WT1mKTS	CBX2	0.016184613057783123
CBX2	FOXL2	0.016006105536960944
CBX2	AMH	0.015848961817304406
CBX2	GATA4	0.01581016620070702
CTNNB1	AMH	0.015647135798547564
CBX2	DHH	0.01562940445222498
WT1pKTS	FGF9	0.0155592437973773
WT1pKTS	PGD2	0.015460519161341951
DMRT1	RSPO1	0.01539128417204341
NR5A1	FGF9	0.015291843024862112
AMH	UGR	0.0151743253770024
RSPO1	DKK1	0.015165211294097739
SRY	FGF9	0.015107499975396546
AMH	RSPO1	0.01496595521498909
DHH	RSPO1	0.014790461484463011
DKK1	RSPO1	0.014753804775134993
WT1pKTS	SOX9	0.014714194104327219
RSPO1	DMRT1	0.014696217628191418
NR5A1	DHH	0.014631011372322637
UGR	FOXL2	0.01462952167247783
CTNNB1	FGF9	0.014618331479778781
AMH	CBX2	0.01459959193689539
WT1pKTS	NR0B1	0.014575195651233844
FOXL2	AMH	0.014551244393283482
FOXL2	DHH	0.01453384729492222
NR5A1	PGD2	0.014240081092308388
GATA4	NR5A1	0.014227693347229108
CBX2	PGD2	0.014225053184394366
SRY	PGD2	0.014140752166151389
SOX9	FOXL2	0.01410930357257648
SRY	RSPO1	0.014083722320882857
FGF9	CTNNB1	0.013966019794973283
CTNNB1	PGD2	0.01393003482221778
CBX2	FGF9	0.01381783839786746
WT1mKTS	WT1pKTS	0.013802287858106672
WT1mKTS	NR5A1	0.0136346917914352
FOXL2	WNT4	0.013376410517666757
FOXL2	FGF9	0.013344506720829158
GATA4	WT1pKTS	0.013144785616783962
FOXL2	PGD2	0.012593537013215462
FGF9	NR5A1	0.01235874855247009
FOXL2	NR0B1	0.012064285383347409
GATA4	WNT4	0.012015016938498145
PGD2	SRY	0.011949781117772496
DHH	SRY	0.011650334136923294
SOX9	WT1pKTS	0.011584471296897362
NR0B1	DKK1	0.011579721373401703
FGF9	SRY	0.011569711124253068
NR0B1	DMRT1	0.011428648978380508
AMH	NR5A1	0.01134791493096524
PGD2	NR5A1	0.011120779327804918
AMH	SRY	0.011073645351127922
FGF9	WT1pKTS	0.01091227744530115
DHH	NR5A1	0.010817024292140922
WT1pKTS	WNT4	0.010785284418139508
PGD2	WT1pKTS	0.010536298856576117
PGD2	CTNNB1	0.010473111786944662
AMH	WT1pKTS	0.01017182593593218
DHH	WT1pKTS	0.009934791354285854
AMH	FOXL2	0.009833003666098879
DHH	CTNNB1	0.009643706710443898
GATA4	RSPO1	0.0096106884918889
WT1mKTS	FOXL2	0.009564270529175797
PGD2	FOXL2	0.009476210262991554
WT1mKTS	RSPO1	0.009328496753444307
AMH	CTNNB1	0.009256559062586078
FGF9	FOXL2	0.009096215729410674
GATA4	FOXL2	0.00904271674207681
DHH	FOXL2	0.008832162398603922
WT1mKTS	CTNNB1	0.00850898322123527
WT1mKTS	WNT4	0.008487261031276899
GATA4	CTNNB1	0.008316953919132352
