Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	152.29943734734076
DKK1	DMRT1	137.5264545892816
FOXL2	NR5A1	117.55059731216036
CTNNB1	NR5A1	115.91501018455162
UGR	CBX2	113.8851089749478
DMRT1	DKK1	108.3227405775781
WT1pKTS	NR5A1	104.70802106426116
WT1pKTS	FOXL2	102.44054682790932
CTNNB1	RSPO1	96.32761119171548
NR5A1	CBX2	92.08438823836497
RSPO1	NR5A1	91.13276478685935
UGR	WT1mKTS	90.399706679869
GATA4	WT1mKTS	89.37043865379351
RSPO1	CTNNB1	89.13503050312791
CBX2	UGR	86.87562274007041
NR5A1	WT1pKTS	86.84929246254765
NR5A1	RSPO1	84.20796925987011
DKK1	SRY	82.74254338380788
WNT4	RSPO1	78.81050111601199
CTNNB1	FOXL2	77.967494756472
WNT4	NR0B1	77.64775733146428
DMRT1	SRY	74.32163091547677
NR5A1	FOXL2	71.53135071861038
SRY	DMRT1	70.48103914972803
SRY	FOXL2	70.0983739348682
UGR	GATA4	69.06179706113831
FOXL2	SRY	69.05723026684215
AMH	FGF9	66.62340469172545
SOX9	DMRT1	65.6762272471797
FOXL2	RSPO1	65.42958426273064
RSPO1	WT1pKTS	65.03109647902008
NR0B1	WNT4	64.70101587096651
NR0B1	NR5A1	64.36632041331009
RSPO1	WNT4	63.07420787649011
DHH	WNT4	62.49144255648148
SRY	NR5A1	60.74162150973818
CBX2	NR5A1	60.56132562024083
DMRT1	SOX9	59.99380184709244
CTNNB1	SRY	58.798145247862855
WNT4	NR5A1	58.3034230633352
NR0B1	UGR	58.177284066366425
SOX9	WNT4	58.00392941233977
CTNNB1	DMRT1	57.79261540985888
SRY	DKK1	55.98248875442931
WT1pKTS	SRY	55.05207330586724
FGF9	AMH	53.19096806685069
DHH	PGD2	52.66230510666619
DHH	WT1mKTS	52.52328689478496
UGR	NR0B1	52.19829388231249
FGF9	SOX9	51.92925035555571
WT1mKTS	GATA4	51.567180348753
NR0B1	RSPO1	51.54449673805526
RSPO1	UGR	51.24390301158341
AMH	DHH	50.95495124873523
WNT4	SOX9	50.21130954307973
FGF9	WNT4	50.17930072349421
DKK1	SOX9	49.97138749045293
RSPO1	SRY	49.86632553311804
PGD2	DHH	49.59508688916143
DHH	FGF9	49.448529831704946
RSPO1	CBX2	49.39182184024416
UGR	NR5A1	49.23468345533901
DMRT1	WT1mKTS	48.856001993363265
CTNNB1	CBX2	48.36698532896876
WT1pKTS	RSPO1	48.23620359747816
CTNNB1	WT1pKTS	48.14558596247106
