Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.853778835059073
RSPO1	CTNNB1	0.853778835059073
DMRT1	DKK1	0.8443192061953616
DKK1	DMRT1	0.8443192061953616
WT1pKTS	FOXL2	-0.8123922165877087
FOXL2	WT1pKTS	-0.8123922165877087
WT1mKTS	GATA4	0.7972416668149912
GATA4	WT1mKTS	0.7972416668149912
FGF9	PGD2	0.7665510129754116
PGD2	FGF9	0.7665510129754116
FOXL2	NR5A1	-0.7658532761753719
NR5A1	FOXL2	-0.7658532761753719
DHH	PGD2	0.7643633592165092
PGD2	DHH	0.7643633592165092
WNT4	RSPO1	0.7642140055012643
RSPO1	WNT4	0.7642140055012643
FGF9	DHH	0.763870392736529
DHH	FGF9	0.763870392736529
WNT4	NR0B1	0.7632886155987686
NR0B1	WNT4	0.7632886155987686
PGD2	AMH	0.7606316975197293
AMH	PGD2	0.7606316975197293
NR5A1	WT1pKTS	0.7504838588873906
WT1pKTS	NR5A1	0.7504838588873906
DHH	AMH	0.7502607664142558
AMH	DHH	0.7502607664142558
FOXL2	CTNNB1	0.7489521280824221
CTNNB1	FOXL2	0.7489521280824221
AMH	FGF9	0.7476303952235632
FGF9	AMH	0.7476303952235632
CTNNB1	WNT4	0.7447441305178742
WNT4	CTNNB1	0.7447441305178742
NR5A1	RSPO1	-0.7415077284128505
RSPO1	NR5A1	-0.7415077284128505
DKK1	SRY	0.7301388312962341
SRY	DKK1	0.7301388312962341
CBX2	UGR	0.7205679191960747
UGR	CBX2	0.7205679191960747
DKK1	SOX9	0.7175091485338062
SOX9	DKK1	0.7175091485338062
SRY	DMRT1	0.7174639874344917
DMRT1	SRY	0.7174639874344917
NR5A1	CTNNB1	-0.7155083964296088
CTNNB1	NR5A1	-0.7155083964296088
WNT4	SOX9	-0.7058592812111532
SOX9	WNT4	-0.7058592812111532
SOX9	DMRT1	0.7053450579991736
DMRT1	SOX9	0.7053450579991736
SRY	FOXL2	-0.6998298573138275
FOXL2	SRY	-0.6998298573138275
PGD2	WNT4	-0.6879834880551718
WNT4	PGD2	-0.6879834880551718
PGD2	SOX9	0.6869230839849112
SOX9	PGD2	0.6869230839849112
FOXL2	RSPO1	0.6860105780444234
RSPO1	FOXL2	0.6860105780444234
FGF9	WNT4	-0.6799841085139298
WNT4	FGF9	-0.6799841085139298
FGF9	SOX9	0.679476718218993
SOX9	FGF9	0.679476718218993
SOX9	DHH	0.6708505529169624
DHH	SOX9	0.6708505529169624
DHH	WNT4	-0.6658559355936988
WNT4	DHH	-0.6658559355936988
WT1pKTS	CTNNB1	-0.6581419823101812
CTNNB1	WT1pKTS	-0.6581419823101812
RSPO1	NR0B1	0.6551960698410101
NR0B1	RSPO1	0.6551960698410101
WNT4	AMH	-0.6523567918078761
AMH	WNT4	-0.6523567918078761
AMH	SOX9	0.6370807855397739
SOX9	AMH	0.6370807855397739
AMH	NR0B1	-0.6293190885685832
NR0B1	AMH	-0.6293190885685832
PGD2	NR0B1	-0.6188297275391293
NR0B1	PGD2	-0.6188297275391293
FGF9	NR0B1	-0.6155360362920524
NR0B1	FGF9	-0.6155360362920524
CTNNB1	NR0B1	0.6136533179844237
NR0B1	CTNNB1	0.6136533179844237
NR0B1	DHH	-0.6064678142626153
DHH	NR0B1	-0.6064678142626153
RSPO1	WT1pKTS	-0.5989829475618641
WT1pKTS	RSPO1	-0.5989829475618641
WNT4	DMRT1	-0.5971323063667594
DMRT1	WNT4	-0.5971323063667594
SRY	SOX9	0.5943127742591702
SOX9	SRY	0.5943127742591702
SRY	CTNNB1	-0.5897058294242186
CTNNB1	SRY	-0.5897058294242186
WNT4	DKK1	-0.5890040909626625
DKK1	WNT4	-0.5890040909626625
SOX9	RSPO1	-0.5748101407167276
RSPO1	SOX9	-0.5748101407167276
DKK1	FOXL2	-0.5729940653411633
FOXL2	DKK1	-0.5729940653411633
WT1pKTS	SRY	0.5645984550324389
SRY	WT1pKTS	0.5645984550324389
SOX9	CTNNB1	-0.5610553826263056
CTNNB1	SOX9	-0.5610553826263056
DMRT1	FOXL2	-0.5595900359037819
FOXL2	DMRT1	-0.5595900359037819
FGF9	RSPO1	-0.5543534331709623
RSPO1	FGF9	-0.5543534331709623
WNT4	FOXL2	0.5542212254250595
FOXL2	WNT4	0.5542212254250595
NR5A1	WNT4	-0.5538596524710009
WNT4	NR5A1	-0.5538596524710009
PGD2	DKK1	0.5471655710843198
DKK1	PGD2	0.5471655710843198
CTNNB1	DMRT1	-0.5464632775379026
DMRT1	CTNNB1	-0.5464632775379026
RSPO1	PGD2	-0.5461561993138763
PGD2	RSPO1	-0.5461561993138763
DKK1	CTNNB1	-0.5452703659157695
CTNNB1	DKK1	-0.5452703659157695
PGD2	DMRT1	0.5429588916820534
DMRT1	PGD2	0.5429588916820534
RSPO1	DHH	-0.5416524141305229
DHH	RSPO1	-0.5416524141305229
RSPO1	AMH	-0.5245653999510482
AMH	RSPO1	-0.5245653999510482
FGF9	DMRT1	0.5244442106424727
DMRT1	FGF9	0.5244442106424727
DKK1	FGF9	0.5198719776279778
FGF9	DKK1	0.5198719776279778
RSPO1	SRY	-0.5179535662892067
SRY	RSPO1	-0.5179535662892067
