Gene1	Gene2	EdgeWeight
CTNNB1	UGR	360
NR0B1	SRY	360
CBX2	UGR	359
RSPO1	UGR	359
NR5A1	UGR	358
WNT4	SRY	358
NR5A1	NR0B1	357
GATA4	RSPO1	356
WT1pKTS	WT1pKTS	355
WT1pKTS	CTNNB1	355
CBX2	FOXL2	354
CBX2	CBX2	354
WT1pKTS	SRY	353
NR5A1	FOXL2	352
SRY	CTNNB1	352
PGD2	RSPO1	351
RSPO1	FOXL2	351
SRY	FOXL2	350
UGR	WNT4	350
DHH	WNT4	349
WNT4	AMH	349
FOXL2	CTNNB1	348
DKK1	CBX2	347
WT1pKTS	FOXL2	347
UGR	NR0B1	346
PGD2	WNT4	346
NR5A1	SRY	345
WT1mKTS	RSPO1	345
GATA4	CTNNB1	344
SRY	NR0B1	344
AMH	SRY	343
NR0B1	CTNNB1	343
FOXL2	WT1pKTS	342
SOX9	CBX2	342
FOXL2	CBX2	341
UGR	RSPO1	341
SOX9	AMH	340
RSPO1	CTNNB1	340
CTNNB1	RSPO1	339
FGF9	WNT4	338
NR5A1	CBX2	338
WT1mKTS	FOXL2	337
CTNNB1	NR5A1	337
AMH	WNT4	336
WT1pKTS	AMH	336
DMRT1	UGR	335
NR5A1	WT1pKTS	335
NR0B1	UGR	334
GATA4	PGD2	334
WNT4	WNT4	333
AMH	DMRT1	333
FGF9	RSPO1	332
WT1pKTS	DKK1	332
AMH	NR0B1	331
WT1mKTS	FGF9	331
WT1mKTS	PGD2	330
CTNNB1	CTNNB1	330
SRY	SRY	329
UGR	SRY	329
DKK1	SRY	328
DHH	SOX9	327
FOXL2	FOXL2	327
WNT4	CTNNB1	326
WNT4	RSPO1	326
AMH	FOXL2	325
UGR	CBX2	325
RSPO1	NR5A1	324
SRY	FGF9	324
AMH	RSPO1	323
GATA4	AMH	322
CBX2	NR0B1	322
PGD2	UGR	321
SOX9	NR5A1	321
GATA4	DMRT1	320
NR5A1	WNT4	320
SRY	WT1pKTS	319
NR0B1	NR0B1	319
WT1mKTS	DHH	318
WNT4	NR0B1	318
SOX9	CTNNB1	317
PGD2	CTNNB1	317
SOX9	RSPO1	316
WT1mKTS	SOX9	316
SOX9	WNT4	315
DKK1	CTNNB1	315
NR5A1	SOX9	314
WNT4	CBX2	314
FGF9	NR0B1	313
FGF9	CTNNB1	312
SRY	DMRT1	311
FOXL2	NR0B1	311
WT1mKTS	DKK1	310
UGR	UGR	310
NR5A1	RSPO1	309
CTNNB1	FOXL2	308
CBX2	SOX9	308
WT1mKTS	AMH	307
GATA4	DHH	306
WT1mKTS	DMRT1	305
DMRT1	RSPO1	304
FOXL2	UGR	304
CBX2	NR5A1	303
DHH	AMH	303
FGF9	FGF9	302
WT1pKTS	UGR	301
WNT4	UGR	301
UGR	CTNNB1	299
CBX2	SRY	299
FOXL2	NR5A1	298
RSPO1	RSPO1	297
UGR	FOXL2	296
GATA4	SOX9	296
SRY	DKK1	295
NR0B1	GATA4	295
SRY	CBX2	294
PGD2	NR0B1	294
DMRT1	CTNNB1	293
DMRT1	FOXL2	293
SOX9	DMRT1	292
GATA4	FGF9	291
DMRT1	FGF9	290
RSPO1	DKK1	290
DHH	RSPO1	289
CTNNB1	SRY	289
DMRT1	WNT4	288
GATA4	DKK1	287
RSPO1	PGD2	285
FGF9	SOX9	285
DHH	UGR	284
SOX9	SOX9	284
SRY	RSPO1	283
FOXL2	RSPO1	282
AMH	CTNNB1	282
DHH	CTNNB1	281
SOX9	PGD2	280
SOX9	DHH	280
NR0B1	CBX2	279
DMRT1	WT1pKTS	278
DKK1	RSPO1	278
DHH	SRY	277
FGF9	AMH	277
GATA4	CBX2	276
CBX2	WNT4	276
PGD2	DKK1	275
DHH	DHH	274
PGD2	NR5A1	273
WT1pKTS	SOX9	272
DMRT1	NR0B1	271
AMH	UGR	271
FGF9	DKK1	270
NR5A1	DKK1	267
CTNNB1	CBX2	266
SOX9	UGR	266
WT1pKTS	FGF9	265
CTNNB1	WNT4	265
NR0B1	RSPO1	264
FOXL2	DKK1	263
SRY	WNT4	262
RSPO1	DMRT1	262
FGF9	FOXL2	261
RSPO1	SRY	260
SRY	UGR	258
WNT4	DKK1	258
GATA4	FOXL2	256
PGD2	AMH	255
GATA4	NR0B1	253
NR5A1	AMH	253
PGD2	DHH	250
CBX2	AMH	249
NR5A1	DMRT1	249
CTNNB1	DKK1	248
RSPO1	WNT4	248
GATA4	UGR	247
UGR	DKK1	246
SOX9	SRY	246
DKK1	NR5A1	245
DHH	CBX2	244
NR0B1	FOXL2	242
WT1pKTS	DHH	242
DKK1	NR0B1	241
AMH	PGD2	240
DHH	PGD2	240
FOXL2	FGF9	239
CBX2	CTNNB1	239
WNT4	DHH	238
SOX9	WT1pKTS	237
CTNNB1	NR0B1	236
PGD2	SRY	236
DMRT1	DKK1	235
FGF9	PGD2	235
FGF9	CBX2	234
CBX2	GATA4	234
WT1pKTS	NR5A1	233
WNT4	FOXL2	232
CTNNB1	WT1pKTS	231
DKK1	DHH	230
WT1mKTS	CTNNB1	230
DKK1	DKK1	229
SOX9	NR0B1	229
UGR	WT1mKTS	228
RSPO1	CBX2	227
WT1mKTS	NR5A1	226
WT1mKTS	UGR	226
PGD2	FOXL2	225
DHH	DMRT1	225
PGD2	CBX2	224
DHH	NR0B1	223
FGF9	UGR	221
DKK1	UGR	220
WT1pKTS	CBX2	219
SRY	PGD2	219
DMRT1	SRY	217
DKK1	FOXL2	216
DMRT1	DMRT1	216
NR0B1	AMH	215
WT1mKTS	GATA4	214
PGD2	SOX9	213
DKK1	SOX9	213
FOXL2	PGD2	212
AMH	AMH	210
GATA4	WT1mKTS	207
NR5A1	CTNNB1	206
RSPO1	AMH	205
DMRT1	PGD2	204
NR5A1	NR5A1	204
FGF9	DHH	203
WT1pKTS	WT1mKTS	202
WNT4	GATA4	202
PGD2	FGF9	201
DHH	FGF9	199
WT1mKTS	WNT4	198
UGR	FGF9	197
NR0B1	DKK1	196
RSPO1	DHH	196
FOXL2	DMRT1	195
DMRT1	DHH	193
CTNNB1	DMRT1	191
SRY	DHH	190
WNT4	NR5A1	190
NR0B1	WT1pKTS	188
DKK1	FGF9	186
FGF9	SRY	185
UGR	DMRT1	185
CTNNB1	FGF9	184
WT1pKTS	NR0B1	184
CBX2	RSPO1	182
DKK1	AMH	182
DKK1	GATA4	181
FOXL2	SRY	181
AMH	NR5A1	180
CBX2	PGD2	178
AMH	FGF9	177
SOX9	DKK1	176
GATA4	WNT4	176
RSPO1	NR0B1	175
WT1pKTS	RSPO1	175
NR0B1	DHH	173
UGR	GATA4	172
SOX9	FOXL2	171
RSPO1	FGF9	169
NR5A1	DHH	168
DKK1	DMRT1	168
NR5A1	PGD2	165
WT1mKTS	NR0B1	165
GATA4	WT1pKTS	164
DHH	NR5A1	163
DHH	DKK1	162
AMH	WT1pKTS	162
WT1pKTS	WNT4	161
AMH	CBX2	160
DMRT1	NR5A1	159
AMH	SOX9	157
PGD2	DMRT1	156
WT1mKTS	WT1pKTS	155
DHH	FOXL2	155
NR0B1	WNT4	154
WNT4	PGD2	153
DMRT1	SOX9	152
NR0B1	NR5A1	151
CTNNB1	AMH	151
FGF9	DMRT1	149
CBX2	DMRT1	148
NR0B1	DMRT1	146
PGD2	PGD2	146
SRY	SOX9	145
WT1mKTS	WT1mKTS	140
CBX2	DHH	139
WT1mKTS	CBX2	138
FOXL2	SOX9	138
SOX9	FGF9	136
CBX2	FGF9	136
CBX2	WT1pKTS	135
WT1pKTS	PGD2	134
GATA4	GATA4	134
DKK1	WT1pKTS	132
WNT4	WT1pKTS	131
DKK1	WNT4	131
FOXL2	GATA4	130
DKK1	PGD2	129
DMRT1	AMH	127
WT1mKTS	SRY	126
AMH	DKK1	126
DHH	WT1pKTS	123
FGF9	WT1pKTS	120
UGR	PGD2	116
CBX2	DKK1	115
SOX9	WT1mKTS	114
WNT4	WT1mKTS	111
WT1pKTS	DMRT1	110
NR0B1	FGF9	108
FOXL2	WNT4	108
DMRT1	CBX2	107
NR0B1	SOX9	106
UGR	NR5A1	105
SRY	NR5A1	104
WNT4	SOX9	104
CTNNB1	PGD2	99
AMH	DHH	96
FGF9	NR5A1	95
NR0B1	WT1mKTS	95
NR0B1	PGD2	93
RSPO1	WT1pKTS	92
CTNNB1	SOX9	91
CTNNB1	GATA4	90
NR5A1	GATA4	88
UGR	AMH	87
RSPO1	WT1mKTS	84
PGD2	WT1pKTS	81
FOXL2	DHH	80
UGR	WT1pKTS	79
DKK1	WT1mKTS	77
GATA4	SRY	76
DHH	GATA4	76
FOXL2	AMH	73
UGR	SOX9	72
PGD2	GATA4	71
CTNNB1	DHH	70
WT1pKTS	GATA4	68
CTNNB1	WT1mKTS	63
DMRT1	GATA4	62
WNT4	DMRT1	61
WNT4	FGF9	60
AMH	WT1mKTS	59
CBX2	WT1mKTS	56
FOXL2	WT1mKTS	53
RSPO1	SOX9	49
DHH	WT1mKTS	49
NR5A1	WT1mKTS	45
AMH	GATA4	43
SOX9	GATA4	38
SRY	AMH	37
UGR	DHH	34
NR5A1	FGF9	34
FGF9	WT1mKTS	32
PGD2	WT1mKTS	24
GATA4	NR5A1	23
RSPO1	GATA4	21
FGF9	GATA4	16
DMRT1	WT1mKTS	12
SRY	GATA4	11
SRY	WT1mKTS	9
