Gene1	Gene2	EdgeWeight
CTNNB1	UGR	360
RSPO1	UGR	359
NR5A1	UGR	358
NR5A1	NR0B1	357
GATA4	RSPO1	356
WT1pKTS	CTNNB1	355
CBX2	CBX2	354
CBX2	UGR	353
SRY	CTNNB1	352
PGD2	RSPO1	351
SRY	FOXL2	350
DHH	WNT4	349
FOXL2	CTNNB1	348
WT1pKTS	FOXL2	347
PGD2	WNT4	346
WT1mKTS	RSPO1	345
GATA4	CTNNB1	344
NR0B1	CTNNB1	343
SOX9	CBX2	342
FOXL2	CBX2	341
SOX9	AMH	340
UGR	RSPO1	339
FGF9	WNT4	338
WT1mKTS	FOXL2	337
AMH	WNT4	336
DMRT1	UGR	335
NR0B1	UGR	334
AMH	DMRT1	333
FGF9	RSPO1	332
AMH	NR0B1	331
CTNNB1	CTNNB1	330
SRY	SRY	329
DKK1	SRY	328
FOXL2	FOXL2	327
WNT4	CTNNB1	326
UGR	CBX2	325
RSPO1	NR5A1	324
AMH	RSPO1	323
CBX2	NR0B1	322
PGD2	UGR	321
NR5A1	WNT4	320
NR0B1	NR0B1	319
WNT4	NR0B1	318
SOX9	CTNNB1	317
SOX9	RSPO1	316
SOX9	WNT4	315
WNT4	CBX2	314
WNT4	RSPO1	313
DKK1	CTNNB1	312
FOXL2	NR0B1	311
UGR	UGR	310
NR5A1	RSPO1	309
CBX2	SOX9	308
FGF9	CTNNB1	307
NR5A1	CBX2	306
PGD2	CTNNB1	305
FOXL2	UGR	304
DHH	AMH	303
FGF9	NR0B1	302
WNT4	UGR	301
WT1mKTS	FGF9	300
UGR	CTNNB1	299
UGR	NR0B1	298
WNT4	SRY	297
UGR	FOXL2	296
SRY	DKK1	295
PGD2	NR0B1	294
DMRT1	FOXL2	293
DHH	SOX9	292
DMRT1	RSPO1	291
RSPO1	DKK1	290
DHH	RSPO1	289
DMRT1	WNT4	288
NR0B1	SRY	287
DMRT1	FGF9	286
RSPO1	PGD2	285
DHH	UGR	284
SRY	RSPO1	283
AMH	CTNNB1	282
DHH	CTNNB1	281
SOX9	PGD2	280
NR0B1	CBX2	279
DKK1	RSPO1	278
FGF9	AMH	277
GATA4	CBX2	276
FOXL2	RSPO1	275
DHH	DHH	274
CTNNB1	RSPO1	273
SRY	CBX2	272
AMH	UGR	271
PGD2	NR5A1	270
SRY	DMRT1	269
WT1pKTS	UGR	268
DMRT1	NR0B1	267
CTNNB1	CBX2	266
WT1pKTS	FGF9	265
NR0B1	GATA4	264
FOXL2	DKK1	263
SRY	WNT4	262
DMRT1	CTNNB1	261
GATA4	AMH	260
RSPO1	CTNNB1	259
WNT4	DKK1	258
GATA4	DMRT1	257
RSPO1	RSPO1	256
UGR	SRY	255
DKK1	CBX2	254
GATA4	NR0B1	253
SRY	NR0B1	252
WT1pKTS	DKK1	251
CTNNB1	WNT4	250
NR5A1	DMRT1	249
RSPO1	WNT4	248
CBX2	FOXL2	247
UGR	DKK1	246
