Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	189.61097867672
WT1pKTS	NR5A1	118.59737567949234
CBX2	UGR	110.69500328237936
WT1pKTS	FOXL2	102.98032136311846
DMRT1	DKK1	101.7223176133259
FOXL2	NR5A1	101.4106076721468
RSPO1	CTNNB1	100.41906401186338
RSPO1	WNT4	98.1892459719436
DKK1	DMRT1	98.01816032851694
RSPO1	NR5A1	97.6714589840772
NR0B1	WNT4	97.27604767771976
SRY	DMRT1	94.2397379641945
FOXL2	SRY	90.94569866137388
NR5A1	WT1pKTS	85.59461896372666
WNT4	CTNNB1	85.01138318440789
DKK1	WNT4	83.31395181301502
CTNNB1	RSPO1	83.08608970543982
NR5A1	CBX2	81.62682524242392
SRY	DKK1	80.53456121452439
RSPO1	FOXL2	78.95885074439349
UGR	CBX2	78.53235719178065
DKK1	SRY	76.33321591492354
UGR	GATA4	76.08699160492766
CTNNB1	FOXL2	75.54208720519088
WNT4	NR0B1	75.45986912709016
WNT4	RSPO1	74.84106572037723
CTNNB1	WT1pKTS	73.43676360113692
SOX9	WNT4	72.5797091645344
SRY	FOXL2	70.79904455482607
UGR	WT1mKTS	69.24504480429445
UGR	NR0B1	68.26739565687798
CTNNB1	SRY	68.10797158397335
NR5A1	FOXL2	67.34490963083248
CTNNB1	NR5A1	66.17260620768084
SOX9	DKK1	62.507833214970866
AMH	NR0B1	62.4881357616324
FGF9	WNT4	61.83880910360093
CBX2	NR5A1	61.3503209080298
SOX9	DMRT1	60.93952921999605
CTNNB1	WNT4	59.7664971012035
PGD2	DHH	59.5275620880436
PGD2	GATA4	58.22977978708021
CTNNB1	CBX2	57.55335027717412
WT1mKTS	GATA4	56.60821297530002
GATA4	WT1mKTS	55.06662216273955
NR5A1	RSPO1	54.53293979134322
RSPO1	SRY	53.86258395520774
AMH	FGF9	53.03806845328025
PGD2	NR0B1	52.70580087081657
WT1pKTS	RSPO1	52.667280339358626
NR5A1	UGR	52.11901737685992
RSPO1	NR0B1	50.58185431815941
UGR	WNT4	49.35808754104431
FGF9	PGD2	48.81004582904158
DHH	NR0B1	48.13888926593019
WT1pKTS	SRY	48.10471604901277
WT1pKTS	CTNNB1	48.08900536011697
FGF9	DHH	47.686243773951375
WNT4	DMRT1	47.59210583399519
RSPO1	WT1pKTS	46.62706326399413
CTNNB1	UGR	45.72710536255132
AMH	WT1mKTS	45.66643072068738
NR5A1	SRY	45.47215418227304
FGF9	WT1mKTS	45.12324204714321
PGD2	WT1mKTS	43.54207269125655
WNT4	NR5A1	42.71925366591762
SRY	WT1mKTS	42.71447825882099
NR5A1	CTNNB1	42.63945745157336
DHH	WT1mKTS	42.55213384844461
RSPO1	UGR	42.16944670986
WT1mKTS	NR0B1	42.1503908661448
DMRT1	WNT4	42.11298235215716
DHH	AMH	42.112748888346424
DKK1	WT1mKTS	41.494720229669504
DHH	SOX9	41.36869043373145
DHH	GATA4	41.11451048683037
DMRT1	SRY	41.072051797488506
NR0B1	RSPO1	41.02719004620816
PGD2	AMH	41.02535118950114
NR5A1	DMRT1	40.935584377721355
SOX9	AMH	40.93273048448766
PGD2	WNT4	40.74031478414587
WNT4	SOX9	40.68146978266112
WNT4	FOXL2	40.633833828483944
DKK1	CBX2	40.57768788133155
AMH	WNT4	40.55877532818903
GATA4	SOX9	40.21949899315904
CBX2	WT1pKTS	40.13134982539239
RSPO1	DMRT1	40.044043282269854
FOXL2	CTNNB1	39.92692852160767
SOX9	WT1mKTS	39.515250163791784
FOXL2	DMRT1	39.23289290131921
UGR	NR5A1	38.93505317549609
SRY	UGR	38.88334997130511
DMRT1	SOX9	38.8611340149049
SOX9	GATA4	38.714321760035936
NR0B1	FOXL2	38.70359592790953
AMH	GATA4	38.666079468127144
FGF9	SOX9	38.401258584159365
FGF9	NR0B1	38.24641624992769
DMRT1	CBX2	38.243343277750526
SOX9	RSPO1	38.2256658669603
WT1mKTS	SRY	38.17287026953936
WNT4	UGR	38.14318846610628
NR0B1	CTNNB1	37.79625834551606
GATA4	DKK1	37.51387518826951
DHH	PGD2	37.21420108780937
CTNNB1	DKK1	37.208498590127306
CBX2	NR0B1	36.820486876741974
DMRT1	GATA4	36.77596620932516
NR0B1	NR5A1	36.692543305267975
CBX2	RSPO1	36.615519108183655
DKK1	SOX9	36.6035950342652
SRY	WT1pKTS	36.3746207296977
DKK1	UGR	36.24674790119854
DKK1	GATA4	36.042252621922174
GATA4	PGD2	35.91739771820729
CTNNB1	NR0B1	35.81179030956264
SOX9	DHH	35.753357421193826
SOX9	SRY	35.51372437532402
NR0B1	WT1pKTS	35.3570819319158
WT1pKTS	GATA4	35.16761389389267
UGR	RSPO1	34.990025170795654
FOXL2	DKK1	34.918812226564114
NR5A1	GATA4	34.910944353151365
WNT4	SRY	34.780809947545066
DMRT1	WT1mKTS	34.501807065530905
SOX9	PGD2	34.480046066892974
FGF9	CTNNB1	34.11669601913068
WT1pKTS	UGR	34.029788435562125
DMRT1	FOXL2	33.9957183739256
SRY	GATA4	33.98475008633909
NR0B1	UGR	33.762760840881235
WT1pKTS	CBX2	33.547791391743715
FGF9	AMH	33.45055233130615
AMH	DHH	33.30549578686512
NR0B1	AMH	33.18389202887769
WT1mKTS	AMH	33.10833477341266
SRY	NR5A1	32.88540003228767
WNT4	CBX2	32.86329392468215
SRY	CTNNB1	32.743197113896365
GATA4	SRY	32.65853527996823
DKK1	FOXL2	32.45574113340498
WNT4	WT1pKTS	32.254402048415315
NR5A1	NR0B1	32.212553265686736
DHH	DMRT1	32.06301112118515
WNT4	DKK1	31.78585715413064
PGD2	DMRT1	31.620210749289864
DHH	WNT4	31.481204743399484
GATA4	WNT4	31.231380673179338
NR5A1	WT1mKTS	31.151759960796923
FGF9	DMRT1	31.132288543729185
CBX2	DMRT1	30.972515785267372
DKK1	CTNNB1	30.82561529976409
NR0B1	CBX2	30.773599799690473
SRY	SOX9	30.74788402481788
FOXL2	RSPO1	30.702985441565644
PGD2	RSPO1	30.70268187078337
UGR	DMRT1	30.694903542102526
RSPO1	CBX2	30.619608455061098
WT1mKTS	DMRT1	30.573297860233325
GATA4	NR0B1	30.48460519886588
NR5A1	WNT4	30.423218301322706
WT1pKTS	DKK1	30.19748066046924
FOXL2	WNT4	30.11913736603879
GATA4	DMRT1	30.07506047412559
GATA4	DHH	29.83874001212757
AMH	PGD2	29.72613786981422
FGF9	GATA4	29.596147480748524
WT1pKTS	NR0B1	29.41932313786518
NR0B1	SRY	28.815255347935235
NR0B1	FGF9	28.75968124727056
WT1mKTS	DHH	28.464616450277827
PGD2	SOX9	28.272645153976377
FGF9	RSPO1	28.0889497110012
WT1pKTS	WT1mKTS	28.07088867251308
AMH	DKK1	27.94156082449037
WT1mKTS	FGF9	27.75478839581531
UGR	SRY	27.52114178092312
WT1pKTS	DMRT1	27.373788189143813
SOX9	FOXL2	27.295032717943524
DKK1	AMH	27.067675257461637
DHH	FGF9	26.891159393995306
AMH	SRY	26.57147033306391
PGD2	DKK1	26.431529523833714
CTNNB1	DMRT1	26.295364814398752
UGR	CTNNB1	26.278221443923822
WT1pKTS	WNT4	26.144213348249
PGD2	FGF9	26.11207339786783
AMH	SOX9	26.093125048209927
WNT4	GATA4	25.987746133381815
RSPO1	DKK1	25.303998991199208
NR5A1	SOX9	25.211809674538458
FOXL2	CBX2	25.170730754766577
WT1mKTS	PGD2	24.92967090413331
SRY	NR0B1	24.92634799049153
DMRT1	CTNNB1	24.923997196900967
CBX2	GATA4	24.886866887480295
DHH	DKK1	24.647318379232775
PGD2	CTNNB1	24.5026299242461
NR5A1	DKK1	24.48077596022054
SOX9	NR5A1	24.46897911185414
FOXL2	GATA4	24.291445019374105
WT1mKTS	SOX9	24.20798101695449
DHH	SRY	24.189222137309404
CBX2	CTNNB1	24.083342965518064
FOXL2	UGR	23.977071423840997
CBX2	WT1mKTS	23.88531168017147
NR0B1	GATA4	23.876099948678725
DMRT1	UGR	23.468581594979987
WT1mKTS	WNT4	23.11698575996267
SOX9	UGR	23.09958650422685
WNT4	FGF9	22.75599364726029
PGD2	SRY	22.58943186621373
CBX2	FOXL2	22.504603303356497
FGF9	UGR	22.400513570118623
GATA4	RSPO1	22.152573729755467
SRY	CBX2	22.071544758149965
SRY	WNT4	21.72849550140797
GATA4	FGF9	21.58439116083418
WT1pKTS	PGD2	21.535758640665083
DMRT1	WT1pKTS	21.377041608281857
NR0B1	DHH	21.12190795146131
CBX2	WNT4	21.020943468886287
WT1mKTS	UGR	20.72070831765304
WT1pKTS	SOX9	20.638023216613387
NR0B1	WT1mKTS	20.61431346307768
WNT4	AMH	20.524391809602573
DMRT1	DHH	20.4709544977265
WNT4	WT1mKTS	20.404951808857263
RSPO1	WT1mKTS	20.39637162559954
CBX2	DKK1	20.372740911416248
SRY	RSPO1	20.33128325780621
DKK1	FGF9	20.311537830476343
SOX9	NR0B1	20.231773889081463
FGF9	CBX2	20.04258718452187
CBX2	SRY	19.95960927713586
DKK1	RSPO1	19.87310384548403
UGR	DKK1	19.870535244996844
CTNNB1	DHH	19.79566777355813
SOX9	CTNNB1	19.5662371762848
GATA4	UGR	19.482027272092555
SOX9	CBX2	19.38043131961357
FOXL2	NR0B1	19.318841749791808
DMRT1	AMH	19.145407852201885
GATA4	AMH	19.025705238725617
DHH	RSPO1	19.003896500464936
NR0B1	DMRT1	18.90624165428676
DKK1	DHH	18.79793646414261
GATA4	CBX2	18.69716311211349
DKK1	PGD2	18.587112629951143
CTNNB1	SOX9	18.575643254987252
SRY	AMH	18.55525283277735
DMRT1	NR0B1	18.385450180457894
WT1mKTS	FOXL2	18.315166847932403
AMH	DMRT1	18.291263358224512
RSPO1	DHH	18.118285140281408
GATA4	NR5A1	18.102035984171582
DMRT1	NR5A1	17.95630879666823
