Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.266483	0.330816	0.110488
FGF9	+	DMRT1	0.056292	0.065645	0.004631
RSPO1	+	DMRT1	0.176708	0.187498	0.041525
DHH	+	DMRT1	0.033354	0.049169	0.002055
CTNNB1	+	DMRT1	0.079463	0.106497	0.010606
PGD2	+	DMRT1	0.049433	0.059816	0.003706
WT1mKTS	+	DMRT1	0.063751	0.115803	0.009253
SRY	+	DMRT1	0.085412	0.096730	0.010355
DKK1	+	DMRT1	0.112498	0.101118	0.014257
WNT4	+	DMRT1	0.092331	0.102540	0.011866
CBX2	+	DMRT1	0.054315	0.090434	0.006156
AMH	+	DMRT1	0.056274	0.066450	0.004687
NR0B1	+	DMRT1	0.789406	0.000000	0.000000
NR5A1	+	DMRT1	0.052398	0.092938	0.006103
WT1pKTS	+	DMRT1	0.120795	0.127124	0.019246
FOXL2	-	DMRT1	-0.072333	0.093567	-0.008482
UGR	+	DMRT1	0.077956	0.101078	0.009876
SOX9	+	DMRT1	0.141974	0.115433	0.020540
GATA4	+	DMRT1	0.109136	0.131012	0.017920
DMRT1	+	FGF9	0.101431	0.104478	0.013282
FGF9	+	FGF9	0.133507	0.120158	0.020106
RSPO1	+	FGF9	0.026274	0.084086	0.002769
DHH	+	FGF9	0.014898	0.040330	0.000753
CTNNB1	-	FGF9	-0.024184	0.083016	-0.002516
PGD2	+	FGF9	0.057383	0.070668	0.005082
WT1mKTS	-	FGF9	-0.292577	0.448489	-0.164458
SRY	+	FGF9	0.057597	0.085563	0.006177
DKK1	+	FGF9	0.086269	0.094786	0.010248
WNT4	-	FGF9	-0.020056	0.089653	-0.002254
CBX2	-	FGF9	-0.006349	0.062652	-0.000499
AMH	+	FGF9	0.184814	0.177685	0.041157
NR0B1	+	FGF9	0.563132	0.000000	0.000000
NR5A1	-	FGF9	-0.030645	0.079215	-0.003042
WT1pKTS	+	FGF9	0.036498	0.086260	0.003946
FOXL2	+	FGF9	0.128215	0.156152	0.025093
UGR	+	FGF9	0.152299	0.188048	0.035895
SOX9	+	FGF9	0.175215	0.165116	0.036260
GATA4	+	FGF9	0.549012	0.999723	0.687896
DMRT1	+	RSPO1	0.127292	0.097593	0.015570
FGF9	-	RSPO1	-0.014530	0.044088	-0.000803
RSPO1	+	RSPO1	0.626432	1.000000	0.785119
DHH	-	RSPO1	-0.040946	0.069792	-0.003582
CTNNB1	+	RSPO1	0.535620	0.999106	0.670703
PGD2	+	RSPO1	0.057114	0.073025	0.005227
WT1mKTS	+	RSPO1	0.273773	0.000972	0.000334
SRY	-	RSPO1	-0.069875	0.123504	-0.010816
DKK1	+	RSPO1	0.005637	0.039021	0.000276
WNT4	+	RSPO1	0.121277	0.032686	0.004968
CBX2	-	RSPO1	-0.337463	1.000000	-0.422949
AMH	+	RSPO1	0.079493	0.085120	0.008481
NR0B1	-	RSPO1	-0.005752	0.094987	-0.000685
NR5A1	-	RSPO1	-0.076428	0.152674	-0.014625
WT1pKTS	+	RSPO1	0.048204	0.078296	0.004730
FOXL2	+	RSPO1	0.139831	0.037248	0.006528
UGR	-	RSPO1	-0.099790	0.199149	-0.024907
SOX9	+	RSPO1	0.038920	0.061839	0.003016
GATA4	+	RSPO1	0.408861	0.001037	0.000532
DMRT1	+	DHH	0.108055	0.105607	0.014302
FGF9	+	DHH	0.071515	0.079519	0.007127
RSPO1	+	DHH	0.066438	0.105596	0.008793
DHH	+	DHH	0.058011	0.070556	0.005130
CTNNB1	+	DHH	0.086652	0.114220	0.012405
PGD2	+	DHH	0.103521	0.097135	0.012603
WT1mKTS	-	DHH	-0.057608	0.118057	-0.008524
SRY	+	DHH	0.029785	0.060568	0.002261
DKK1	-	DHH	-0.024810	0.047061	-0.001463
WNT4	-	DHH	-0.048179	0.097341	-0.005878
CBX2	+	DHH	0.028499	0.076818	0.002744
AMH	+	DHH	0.159578	0.136909	0.027382
NR0B1	-	DHH	-0.041011	0.094768	-0.004871
NR5A1	+	DHH	0.102099	0.121228	0.015513
WT1pKTS	-	DHH	-0.010727	0.073237	-0.000985
FOXL2	+	DHH	0.112059	0.130590	0.018341
UGR	+	DHH	0.190487	0.275224	0.065707
SOX9	+	DHH	0.117164	0.107839	0.015835
GATA4	+	DHH	0.236910	0.366074	0.108696
DMRT1	+	CTNNB1	0.050555	0.071234	0.004514
FGF9	-	CTNNB1	-0.023490	0.051097	-0.001504
RSPO1	+	CTNNB1	0.608766	0.999999	0.762978
DHH	-	CTNNB1	-0.035517	0.062398	-0.002778
CTNNB1	+	CTNNB1	0.456536	0.146675	0.083925
PGD2	+	CTNNB1	0.044576	0.063166	0.003529
WT1mKTS	+	CTNNB1	0.406595	0.000534	0.000272
SRY	-	CTNNB1	-0.067170	0.114211	-0.009615
DKK1	+	CTNNB1	0.089224	0.087880	0.009827
WNT4	+	CTNNB1	0.098492	0.044636	0.005510
CBX2	-	CTNNB1	-0.332966	1.000000	-0.417312
AMH	+	CTNNB1	0.065220	0.077536	0.006338
NR0B1	+	CTNNB1	0.151772	0.018471	0.003514
NR5A1	-	CTNNB1	-0.085853	0.169482	-0.018236
WT1pKTS	+	CTNNB1	0.032519	0.076669	0.003125
FOXL2	+	CTNNB1	0.181497	0.021276	0.004840
UGR	-	CTNNB1	-0.141039	0.402696	-0.071184
SOX9	+	CTNNB1	0.075250	0.082550	0.007785
GATA4	+	CTNNB1	0.257736	0.001129	0.000365
DMRT1	+	PGD2	0.019206	0.036445	0.000877
FGF9	+	PGD2	0.110392	0.022280	0.003083
