Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.877853022868615
RSPO1	CTNNB1	0.877853022868615
WT1pKTS	WT1mKTS	0.874079525005008
WT1mKTS	WT1pKTS	0.874079525005008
NR0B1	FOXL2	0.870100191742801
UGR	FOXL2	0.864928001851463
UGR	WNT4	0.864318860232795
WNT4	FOXL2	0.860347560850969
UGR	CTNNB1	0.857714894882079
UGR	RSPO1	0.857459466794518
NR0B1	RSPO1	0.855980456571771
WNT4	RSPO1	0.853376892492722
WNT4	CTNNB1	0.851379866474855
CTNNB1	FOXL2	0.851362607718322
RSPO1	FOXL2	0.850797827447685
NR0B1	WNT4	0.850705889754892
WNT4	NR0B1	0.850705889754892
UGR	DKK1	0.849266696887209
NR0B1	DMRT1	0.846324333265885
NR0B1	CTNNB1	0.846070541986851
GATA4	WT1mKTS	0.842510264675966
WT1mKTS	GATA4	0.842510264675966
UGR	FGF9	0.842039188728027
WT1pKTS	GATA4	0.841897088141527
GATA4	WT1pKTS	0.841897088141527
DMRT1	DKK1	0.841444419534986
DKK1	DMRT1	0.841444419534986
CBX2	FOXL2	0.841256005608249
CTNNB1	CBX2	0.839967819222334
NR0B1	DKK1	0.837453664080066
UGR	DMRT1	0.837420227533114
UGR	CBX2	0.836489338826031
RSPO1	CBX2	0.831897737837424
CBX2	CTNNB1	0.831074733633188
CBX2	NR5A1	0.830215752790676
UGR	DHH	0.829736432757006
UGR	PGD2	0.82958430165054
CBX2	RSPO1	0.828084918860113
CTNNB1	NR5A1	0.827264296231375
UGR	NR5A1	0.827101371343071
RSPO1	NR5A1	0.825893698877933
NR5A1	WT1pKTS	0.825299411616517
DKK1	FGF9	0.825266256799163
DKK1	NR0B1	0.82002904069788
DMRT1	FGF9	0.818299357356914
NR5A1	FOXL2	0.817332299014183
DKK1	DHH	0.812987669332058
UGR	SOX9	0.812684783594774
UGR	AMH	0.812440425908398
DKK1	AMH	0.81198302036355
DMRT1	NR0B1	0.811500422394373
DMRT1	DHH	0.811096514228856
UGR	WT1pKTS	0.810207418544447
WNT4	UGR	0.810004412128094
CBX2	WT1pKTS	0.809698126302969
CTNNB1	WT1pKTS	0.808960498076238
DKK1	PGD2	0.808387259127238
SRY	WNT4	0.80762889552182
DMRT1	AMH	0.807550575440645
NR0B1	UGR	0.807360137716454
DMRT1	PGD2	0.80559432360209
DKK1	WNT4	0.805433962739877
RSPO1	WT1pKTS	0.805250089123285
NR0B1	CBX2	0.799814899045255
WNT4	CBX2	0.799552710214599
SRY	UGR	0.798212620884279
FOXL2	NR5A1	0.79352553873587
DMRT1	WNT4	0.79220414769538
FOXL2	WT1pKTS	0.792155954796075
NR0B1	SRY	0.790135672534664
UGR	SRY	0.786985222752106
SRY	DKK1	0.785644719639991
SRY	DMRT1	0.78310606337043
WNT4	NR5A1	0.782870262910949
NR0B1	NR5A1	0.780890382680534
NR0B1	WT1pKTS	0.775790160066222
CBX2	WNT4	0.771741203648415
WNT4	WT1pKTS	0.768359507444237
CBX2	NR0B1	0.767993415386072
DKK1	SOX9	0.767673867876465
UGR	NR0B1	0.766095413939339
CBX2	FGF9	0.763452889205878
DMRT1	SOX9	0.761132123567489
CBX2	DHH	0.757754837722283
CBX2	PGD2	0.756708231998746
SRY	SOX9	0.75202628289722
SRY	FGF9	0.751297862750796
CBX2	DKK1	0.750474804607476
WT1pKTS	NR5A1	0.750386409711256
SRY	NR0B1	0.748929005942327
SRY	DHH	0.746629645091016
SRY	CBX2	0.746283233713338
CBX2	AMH	0.745254491705717
CTNNB1	UGR	0.744701392904924
CBX2	DMRT1	0.744466856356682
DMRT1	CBX2	0.742317958680709
WT1pKTS	FOXL2	0.739712889253122
DKK1	CBX2	0.739193682022603
NR0B1	SOX9	0.739013107657129
SRY	PGD2	0.737168982901149
CBX2	UGR	0.736863387086887
WNT4	SRY	0.730790053000106
CBX2	SOX9	0.725628791733156
RSPO1	UGR	0.722535236592753
NR5A1	CTNNB1	0.718297869627573
SRY	AMH	0.718104799509994
NR5A1	RSPO1	0.716758868268454
SRY	RSPO1	0.714239611546387
NR5A1	CBX2	0.711631273302585
UGR	GATA4	0.689855130947292
NR0B1	FGF9	0.665122711583416
NR0B1	DHH	0.663110235232238
UGR	WT1mKTS	0.651361698692159
NR5A1	NR0B1	0.650364192725919
CBX2	SRY	0.646209857551046
SRY	CTNNB1	0.645822057065099
DKK1	GATA4	0.641832590162832
NR0B1	PGD2	0.640690351330054
NR5A1	FGF9	0.639093276880434
NR5A1	DKK1	0.635693907103784
DKK1	NR5A1	0.635693907103784
CTNNB1	SRY	0.633787134109613
NR5A1	DMRT1	0.633711757662758
DMRT1	NR5A1	0.631920300738553
NR5A1	WNT4	0.630766420837776
NR5A1	DHH	0.62998911039434
DKK1	WT1pKTS	0.629804765960193
DMRT1	GATA4	0.628470921630138
WT1mKTS	NR0B1	0.62736617840566
CBX2	GATA4	0.626573521806992
RSPO1	SRY	0.623519394437392
NR0B1	AMH	0.621264975435469
NR5A1	PGD2	0.620782066470148
DKK1	WT1mKTS	0.618480260642819
NR5A1	AMH	0.617554858776778
DMRT1	WT1pKTS	0.611039594549648
DMRT1	WT1mKTS	0.604504492144179
FOXL2	CBX2	0.604099964988166
DKK1	UGR	0.601663659168533
WNT4	DKK1	0.59976792184585
DMRT1	UGR	0.598306789266643
SRY	GATA4	0.596730013355543
GATA4	NR0B1	0.595420200494088
CTNNB1	WNT4	0.595137881046028
SRY	WT1pKTS	0.595038746111599
CBX2	WT1mKTS	0.591236183068678
WNT4	DMRT1	0.58908660582499
RSPO1	DKK1	0.588769240017978
NR5A1	SOX9	0.588674665833408
FOXL2	RSPO1	0.587377073240002
RSPO1	DMRT1	0.586797125243056
FOXL2	CTNNB1	0.586320051882325
WT1mKTS	WNT4	0.580910623283054
RSPO1	FGF9	0.577990557071483
DKK1	SRY	0.577426649147751
RSPO1	PGD2	0.574977068623113
CTNNB1	NR0B1	0.57438652454348
RSPO1	DHH	0.572530490785525
RSPO1	AMH	0.571615536908755
RSPO1	WNT4	0.569682202703464
SOX9	PGD2	0.568740977372661
NR0B1	GATA4	0.567143469152002
DKK1	RSPO1	0.56473867300084
SOX9	FGF9	0.564663169900507
DMRT1	RSPO1	0.562492638656529
SOX9	AMH	0.561321890704993
SOX9	DHH	0.560027173539705
DMRT1	SRY	0.559382984293996
RSPO1	SOX9	0.551435776934508
RSPO1	NR0B1	0.55045289584891
GATA4	WNT4	0.54544632790354
SRY	WT1mKTS	0.545137784348136
SOX9	NR0B1	0.541348642925682
NR5A1	UGR	0.534921829671087
WT1pKTS	CTNNB1	0.533776082266209
WT1pKTS	RSPO1	0.529721983772123
NR0B1	WT1mKTS	0.523264904367668
WT1pKTS	CBX2	0.517245035132442
SOX9	DKK1	0.511902315974326
NR5A1	WT1mKTS	0.497074627317259
SOX9	DMRT1	0.495718273930691
SOX9	WNT4	0.490508511609702
NR5A1	SRY	0.488187316309518
FOXL2	SRY	0.481991694818635
SRY	FOXL2	0.481663231088052
NR5A1	GATA4	0.470799672788969
SOX9	WT1pKTS	0.469435584560945
WNT4	SOX9	0.468365425150249
DMRT1	CTNNB1	0.465825645387923
DKK1	CTNNB1	0.463386050940746
SRY	NR5A1	0.463047441554946
RSPO1	WT1mKTS	0.457453495773412
SOX9	CBX2	0.454596859914571
SOX9	GATA4	0.443057244819512
WT1mKTS	CTNNB1	0.439685293556916
RSPO1	GATA4	0.436961442041405
WT1mKTS	RSPO1	0.434904281084615
WNT4	FGF9	0.427926132734485
FOXL2	UGR	0.419438563568868
GATA4	CTNNB1	0.416611388994465
WNT4	DHH	0.414580840599789
CTNNB1	DKK1	0.410077257527461
CTNNB1	DMRT1	0.409072852775053
CTNNB1	PGD2	0.401221232840663
CTNNB1	FGF9	0.400740722522344
GATA4	RSPO1	0.400480117852338
WNT4	PGD2	0.399872097329223
CTNNB1	DHH	0.397590321419664
CTNNB1	AMH	0.391975420019641
WNT4	GATA4	0.389064501493753
SOX9	WT1mKTS	0.387690936013621
WNT4	AMH	0.382149991650321
WT1pKTS	UGR	0.377281322141845
CTNNB1	SOX9	0.376867615410414
WT1pKTS	SRY	0.375798876977808
WNT4	WT1mKTS	0.365015112978977
AMH	RSPO1	0.359600857915596
WT1mKTS	CBX2	0.354889777727137
AMH	UGR	0.352988633550913
SOX9	RSPO1	0.352195303057724
AMH	WNT4	0.349812168241547
AMH	CTNNB1	0.347888147726037
FGF9	WNT4	0.347082947097484
DHH	NR0B1	0.345951609489906
FGF9	NR0B1	0.344053172360832
FGF9	SRY	0.34341397871028
AMH	NR0B1	0.342476411336106
AMH	DKK1	0.341759655806643
GATA4	NR5A1	0.340212285833965
GATA4	SRY	0.338391041806918
AMH	SRY	0.335131237331567
WT1mKTS	SRY	0.334705187985972
DHH	SRY	0.334375743796732
FGF9	RSPO1	0.332811265615366
DHH	DKK1	0.330477320882664
FGF9	CTNNB1	0.329037723310851
GATA4	CBX2	0.328475281117476
AMH	DMRT1	0.323984795319946
AMH	CBX2	0.323058540904946
FGF9	DKK1	0.321477683178453
DHH	CTNNB1	0.32099816148353
WT1pKTS	WNT4	0.320946143486712
FOXL2	WNT4	0.320396720990427
DHH	RSPO1	0.319338494893908
FGF9	CBX2	0.318202571264164
WT1mKTS	UGR	0.317520364848966
WT1mKTS	NR5A1	0.317222354364355
DHH	UGR	0.31480997135341
DHH	WNT4	0.314063582168305
