Gene1	Gene2	Score
WT1pKTS	WT1mKTS	0.874079525005008
WT1mKTS	WT1pKTS	0.874079525005008
UGR	WNT4	0.864318860232795
UGR	DKK1	-0.849266696887209
NR0B1	DMRT1	0.846324333265885
GATA4	WT1mKTS	0.842510264675966
WT1mKTS	GATA4	0.842510264675966
UGR	FGF9	-0.842039188728027
GATA4	WT1pKTS	0.841897088141527
WT1pKTS	GATA4	0.841897088141527
DKK1	DMRT1	0.841444419534986
DMRT1	DKK1	0.841444419534986
NR0B1	DKK1	0.837453664080066
UGR	DMRT1	-0.837420227533114
UGR	DHH	-0.829736432757006
UGR	PGD2	-0.82958430165054
DKK1	FGF9	0.825266256799163
DKK1	NR0B1	-0.82002904069788
DMRT1	FGF9	0.818299357356914
DKK1	DHH	0.812987669332058
UGR	SOX9	-0.812684783594774
UGR	AMH	-0.812440425908398
DKK1	AMH	0.81198302036355
DMRT1	NR0B1	-0.811500422394373
DMRT1	DHH	0.811096514228856
DKK1	PGD2	0.808387259127238
SRY	WNT4	-0.80762889552182
DMRT1	AMH	0.807550575440645
NR0B1	UGR	-0.807360137716454
DMRT1	PGD2	0.80559432360209
DKK1	WNT4	-0.805433962739877
UGR	CBX2	0.801790134343019
NR0B1	WNT4	-0.799889349024083
SRY	UGR	-0.798212620884279
DMRT1	WNT4	-0.79220414769538
NR0B1	SRY	0.790135672534664
UGR	SRY	-0.786985222752106
SRY	DKK1	0.785644719639991
SRY	DMRT1	0.78310606337043
CBX2	WNT4	0.771741203648415
CBX2	NR0B1	0.767993415386072
DKK1	SOX9	0.767673867876465
UGR	NR0B1	0.766095413939339
CBX2	FGF9	-0.763452889205878
DMRT1	SOX9	0.761132123567489
CBX2	DHH	-0.757754837722283
CBX2	PGD2	-0.756708231998746
SRY	SOX9	0.75202628289722
SRY	FGF9	0.751297862750796
CBX2	DKK1	-0.750474804607476
SRY	NR0B1	0.748929005942327
SRY	DHH	0.746629645091016
SRY	CBX2	-0.746283233713338
CBX2	AMH	-0.745254491705717
CBX2	DMRT1	-0.744466856356682
DMRT1	CBX2	-0.742317958680709
DKK1	CBX2	-0.739193682022603
NR0B1	SOX9	0.739013107657129
SRY	PGD2	0.737168982901149
NR0B1	CBX2	-0.7362419743213
CBX2	UGR	0.730432000161804
CBX2	SOX9	-0.725628791733156
SRY	AMH	0.718104799509994
SRY	RSPO1	-0.714239611546387
UGR	RSPO1	0.695167779028893
UGR	GATA4	0.689855130947292
UGR	WT1pKTS	0.680882172618677
RSPO1	NR5A1	-0.679022384525491
NR0B1	FGF9	0.665122711583416
NR0B1	DHH	0.663110235232238
UGR	WT1mKTS	0.651361698692159
NR0B1	CTNNB1	-0.650519497419002
NR5A1	NR0B1	0.650364192725919
CBX2	SRY	-0.646209857551046
SRY	CTNNB1	-0.645822057065099
DKK1	GATA4	-0.641832590162832
NR0B1	PGD2	0.640690351330054
NR0B1	RSPO1	-0.639198553623182
NR5A1	FGF9	-0.639093276880434
NR5A1	DKK1	-0.635693907103784
DKK1	NR5A1	-0.635693907103784
NR5A1	DMRT1	-0.633711757662758
DMRT1	NR5A1	-0.631920300738553
NR5A1	WNT4	0.630766420837776
NR5A1	DHH	-0.62998911039434
DKK1	WT1pKTS	-0.629804765960193
DMRT1	GATA4	-0.628470921630138
CBX2	GATA4	0.626573521806992
NR0B1	AMH	0.621264975435469
NR5A1	PGD2	-0.620782066470148
WNT4	NR0B1	0.62032855747249
DKK1	WT1mKTS	-0.618480260642819
NR5A1	AMH	-0.617554858776778
CBX2	WT1pKTS	0.616089505333116
CTNNB1	NR5A1	-0.614829953093567
DMRT1	WT1pKTS	-0.611039594549648
UGR	CTNNB1	0.604721984697724
DMRT1	WT1mKTS	-0.604504492144179
CBX2	RSPO1	0.602198918807593
DKK1	UGR	-0.601663659168533
WNT4	DKK1	0.59976792184585
DMRT1	UGR	-0.598306789266643
SRY	GATA4	-0.596730013355543
SRY	WT1pKTS	-0.595038746111599
CBX2	WT1mKTS	0.591236183068678
WNT4	DMRT1	0.58908660582499
RSPO1	DKK1	0.588769240017978
NR5A1	SOX9	-0.588674665833408
RSPO1	DMRT1	0.586797125243056
CTNNB1	RSPO1	0.586555580722829
WNT4	RSPO1	0.583198723148475
RSPO1	FGF9	0.577990557071483
DKK1	SRY	0.577426649147751
