Gene1	Gene2	EdgeWeight
WNT4	UGR	14.1449099730313
SRY	UGR	11.3931798831542
WNT4	NR5A1	8.88232051778329
CTNNB1	UGR	8.7190264553301
WNT4	WT1mKTS	7.71319479552997
WNT4	FOXL2	7.36187774882474
WNT4	WT1pKTS	7.09742267430997
WNT4	GATA4	6.77714725057393
SRY	WT1mKTS	6.4394223835012
NR0B1	UGR	6.27163251412557
RSPO1	UGR	6.20242116836709
CBX2	UGR	6.14182169007564
SRY	FOXL2	6.05992364700833
WNT4	RSPO1	6.01055840537383
SRY	GATA4	5.8371028819317
AMH	UGR	5.72550731140907
SRY	NR5A1	5.59179990034348
SRY	WT1pKTS	5.49894138617308
WT1mKTS	UGR	5.41116724913987
CTNNB1	CTNNB1	5.3943496326578
RSPO1	NR5A1	5.31360844278182
WNT4	SOX9	5.30067238684901
CTNNB1	NR5A1	5.22855590917613
FGF9	UGR	5.20677307194889
GATA4	UGR	5.14799208331315
SRY	RSPO1	5.10466660369828
WT1pKTS	UGR	5.05163628841081
WNT4	NR0B1	4.94592320703802
UGR	UGR	4.69139850512012
DHH	UGR	4.6771700491635
NR5A1	NR5A1	4.67541604097616
WNT4	CTNNB1	4.58601581189233
NR0B1	WT1mKTS	4.52273792998395
SRY	SOX9	4.42914955000716
NR0B1	FOXL2	4.40690633344838
NR0B1	GATA4	4.29220322019736
AMH	WT1mKTS	4.29168327131326
FGF9	WT1mKTS	4.19617823663175
NR0B1	SOX9	4.08151426962763
PGD2	UGR	3.977196431968
UGR	NR5A1	3.97226829978522
FGF9	GATA4	3.96768232980987
CTNNB1	FOXL2	3.89177551858522
AMH	FOXL2	3.87726787567573
CTNNB1	WT1mKTS	3.86010798474509
CTNNB1	WT1pKTS	3.84548704258733
SOX9	SOX9	3.78722801028644
CTNNB1	RSPO1	3.70656959790078
DHH	WT1mKTS	3.57670317943486
AMH	GATA4	3.56691134150778
NR0B1	RSPO1	3.56681703470416
RSPO1	CTNNB1	3.55623356650004
NR0B1	SRY	3.54066419116907
DHH	GATA4	3.50603566990941
RSPO1	WNT4	3.48167493384029
SRY	CTNNB1	3.47466811905147
RSPO1	RSPO1	3.40134822648305
NR0B1	WT1pKTS	3.38374801951306
CBX2	RSPO1	3.38147667613259
PGD2	WT1mKTS	3.37921577191896
CTNNB1	GATA4	3.27908155190439
SRY	SRY	3.26159879169115
AMH	AMH	3.25747512584049
WNT4	DKK1	3.22756862220542
AMH	WT1pKTS	3.20209532877533
FGF9	FOXL2	3.1987193383061
