Gene1	Gene2	EdgeWeight
WNT4	CBX2	0.110675152309548
NR0B1	GATA4	0.103495490145569
DMRT1	WNT4	0.103479542246105
UGR	WT1mKTS	0.103164729966783
DKK1	SRY	0.101523973417638
RSPO1	NR5A1	0.100307422437312
UGR	WNT4	0.0950792200588773
DKK1	WNT4	0.0939544421789533
CBX2	WNT4	0.0937720705764465
SOX9	WNT4	0.0921259372395221
NR0B1	WT1mKTS	0.090659350987677
DHH	SRY	0.0885187893288803
AMH	GATA4	0.0883731457671964
PGD2	SRY	0.0881961931978042
NR0B1	SRY	0.0881160661076551
FGF9	SRY	0.0866463444981252
FGF9	DKK1	0.0863329026768899
NR0B1	DKK1	0.0855558456321604
CBX2	UGR	0.0841646355167505
AMH	SRY	0.083814437879993
WNT4	SRY	0.0820539214289001
DMRT1	SRY	0.0813756995254143
FGF9	GATA4	0.0800709011018984
SRY	WNT4	0.0796039032584115
RSPO1	GATA4	0.0790812532902189
FGF9	WNT4	0.077528125812337
AMH	WNT4	0.0766344476069944
PGD2	WNT4	0.0761735337806943
DMRT1	WT1mKTS	0.0757666500334057
RSPO1	DMRT1	0.0757426481166645
DHH	WNT4	0.0756657704327819
PGD2	DKK1	0.0751433612708489
UGR	SRY	0.0750709584812749
WNT4	UGR	0.0743575318180461
DKK1	WT1pKTS	0.0736271211378145
SRY	WT1mKTS	0.0735978765168442
NR0B1	NR5A1	0.0729486964988991
WNT4	DMRT1	0.0727375469561873
PGD2	GATA4	0.0726929476889153
RSPO1	UGR	0.0722294028142553
SOX9	NR5A1	0.0719262543451306
UGR	CBX2	0.0710613037225939
FGF9	NR5A1	0.0707404457400409
WNT4	RSPO1	0.0707330266915892
RSPO1	DKK1	0.0699489366890415
DMRT1	GATA4	0.0695351137810518
UGR	NR0B1	0.0691862217145357
AMH	NR5A1	0.0689810622439034
DHH	DMRT1	0.0688515554482977
CTNNB1	NR5A1	0.0685897808579076
UGR	WT1pKTS	0.0681249131825118
RSPO1	WT1pKTS	0.0678230781463948
GATA4	SRY	0.0675847647469261
CBX2	WT1mKTS	0.0672285026644724
DHH	FGF9	0.0672175966438004
SOX9	WT1pKTS	0.0663242686281185
CTNNB1	DKK1	0.0663088271776504
DHH	GATA4	0.0661173229612321
GATA4	WT1mKTS	0.0658940230549701
DKK1	UGR	0.0656072756487606
NR5A1	WNT4	0.0654592134145997
CTNNB1	UGR	0.0652696486739563
SRY	WT1pKTS	0.06518491083282
DMRT1	CTNNB1	0.0651084796625065
NR5A1	SRY	0.0649357149759617
RSPO1	FGF9	0.0649299383205759
PGD2	NR5A1	0.0645942064130571
RSPO1	DHH	0.0642173067847817
PGD2	DMRT1	0.0640457182859495
WNT4	NR5A1	0.0640236580093282
NR5A1	GATA4	0.063923276313477
RSPO1	WT1mKTS	0.0637409377424384
WNT4	DKK1	0.0636293555234987
AMH	DMRT1	0.0636015284148291
PGD2	RSPO1	0.0634236030663501
NR5A1	RSPO1	0.0633506393089323
NR0B1	WT1pKTS	0.0632541351965707
DMRT1	UGR	0.0631880778013439
DKK1	DMRT1	0.0626873861883067
DHH	CBX2	0.0626045776495192
WT1mKTS	WT1pKTS	0.0624348367879338
SRY	CBX2	0.062021125348159
WT1pKTS	NR5A1	0.0619811725960564
SOX9	CBX2	0.061942565286024
AMH	RSPO1	0.061237174660864
NR0B1	CBX2	0.0611872304154587
UGR	SOX9	0.061137049055334
NR0B1	DMRT1	0.0611006191109876
SOX9	SRY	0.0605752201201572
WNT4	WT1mKTS	0.0605465406991144
DKK1	WT1mKTS	0.0603825845952922
DHH	RSPO1	0.0602410182477892
DKK1	CTNNB1	0.0595780990079151
DKK1	GATA4	0.059429927636528
PGD2	CBX2	0.0593624488530219
DHH	NR5A1	0.0592612441580705
WNT4	GATA4	0.0585260585563076
SOX9	UGR	0.0585236494403919
NR0B1	UGR	0.0578704192811996
WT1mKTS	SRY	0.057768928278619
FOXL2	CTNNB1	0.0577309434604278
FGF9	CTNNB1	0.0574058948125936
UGR	PGD2	0.0567810566059755
NR5A1	WT1mKTS	0.0565230403346326
SRY	UGR	0.0563934406210638
CBX2	SOX9	0.0561993062118339
UGR	CTNNB1	0.0561439753470092
SRY	CTNNB1	0.0560905546231471
AMH	DKK1	0.0557710375946509
WT1pKTS	SRY	0.0555289338808255
NR5A1	WT1pKTS	0.0548724443077571
DKK1	RSPO1	0.0545952153193299
SRY	NR5A1	0.0545857202809905
RSPO1	CTNNB1	0.0544347419159548
WT1pKTS	GATA4	0.0543546524040779
DHH	DKK1	0.0540652664278216
FGF9	UGR	0.053672507598276
CBX2	WT1pKTS	0.0536675039453699
DMRT1	WT1pKTS	0.0535500986961643
FOXL2	UGR	0.0535158463823647
CBX2	DKK1	0.0534048712981806
SRY	NR0B1	0.0529589638831567
NR5A1	CBX2	0.0529342752529384
CBX2	DHH	0.052663648021724
PGD2	FGF9	0.0526543537860221
CTNNB1	WT1pKTS	0.052641245369214
RSPO1	WNT4	0.052583464404697
SRY	GATA4	0.0524101012899946
GATA4	NR5A1	0.0523977964143628
NR0B1	WNT4	0.0521518664639843
WT1mKTS	GATA4	0.0519330144778432
RSPO1	CBX2	0.0518859700908505
WT1pKTS	WT1mKTS	0.0518425303379289
FOXL2	NR5A1	0.0516311173189807
SRY	DHH	0.0512128173469612
CTNNB1	FGF9	0.0508594715888666
UGR	DKK1	0.050830325136283
CBX2	DMRT1	0.0507193708798675
FGF9	DHH	0.0506347577471292
CBX2	CTNNB1	0.0504774683414852
SOX9	DMRT1	0.0504761504331836
AMH	CTNNB1	0.0504030718551252
GATA4	WNT4	0.0501933921173178
UGR	AMH	0.0501204723966929
NR5A1	CTNNB1	0.0499991516075683
WT1pKTS	DMRT1	0.0498583199444343
FOXL2	DMRT1	0.0498149898982572
SRY	FOXL2	0.0498029264377929
FOXL2	NR0B1	0.0494389044026007
AMH	FGF9	0.0494287676298622
CTNNB1	WT1mKTS	0.0493920208036246
SOX9	DKK1	0.0492085970971877
FOXL2	RSPO1	0.0491431281127822
UGR	GATA4	0.0489646759199555
WT1mKTS	DMRT1	0.0488230188907682
FGF9	PGD2	0.0485605662237002
CTNNB1	GATA4	0.0483529187849868
WT1pKTS	RSPO1	0.0482945612030672
SOX9	AMH	0.0482937635902458
CTNNB1	CBX2	0.0480176009508395
UGR	DHH	0.048009481346001
CTNNB1	WNT4	0.0479896123063535
WT1pKTS	WNT4	0.0476787434319307
SOX9	DHH	0.0472701913845256
WNT4	FOXL2	0.0471932077296299
SRY	DKK1	0.047099765002626
NR0B1	AMH	0.0470587334153376
FGF9	DMRT1	0.0470545764106297
PGD2	DHH	0.0469159217017171
NR5A1	DHH	0.0468737929837824
WNT4	PGD2	0.0467051437522787
WNT4	FGF9	0.0466407781103613
CTNNB1	RSPO1	0.0465351609334218
DHH	UGR	0.0465096292338576
WNT4	NR0B1	0.0464512284483731
CBX2	GATA4	0.0463940274204138
SOX9	CTNNB1	0.0461463081186429
RSPO1	SRY	0.0458523541072816
WNT4	SOX9	0.0457266799005679
SOX9	GATA4	0.0456163064536495
DMRT1	NR5A1	0.0454021747184767
DKK1	NR5A1	0.0453842993912182
DHH	WT1mKTS	0.0450225443010212
AMH	PGD2	0.0440777405240936
WNT4	CTNNB1	0.0439886379337895
NR5A1	SOX9	0.0438665512232913
GATA4	CBX2	0.0438608275392371
NR0B1	PGD2	0.0438291713740224
WT1pKTS	CTNNB1	0.0436612068785389
GATA4	CTNNB1	0.0434915442726304
DKK1	FOXL2	0.0434515842892876
GATA4	RSPO1	0.0434055800904121
DKK1	NR0B1	0.0432380906612813
WT1mKTS	CTNNB1	0.0432369672425495
WT1pKTS	UGR	0.0431509008358082
RSPO1	FOXL2	0.0431069942671405
