Gene1	Gene2	EdgeWeight
WT1mKTS	WT1pKTS	6.0
WT1mKTS	DMRT1	6.0
WT1mKTS	NR5A1	1.5
WT1pKTS	DMRT1	1.5
GATA4	DKK1	0.66666
WT1pKTS	DKK1	0.66666
WT1pKTS	AMH	0.375
GATA4	DHH	0.24
GATA4	AMH	0.24
WT1mKTS	CBX2	0.16666
WT1mKTS	CBX2	0.16666
GATA4	SRY	0.12244
WT1mKTS	DHH	0.12244
WT1mKTS	NR0B1	0.09375
WT1mKTS	PGD2	0.07407
WT1mKTS	FGF9	0.07407
GATA4	FGF9	0.06
WT1mKTS	DKK1	0.06
GATA4	SOX9	0.04958
GATA4	SOX9	0.04958
GATA4	FOXL2	0.04166
GATA4	CBX2	0.04166
SOX9	NR5A1	0.0355
GATA4	NR0B1	0.03061
NR0B1	FOXL2	0.03061
WT1pKTS	WNT4	0.02666
NR0B1	CBX2	0.02666
WT1mKTS	FOXL2	0.02343
GATA4	RSPO1	0.02343
GATA4	PGD2	0.02076
WT1pKTS	UGR	0.01851
GATA4	UGR	0.01662
GATA4	CTNNB1	0.01662
WT1mKTS	AMH	0.015
WNT4	WT1pKTS	0.015
WT1pKTS	SOX9	0.0136
SOX9	WT1pKTS	0.0136
WT1mKTS	WNT4	0.01239
GATA4	NR5A1	0.01239
WT1mKTS	SOX9	0.01134
WT1pKTS	NR0B1	0.01041
SOX9	CBX2	0.0096
WT1pKTS	PGD2	0.0096
NR0B1	WT1pKTS	0.00887
WT1pKTS	NR5A1	0.00823
PGD2	FOXL2	0.00823
WT1mKTS	SRY	0.00765
AMH	RSPO1	0.00713
SRY	CBX2	0.00713
WT1pKTS	CTNNB1	0.00666
CTNNB1	CBX2	0.00585
FGF9	AMH	0.00585
NR0B1	NR5A1	0.0055
NR5A1	WNT4	0.0055
GATA4	WT1pKTS	0.00519
SOX9	FOXL2	0.00489
GATA4	DMRT1	0.00489
WT1pKTS	DHH	0.00462
WNT4	FOXL2	0.00462
WNT4	CBX2	0.00438
FOXL2	DMRT1	0.00438
DKK1	NR5A1	0.00415
NR0B1	RSPO1	0.00394
WT1pKTS	CBX2	0.00375
CTNNB1	UGR	0.00375
WT1pKTS	RSPO1	0.00356
FOXL2	SOX9	0.0034
WT1pKTS	FOXL2	0.00324
DHH	SRY	0.00324
DHH	CBX2	0.00309
FOXL2	NR0B1	0.00309
DHH	NR5A1	0.00296
NR5A1	UGR	0.00296
CTNNB1	RSPO1	0.00283
NR5A1	NR0B1	0.00283
AMH	CTNNB1	0.00271
WNT4	NR5A1	0.0026
UGR	CBX2	0.0024
WNT4	DKK1	0.0024
NR5A1	DHH	0.0023
NR0B1	FGF9	0.00221
DHH	WNT4	0.00213
DHH	FOXL2	0.00213
FOXL2	FGF9	0.00198
UGR	FOXL2	0.00198
SRY	RSPO1	0.00191
DHH	RSPO1	0.00191
DHH	AMH	0.00184
FGF9	UGR	0.00184
DHH	FGF9	0.00178
FGF9	DMRT1	0.00178
CTNNB1	FOXL2	0.00172
WT1pKTS	FGF9	0.00172
DHH	DMRT1	0.00166
FOXL2	UGR	0.00161
FGF9	DHH	0.00161
SOX9	CTNNB1	0.00156
FOXL2	DKK1	0.00151
SOX9	UGR	0.00151
NR5A1	DMRT1	0.00146
NR5A1	FGF9	0.00142
DMRT1	SOX9	0.00142
FGF9	PGD2	0.00137
NR0B1	CTNNB1	0.00133
FOXL2	AMH	0.00133
AMH	DMRT1	0.00129
FOXL2	PGD2	0.00129
FOXL2	DHH	0.00122
FOXL2	CTNNB1	0.00122
DMRT1	UGR	0.00119
FGF9	SOX9	0.00119
DHH	CTNNB1	0.00115
SRY	DKK1	0.00115
PGD2	DMRT1	0.00112
DMRT1	CTNNB1	0.00109
FGF9	DKK1	0.00109
DKK1	SOX9	0.00106
DMRT1	RSPO1	0.00103
SOX9	WNT4	0.00103
CBX2	UGR	0.00101
SOX9	AMH	0.00101
DMRT1	NR0B1	0.00098
FOXL2	CBX2	0.00098
NR0B1	UGR	0.00096
SOX9	DMRT1	0.00093
FGF9	CBX2	0.00093
CBX2	FOXL2	0.00091
WNT4	RSPO1	0.00089
SRY	FGF9	0.00089
NR0B1	WNT4	0.00085
FOXL2	WNT4	0.00085
DKK1	UGR	0.00083
SOX9	RSPO1	0.00081
DHH	DKK1	0.00081
NR5A1	RSPO1	0.00079
DMRT1	WNT4	0.00079
SOX9	DKK1	0.00077
PGD2	DHH	0.00077
RSPO1	DMRT1	0.00074
AMH	NR0B1	0.00074
UGR	SOX9	0.0007
CTNNB1	SRY	0.0007
RSPO1	SOX9	0.00069
PGD2	WNT4	0.00069
CBX2	WT1pKTS	0.00066
AMH	UGR	0.00065
NR5A1	PGD2	0.00063
SRY	NR5A1	0.00062
PGD2	NR0B1	0.00062
AMH	FGF9	0.00061
SRY	DHH	0.00061
NR0B1	DKK1	0.0006
AMH	SOX9	0.00058
SRY	CTNNB1	0.00057
CBX2	FGF9	0.00057
WT1mKTS	CTNNB1	0.00056
UGR	CTNNB1	0.00056
SRY	FOXL2	0.00055
SOX9	PGD2	0.00055
NR5A1	WT1pKTS	0.00053
SOX9	FGF9	0.00052
DHH	NR0B1	0.00052
PGD2	DKK1	0.00051
PGD2	WT1pKTS	0.00051
UGR	NR5A1	0.00047
UGR	WNT4	0.00047
AMH	DHH	0.00046
WNT4	UGR	0.00046
PGD2	CBX2	0.00046
DHH	SOX9	0.00045
SRY	WNT4	0.00045
UGR	SRY	0.00044
WNT4	FGF9	0.00044
CBX2	DHH	0.00043
DMRT1	AMH	0.00042
UGR	PGD2	0.00042
RSPO1	WT1pKTS	0.00041
RSPO1	UGR	0.0004
DKK1	WNT4	0.0004
WT1mKTS	UGR	0.00039
FOXL2	RSPO1	0.00038
FOXL2	WT1pKTS	0.00037
FGF9	NR0B1	0.00037
NR0B1	AMH	0.00036
RSPO1	FGF9	0.00036
CBX2	AMH	0.00036
AMH	WT1pKTS	0.00035
RSPO1	WNT4	0.00035
SOX9	NR0B1	0.00034
AMH	PGD2	0.00033
DKK1	FGF9	0.00033
PGD2	FGF9	0.00033
CTNNB1	WNT4	0.00032
DMRT1	CBX2	0.00032
UGR	DMRT1	0.00031
CBX2	WNT4	0.00031
UGR	RSPO1	0.00031
NR0B1	SRY	0.00031
NR5A1	DKK1	0.0003
SRY	DMRT1	0.0003
SOX9	DHH	0.00029
UGR	FGF9	0.00029
NR5A1	SRY	0.00029
CBX2	CTNNB1	0.00029
RSPO1	CBX2	0.00028
NR5A1	AMH	0.00028
DHH	PGD2	0.00028
AMH	CBX2	0.00028
CTNNB1	FGF9	0.00027
DMRT1	DHH	0.00027
DMRT1	WT1pKTS	0.00026
SOX9	SRY	0.00026
PGD2	CTNNB1	0.00026
UGR	DHH	0.00025
DKK1	FOXL2	0.00025
WT1mKTS	GATA4	0.00025
FGF9	WT1pKTS	0.00024
UGR	DKK1	0.00024
RSPO1	DKK1	0.00024
FGF9	SRY	0.00024
GATA4	WT1mKTS	0.00024
NR5A1	CBX2	0.00023
DKK1	DMRT1	0.00023
DMRT1	FOXL2	0.00023
CTNNB1	NR5A1	0.00022
CTNNB1	DHH	0.00022
NR0B1	PGD2	0.00022
FGF9	FOXL2	0.00022
PGD2	SRY	0.00022
FOXL2	SRY	0.00021
UGR	NR0B1	0.00021
CBX2	PGD2	0.00021
DHH	UGR	0.00021
SRY	NR0B1	0.00021
DKK1	CBX2	0.0002
AMH	GATA4	0.0002
RSPO1	NR5A1	0.0002
CTNNB1	DMRT1	0.0002
DMRT1	SRY	0.00019
PGD2	UGR	0.00019
DKK1	SRY	0.00019
DKK1	SRY	0.00019
RSPO1	NR0B1	0.00019
SRY	SOX9	0.00019
CTNNB1	NR0B1	0.00018
FGF9	RSPO1	0.00018
NR5A1	CTNNB1	0.00018
CTNNB1	WT1pKTS	0.00018
WT1mKTS	RSPO1	0.00017
DKK1	RSPO1	0.00017
CBX2	DKK1	0.00017
SRY	PGD2	0.00017
WNT4	SOX9	0.00017
CTNNB1	SOX9	0.00016
CBX2	RSPO1	0.00016
DMRT1	NR5A1	0.00016
WNT4	SRY	0.00016
CBX2	SRY	0.00016
DKK1	CTNNB1	0.00015
PGD2	SOX9	0.00015
RSPO1	AMH	0.00015
AMH	WT1mKTS	0.00015
PGD2	RSPO1	0.00015
RSPO1	SRY	0.00014
CBX2	SOX9	0.00014
FOXL2	NR5A1	0.00014
FGF9	WNT4	0.00014
PGD2	AMH	0.00014
DKK1	NR0B1	0.00014
CBX2	DMRT1	0.00014
GATA4	WNT4	0.00013
AMH	SRY	0.00013
AMH	FOXL2	0.00013
CTNNB1	PGD2	0.00013
DHH	WT1pKTS	0.00012
AMH	NR5A1	0.00012
SRY	GATA4	0.00012
WT1pKTS	SRY	0.00012
WNT4	DMRT1	0.00012
AMH	DKK1	0.00012
AMH	WNT4	0.00012
DKK1	WT1pKTS	0.00012
DKK1	AMH	0.00012
CBX2	NR5A1	0.00012
UGR	AMH	0.00011
SOX9	WT1mKTS	0.00011
DMRT1	DKK1	0.00011
RSPO1	CTNNB1	0.0001
WNT4	AMH	0.0001
FGF9	NR5A1	0.0001
DMRT1	FGF9	0.0001
DKK1	PGD2	0.0001
FGF9	CTNNB1	0.0001
NR0B1	DMRT1	0.0001
NR0B1	SOX9	9e-05
WNT4	DHH	9e-05
NR5A1	SOX9	9e-05
SRY	WT1mKTS	9e-05
WNT4	CTNNB1	9e-05
PGD2	GATA4	9e-05
WNT4	CTNNB1	9e-05
RSPO1	PGD2	9e-05
SOX9	GATA4	9e-05
PGD2	NR5A1	9e-05
DHH	GATA4	9e-05
RSPO1	DHH	9e-05
FGF9	WT1mKTS	8e-05
WNT4	NR0B1	8e-05
RSPO1	FOXL2	8e-05
CBX2	NR0B1	8e-05
CTNNB1	DKK1	8e-05
SRY	UGR	8e-05
WNT4	NR0B1	8e-05
WNT4	GATA4	7e-05
FOXL2	WT1mKTS	7e-05
DMRT1	PGD2	7e-05
SRY	WT1pKTS	7e-05
CTNNB1	WT1mKTS	7e-05
SRY	WT1pKTS	7e-05
WNT4	PGD2	7e-05
SRY	AMH	7e-05
NR5A1	FOXL2	7e-05
DMRT1	GATA4	7e-05
DMRT1	PGD2	7e-05
DMRT1	WT1mKTS	6e-05
DHH	WT1mKTS	6e-05
UGR	WT1pKTS	6e-05
