Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	0.3393868958855853
DKK1	DMRT1	0.3338906410764894
DMRT1	DKK1	0.2937450705497109
WT1pKTS	FOXL2	0.2744946024079145
RSPO1	CTNNB1	0.2652695193688401
CTNNB1	RSPO1	0.2507655865090769
CBX2	UGR	0.2439486559048427
UGR	CBX2	0.2218699209950175
DHH	PGD2	0.2140260281482734
PGD2	FGF9	0.2091929427697919
PGD2	DHH	0.1980492989385386
FOXL2	NR5A1	0.1925697726944104
NR5A1	CBX2	0.1913211024431471
PGD2	AMH	0.1867254556248207
RSPO1	NR5A1	0.1830664131506562
WNT4	NR0B1	0.1797011942248993
SRY	DKK1	0.1780741627027082
DHH	AMH	0.1768697012967218
DHH	FGF9	0.1755102762475907
UGR	WT1mKTS	0.1745388546862899
FGF9	DHH	0.1727622923624654
DKK1	SOX9	0.1706242700320275
NR5A1	RSPO1	0.1701992841254021
WT1mKTS	GATA4	0.1691290610682021
CTNNB1	FOXL2	0.1681136590104452
GATA4	WT1mKTS	0.1679702287222917
NR0B1	WNT4	0.166482534887659
FGF9	PGD2	0.163544572497213
DMRT1	SRY	0.1631420127733963
UGR	GATA4	0.1626417265776368
FGF9	AMH	0.1570770542618605
DKK1	SRY	0.1535577684447459
SRY	DMRT1	0.1512632158422066
WNT4	CTNNB1	0.1503082676571833
RSPO1	WNT4	0.1481697802741564
AMH	DHH	0.1477228761706643
WT1pKTS	NR5A1	0.1474885511395344
CTNNB1	WT1pKTS	0.1456199998067477
SOX9	WNT4	0.1421551023864984
DMRT1	SOX9	0.1397179730351303
WNT4	RSPO1	0.1368379269473667
CTNNB1	NR5A1	0.1302663625958805
AMH	FGF9	0.1282962363984632
AMH	PGD2	0.1270572310120234
RSPO1	FOXL2	0.126030793865513
NR5A1	WT1pKTS	0.1244962509251348
NR5A1	FOXL2	0.1190803036760659
FOXL2	CTNNB1	0.1176803222534436
SOX9	DKK1	0.1159529460178002
AMH	NR0B1	0.1159467424713834
NR5A1	UGR	0.115647248721516
SOX9	DMRT1	0.1099908876346206
FOXL2	SRY	0.1095949348778967
DHH	SOX9	0.1075903502956775
SOX9	FGF9	0.1071807810564088
SOX9	PGD2	0.1062240821547485
NR5A1	CTNNB1	0.1051709436331639
DHH	GATA4	0.1016119085110576
UGR	NR0B1	0.1000370679705038
SOX9	DHH	0.0989829820855317
PGD2	GATA4	0.0985113463063998
PGD2	SOX9	0.0974143980158314
CTNNB1	SRY	0.0965798044360305
RSPO1	WT1pKTS	0.0936153461834851
SOX9	AMH	0.0924073606792841
PGD2	WT1mKTS	0.0902014627567324
PGD2	NR0B1	0.0899931245547368
CTNNB1	WNT4	0.0886320120145197
NR0B1	RSPO1	0.0844610083402291
DHH	WT1mKTS	0.0832522389638311
FGF9	SOX9	0.082955280635451
SRY	FOXL2	0.0827789417360623
FGF9	WT1mKTS	0.078073075772693
WT1pKTS	CBX2	0.0777829583046822
WT1pKTS	SRY	0.0757397688854212
FGF9	GATA4	0.0743527144350087
NR0B1	UGR	0.0732207926372489
RSPO1	NR0B1	0.0722933910822537
AMH	WT1mKTS	0.0719094855528564
GATA4	PGD2	0.0710073981579132
GATA4	FGF9	0.0703186978817788
DHH	NR0B1	0.0693207912064493
RSPO1	CBX2	0.068190198328672
FGF9	NR0B1	0.067696465284756
UGR	SRY	0.0666520976958134
GATA4	DHH	0.0653202585773093
FGF9	WNT4	0.0653048934804558
CTNNB1	CBX2	0.0644215838307659
WNT4	UGR	0.0640514420250137
AMH	GATA4	0.0625247575142266
WNT4	SOX9	0.0624586459856241
