	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.5118778043053893	-0.43214054295559956	0.5005861081710011	-0.5454835107064882	0.5348635184257059	-0.4067045088615709	0.7141410070113299	0.8422866863564075	-0.5898914084050165	-0.27838447450641857	0.49281382566308785	-0.35664847468989086	0.3000287183634562	0.41284365116628796	-0.5592443443964399	-0.26807619736077815	0.6972851642507084	-0.43666221353299506
FGF9	0.5118778043053893	1.0	-0.5411244614834014	0.7605269114504141	-0.481245501554788	0.7632291572259383	-0.4594662604013259	0.40767240900046076	0.5077753427217337	-0.6774607124815991	-0.2541167158310584	0.7390289416637791	-0.6100598661368642	0.32449878461894166	0.19942593458763072	-0.3506419177131987	-0.14903088427767403	0.6668928796387521	-0.47324330676123266
RSPO1	-0.43214054295559956	-0.5411244614834014	1.0	-0.5332173039565045	0.8535627777555123	-0.5357780078020354	0.24349879971646998	-0.5288106259366547	-0.43822152658460645	0.7509092915246733	-0.3144237698697417	-0.5169269036954669	0.6424568995706241	-0.745103321616275	-0.602411632421909	0.6857650306946745	-0.3172755086763387	-0.5696358246962846	0.2420231002846319
DHH	0.5005861081710011	0.7605269114504141	-0.5332173039565045	1.0	-0.48099712412719847	0.7593817369134832	-0.4483162447109578	0.39740981991824337	0.5117434613074631	-0.6644905589609984	-0.2517451978649901	0.7444752256828714	-0.6022702680427421	0.3206233690163998	0.2030663420680888	-0.3307202373729307	-0.1538272199268875	0.6655235473146198	-0.4727857125395397
CTNNB1	-0.5454835107064882	-0.481245501554788	0.8535627777555123	-0.48099712412719847	1.0	-0.49915687521281643	0.23664331536020267	-0.6026262387394169	-0.5427756605503338	0.734281546442538	-0.2942526857826986	-0.48084264610791755	0.605532758482862	-0.7161309019099363	-0.6668492164286144	0.7515923981336682	-0.30068690721010477	-0.5607159258890474	0.2377576855199599
PGD2	0.5348635184257059	0.7632291572259383	-0.5357780078020354	0.7593817369134832	-0.49915687521281643	1.0	-0.46549355468635023	0.4224792239368365	0.5386529607102875	-0.6918474742893329	-0.25975347683467315	0.7504571952812643	-0.621402689888983	0.3363455756414992	0.23996682573542788	-0.37055011496881085	-0.1612957703671391	0.6811843771100282	-0.47786062016424496
WT1mKTS	-0.4067045088615709	-0.4594662604013259	0.24349879971646998	-0.4483162447109578	0.23664331536020267	-0.46549355468635023	1.0	-0.3604088978347988	-0.4177251870006199	0.3428556270516077	0.17184961836719684	-0.4483292169192353	0.29591530934898574	-0.13823672915367005	-0.08661835788041411	0.2219231186752779	0.00683835462945577	-0.44917739097959813	0.8039906948207094
SRY	0.7141410070113299	0.40767240900046076	-0.5288106259366547	0.39740981991824337	-0.6026262387394169	0.4224792239368365	-0.3604088978347988	1.0	0.7205526238026445	-0.45192594400336933	-0.03291783129271015	0.3881043956559675	-0.2363337643569997	0.5010325959876575	0.5774190287029903	-0.7128131659193291	-0.17526461739750354	0.5946235454468726	-0.3552393526330748
DKK1	0.8422866863564075	0.5077753427217337	-0.43822152658460645	0.5117434613074631	-0.5427756605503338	0.5386529607102875	-0.4177251870006199	0.7205526238026445	1.0	-0.5822416606814222	-0.2871974799690682	0.5042191595776508	-0.3544689420682847	0.3040006662919134	0.41026641471985315	-0.5701080108518979	-0.26899363928586034	0.7077846032774233	-0.43408505981386175
WNT4	-0.5898914084050165	-0.6774607124815991	0.7509092915246733	-0.6644905589609984	0.734281546442538	-0.6918474742893329	0.3428556270516077	-0.45192594400336933	-0.5822416606814222	1.0	-0.014973360724408656	-0.6591276343503957	0.7682256989838844	-0.543548733424603	-0.4433074586651108	0.5471633357427619	-0.1386168374480042	-0.7075941116335589	0.3626735106719077
