Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.8476374016986417
RSPO1	CTNNB1	0.8476374016986417
DKK1	DMRT1	0.8468372753999378
DMRT1	DKK1	0.8468372753999378
FOXL2	WT1pKTS	-0.8173477300472574
WT1pKTS	FOXL2	-0.8173477300472574
GATA4	WT1mKTS	0.79638795520864
WT1mKTS	GATA4	0.79638795520864
WNT4	RSPO1	0.7692398336545948
RSPO1	WNT4	0.7692398336545948
FGF9	PGD2	0.7688723567755219
PGD2	FGF9	0.7688723567755219
FGF9	DHH	0.7668050566146881
DHH	FGF9	0.7668050566146881
PGD2	DHH	0.7658198049394372
DHH	PGD2	0.7658198049394372
AMH	PGD2	0.7624178399807245
PGD2	AMH	0.7624178399807245
FOXL2	NR5A1	-0.7615330518744242
NR5A1	FOXL2	-0.7615330518744242
CTNNB1	FOXL2	0.7546321457403162
FOXL2	CTNNB1	0.7546321457403162
WNT4	NR0B1	0.7532981340627751
NR0B1	WNT4	0.7532981340627751
FGF9	AMH	0.749723434407784
AMH	FGF9	0.749723434407784
AMH	DHH	0.7483900140060058
DHH	AMH	0.7483900140060058
NR5A1	WT1pKTS	0.7464985521908349
WT1pKTS	NR5A1	0.7464985521908349
NR5A1	RSPO1	-0.7457820225596997
RSPO1	NR5A1	-0.7457820225596997
SRY	DKK1	0.7360310701856374
DKK1	SRY	0.7360310701856374
CTNNB1	WNT4	0.7351962674947063
WNT4	CTNNB1	0.7351962674947063
DMRT1	SRY	0.7245931812176113
SRY	DMRT1	0.7245931812176113
UGR	CBX2	0.7223915946357646
CBX2	UGR	0.7223915946357646
WNT4	SOX9	-0.71719714277094
SOX9	WNT4	-0.71719714277094
DKK1	SOX9	0.7163417283621257
SOX9	DKK1	0.7163417283621257
CTNNB1	NR5A1	-0.7159403080059559
NR5A1	CTNNB1	-0.7159403080059559
FOXL2	SRY	-0.7082929179736179
SRY	FOXL2	-0.7082929179736179
SOX9	DMRT1	0.6996590750631568
DMRT1	SOX9	0.6996590750631568
FGF9	WNT4	-0.6898490659451673
WNT4	FGF9	-0.6898490659451673
RSPO1	FOXL2	0.689772236018996
FOXL2	RSPO1	0.689772236018996
WNT4	PGD2	-0.6850324067207137
PGD2	WNT4	-0.6850324067207137
PGD2	SOX9	0.6844078056784546
SOX9	PGD2	0.6844078056784546
FGF9	SOX9	0.6834068075595998
SOX9	FGF9	0.6834068075595998
DHH	SOX9	0.6723396635959195
SOX9	DHH	0.6723396635959195
DHH	WNT4	-0.6676778101013706
WNT4	DHH	-0.6676778101013706
CTNNB1	WT1pKTS	-0.666879975810774
WT1pKTS	CTNNB1	-0.666879975810774
NR0B1	RSPO1	0.6577735885922678
RSPO1	NR0B1	0.6577735885922678
WNT4	AMH	-0.646485904506252
AMH	WNT4	-0.646485904506252
AMH	SOX9	0.6316827014493647
SOX9	AMH	0.6316827014493647
AMH	NR0B1	-0.6244906745292247
NR0B1	AMH	-0.6244906745292247
FGF9	NR0B1	-0.6195381145907763
NR0B1	FGF9	-0.6195381145907763
PGD2	NR0B1	-0.6108155546861264
NR0B1	PGD2	-0.6108155546861264
SRY	CTNNB1	-0.603052203605426
CTNNB1	SRY	-0.603052203605426
WNT4	DMRT1	-0.60298159053758
DMRT1	WNT4	-0.60298159053758
SOX9	SRY	0.6016948797458037
SRY	SOX9	0.6016948797458037
NR0B1	DHH	-0.6010800147258768
DHH	NR0B1	-0.6010800147258768
RSPO1	WT1pKTS	-0.6007238320028524
WT1pKTS	RSPO1	-0.6007238320028524
DKK1	WNT4	-0.599771919071202
WNT4	DKK1	-0.599771919071202
CTNNB1	NR0B1	0.5967876814345667
NR0B1	CTNNB1	0.5967876814345667
RSPO1	SOX9	-0.59230306429326
SOX9	RSPO1	-0.59230306429326
DKK1	FOXL2	-0.5777090748530215
FOXL2	DKK1	-0.5777090748530215
RSPO1	FGF9	-0.5774100058171507
FGF9	RSPO1	-0.5774100058171507
WT1pKTS	SRY	0.5715230771935098
SRY	WT1pKTS	0.5715230771935098
DMRT1	FOXL2	-0.5669398422814306
FOXL2	DMRT1	-0.5669398422814306
CTNNB1	SOX9	-0.5659933116486936
SOX9	CTNNB1	-0.5659933116486936
RSPO1	DHH	-0.5596203317710567
DHH	RSPO1	-0.5596203317710567
WNT4	FOXL2	0.5582563229487845
FOXL2	WNT4	0.5582563229487845
WNT4	NR5A1	-0.5567070720330433
NR5A1	WNT4	-0.5567070720330433
CTNNB1	DMRT1	-0.5564376501606757
DMRT1	CTNNB1	-0.5564376501606757
CTNNB1	DKK1	-0.5543173365154441
DKK1	CTNNB1	-0.5543173365154441
PGD2	RSPO1	-0.5534497697792587
RSPO1	PGD2	-0.5534497697792587
PGD2	DKK1	0.5484358575860927
DKK1	PGD2	0.5484358575860927
AMH	RSPO1	-0.5380941363409005
RSPO1	AMH	-0.5380941363409005
RSPO1	SRY	-0.5308858791829404
SRY	RSPO1	-0.5308858791829404
DMRT1	PGD2	0.530360058210878
PGD2	DMRT1	0.530360058210878
FGF9	DMRT1	0.5228302045989093
DMRT1	FGF9	0.5228302045989093
FGF9	DKK1	0.5216260783629004
DKK1	FGF9	0.5216260783629004
NR0B1	NR5A1	-0.5157633151424293
NR5A1	NR0B1	-0.5157633151424293
DHH	DKK1	0.5132764774684164
DKK1	DHH	0.5132764774684164
AMH	DKK1	0.5102320335164398
DKK1	AMH	0.5102320335164398
PGD2	GATA4	-0.5035991750808336
GATA4	PGD2	-0.5035991750808336
DMRT1	AMH	0.5026915083900086
AMH	DMRT1	0.5026915083900086
SOX9	GATA4	-0.5014542187026585
GATA4	SOX9	-0.5014542187026585
SRY	NR5A1	0.4987627750623354
NR5A1	SRY	0.4987627750623354
DMRT1	DHH	0.4981076145988986
DHH	DMRT1	0.4981076145988986
AMH	GATA4	-0.4960123139690989
GATA4	AMH	-0.4960123139690989
SOX9	FOXL2	-0.4958959802457626
FOXL2	SOX9	-0.4958959802457626
DHH	GATA4	-0.4920586987442668
GATA4	DHH	-0.4920586987442668
GATA4	FGF9	-0.4915099108331419
FGF9	GATA4	-0.4915099108331419
FGF9	CTNNB1	-0.491207336481961
CTNNB1	FGF9	-0.491207336481961
WT1mKTS	PGD2	-0.4899591468316391
PGD2	WT1mKTS	-0.4899591468316391
PGD2	CTNNB1	-0.4889021964654514
CTNNB1	PGD2	-0.4889021964654514
NR0B1	SOX9	-0.4881665771538641
SOX9	NR0B1	-0.4881665771538641
WT1mKTS	AMH	-0.4835101756404981
