Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,0.7196547359472879,1.0,1.0,1.0,3.2888040916617474,3.1873030817060917,3.3952763350318795,30,30,30,1
CTNNB1,RSPO1,0.8542401760100604,1.0,1.0,1.0,1.8915828202262974,1.8500899800362376,1.9298616094154313,30,30,30,1
DKK1,DMRT1,0.8434412420188891,1.0,1.0,1.0,2.3057074187478412,2.2474793699350144,2.3760450004530265,30,30,30,1
DMRT1,DKK1,0.8434412420188891,1.0,1.0,1.0,2.267894771554704,2.2268654654799835,2.324135569555031,30,30,30,1
FOXL2,NR5A1,-0.7671715740050168,1.0,1.0,1.0,1.6817855470633647,1.6492502542244192,1.7178934132917278,30,30,30,1
FOXL2,WT1pKTS,-0.8131902863897089,1.0,1.0,1.0,2.021703999654884,1.9960076549818706,2.044723204425249,30,30,30,1
GATA4,WT1mKTS,0.8003231326306871,1.0,1.0,1.0,2.578806597963452,2.476880206476994,2.6610140680355965,30,30,30,1
PGD2,AMH,0.7601927389737011,1.0,1.0,1.0,1.4865619753086388,1.453965596578544,1.516609073261653,30,30,30,1
RSPO1,CTNNB1,0.8542401760100604,1.0,1.0,1.0,1.8426715662300697,1.7886695592575188,1.8842517881503764,30,30,30,1
UGR,CBX2,0.7196547359472879,1.0,1.0,1.0,3.077061805373337,3.000147527098482,3.125208405529573,30,30,30,1
WNT4,NR0B1,0.7630999124875145,1.0,1.0,1.0,1.7906252367295588,1.735337386089317,1.849401383209572,30,30,30,1
WT1mKTS,GATA4,0.8003231326306871,1.0,1.0,1.0,2.4685778077357554,2.382308309298619,2.5728665470660608,30,30,30,1
WT1pKTS,FOXL2,-0.8131902863897089,1.0,1.0,1.0,1.6811520768145514,1.651110172110363,1.725622171599981,30,30,30,1
DKK1,SRY,0.729167249463607,0.9980392156862745,1.0,0.9980392156862745,1.5413228270365409,1.4674828623847747,1.6020602439734053,30,30,30,1
DKK1,SOX9,0.7179637789137686,0.9941176470588236,1.0,0.9941176470588236,1.188460714575648,1.112460457999775,1.2491667993316242,30,30,30,1
PGD2,FGF9,0.7661025966028898,0.9921568627450981,1.0,0.9921568627450981,1.4400864530125237,1.4019554322096266,1.4735167496731756,30,30,30,1
