	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.524240394046804	-0.44974267341737534	0.5076770296771118	-0.5517362404477044	0.5384116772012824	-0.4407281288012645	0.727458838044702	0.8438025570898141	-0.5967529956264279	-0.2815820257446786	0.5223363383589773	-0.38010866273382526	0.3099133391215299	0.4180825013965453	-0.5736588878568997	-0.2679150512405429	0.7079607433002679	-0.4648799629107464
FGF9	0.524240394046804	1.0	-0.5600843423800563	0.7618673698892209	-0.49142991362084537	0.7689416324321925	-0.4845826549788752	0.420103926662124	0.5150248042114758	-0.68013157109038	-0.2593991178064056	0.749190407077052	-0.6316329681519287	0.35419498440915587	0.21748013384257675	-0.363716717023012	-0.15389319728873074	0.6810258168368096	-0.4892306265135902
RSPO1	-0.44974267341737534	-0.5600843423800563	1.0	-0.5488449891782179	0.852344045837074	-0.5470861111244097	0.2698291198450432	-0.5246586936594518	-0.45433853038086436	0.766685940556649	-0.2929119158696661	-0.5342877410482221	0.6599421276116728	-0.7481560024792042	-0.598200451010421	0.6849851756897056	-0.31203471362137464	-0.5877281140933893	0.2611827195184792
DHH	0.5076770296771118	0.7618673698892209	-0.5488449891782179	1.0	-0.4901006280174698	0.7676269038330951	-0.47399595351646134	0.3987006982186902	0.5127622858879449	-0.6709545368825067	-0.24900145499181325	0.7494742705394737	-0.6281566419326295	0.34419488984994956	0.21595377798753823	-0.349916356631023	-0.15184122342241688	0.669916925181119	-0.48666060970831204
CTNNB1	-0.5517362404477044	-0.49142991362084537	0.852344045837074	-0.4901006280174698	1.0	-0.49903008105359503	0.2616453257676652	-0.598816524446304	-0.5537738795933472	0.7429543836696975	-0.28406975494956305	-0.4946527329875209	0.6199159299017889	-0.7159307934427434	-0.6580389184174447	0.747824570073625	-0.30403066338546625	-0.5659447041381169	0.2557930933130224
PGD2	0.5384116772012824	0.7689416324321925	-0.5470861111244097	0.7676269038330951	-0.49903008105359503	1.0	-0.48772224448955187	0.42563127668988543	0.5401884244172399	-0.6870780164986361	-0.27150167889823684	0.777044203940749	-0.6338350590582581	0.3427356050807169	0.23513206428729838	-0.3744683067374584	-0.176925034749723	0.6842008411574486	-0.49383195497728266
WT1mKTS	-0.4407281288012645	-0.4845826549788752	0.2698291198450432	-0.47399595351646134	0.2616453257676652	-0.48772224448955187	1.0	-0.3954380412907109	-0.4562670389366223	0.36546247846719315	0.20172924180347646	-0.4804555372751763	0.3182795502834356	-0.16178584011032468	-0.10559113683146229	0.2492056495799921	0.057182888921205106	-0.48398747934616226	0.790598001178393
SRY	0.727458838044702	0.420103926662124	-0.5246586936594518	0.3987006982186902	-0.598816524446304	0.42563127668988543	-0.3954380412907109	1.0	0.7377111429917852	-0.4568836489018369	-0.04961866170237834	0.4187929685930222	-0.2663838864674558	0.49970929220860744	0.5710373704773408	-0.7081835805543735	-0.18421045052560356	0.6025946268370992	-0.381189823313045
DKK1	0.8438025570898141	0.5150248042114758	-0.45433853038086436	0.5127622858879449	-0.5537738795933472	0.5401884244172399	-0.4562670389366223	0.7377111429917852	1.0	-0.5865962266731592	-0.2871024218010039	0.5259409034804899	-0.3776872243348803	0.31783275809004247	0.42431464364319277	-0.5833695639106253	-0.2685948030074386	0.7159507951497538	-0.45473520818342444
WNT4	-0.5967529956264279	-0.68013157109038	0.766685940556649	-0.6709545368825067	0.7429543836696975	-0.6870780164986361	0.36546247846719315	-0.4568836489018369	-0.5865962266731592	1.0	-0.014103644581790425	-0.6624768013673157	0.777185920899587	-0.5596076977522572	-0.44908776957580276	0.5533767487835453	-0.13836919796059663	-0.7065482709003695	0.37104295750309235
CBX2	-0.2815820257446786	-0.2593991178064056	-0.2929119158696661	-0.24900145499181325	-0.28406975494956305	-0.27150167889823684	0.20172924180347646	-0.04961866170237834	-0.2871024218010039	-0.014103644581790425	1.0	-0.2448243527534144	-0.14410947206354763	0.4536723350517244	0.3674822024968432	-0.28276509644487163	0.716236013974305	-0.2650615357616826	0.22548411090323298
AMH	0.5223363383589773	0.749190407077052	-0.5342877410482221	0.7494742705394737	-0.4946527329875209	0.777044203940749	-0.4804555372751763	0.4187929685930222	0.5259409034804899	-0.6624768013673157	-0.2448243527534144	1.0	-0.6465026927976103	0.3391554139053527	0.22796734148101397	-0.3785517289946772	-0.14941290729482595	0.6491440959128729	-0.48820282752745303
NR0B1	-0.38010866273382526	-0.6316329681519287	0.6599421276116728	-0.6281566419326295	0.6199159299017889	-0.6338350590582581	0.3182795502834356	-0.2663838864674558	-0.3776872243348803	0.777185920899587	-0.14410947206354763	-0.6465026927976103	1.0	-0.526097431458442	-0.3862139415519033	0.4565775160437292	-0.2863368181687531	-0.517776852636809	0.317017055076141
NR5A1	0.3099133391215299	0.35419498440915587	-0.7481560024792042	0.34419488984994956	-0.7159307934427434	0.3427356050807169	-0.16178584011032468	0.49970929220860744	0.31783275809004247	-0.5596076977522572	0.4536723350517244	0.3391554139053527	-0.526097431458442	1.0	0.7507152186091206	-0.7665812719635858	0.37770512430046016	0.4273620288114035	-0.13384496657237804
WT1pKTS	0.4180825013965453	0.21748013384257675	-0.598200451010421	0.21595377798753823	-0.6580389184174447	0.23513206428729838	-0.10559113683146229	0.5710373704773408	0.42431464364319277	-0.44908776957580276	0.3674822024968432	0.22796734148101397	-0.3862139415519033	0.7507152186091206	1.0	-0.8127961316660998	0.2879508350153727	0.32500027922805136	-0.09086210615679327
FOXL2	-0.5736588878568997	-0.363716717023012	0.6849851756897056	-0.349916356631023	0.747824570073625	-0.3744683067374584	0.2492056495799921	-0.7081835805543735	-0.5833695639106253	0.5533767487835453	-0.28276509644487163	-0.3785517289946772	0.4565775160437292	-0.7665812719635858	-0.8127961316660998	1.0	-0.20064955093228334	-0.5031709288720918	0.2246062296549275
UGR	-0.2679150512405429	-0.15389319728873074	-0.31203471362137464	-0.15184122342241688	-0.30403066338546625	-0.176925034749723	0.057182888921205106	-0.18421045052560356	-0.2685948030074386	-0.13836919796059663	0.716236013974305	-0.14941290729482595	-0.2863368181687531	0.37770512430046016	0.2879508350153727	-0.20064955093228334	1.0	-0.2066919161168923	0.059606215835884546
SOX9	0.7079607433002679	0.6810258168368096	-0.5877281140933893	0.669916925181119	-0.5659447041381169	0.6842008411574486	-0.48398747934616226	0.6025946268370992	0.7159507951497538	-0.7065482709003695	-0.2650615357616826	0.6491440959128729	-0.517776852636809	0.4273620288114035	0.32500027922805136	-0.5031709288720918	-0.2066919161168923	1.0	-0.49409870674905126
GATA4	-0.4648799629107464	-0.4892306265135902	0.2611827195184792	-0.48666060970831204	0.2557930933130224	-0.49383195497728266	0.790598001178393	-0.381189823313045	-0.45473520818342444	0.37104295750309235	0.22548411090323298	-0.48820282752745303	0.317017055076141	-0.13384496657237804	-0.09086210615679327	0.2246062296549275	0.059606215835884546	-0.49409870674905126	1.0
