Gene1	Gene2	EdgeWeight
RSPO1	CTNNB1	0.8566024115020404
CTNNB1	RSPO1	0.8566024115020404
DKK1	DMRT1	0.843378324233494
DMRT1	DKK1	0.843378324233494
FOXL2	WT1pKTS	-0.8140996462286639
WT1pKTS	FOXL2	-0.8140996462286639
WT1mKTS	GATA4	0.801726778784136
GATA4	WT1mKTS	0.801726778784136
WNT4	NR0B1	0.773972934297272
NR0B1	WNT4	0.773972934297272
NR5A1	FOXL2	-0.769446358393976
FOXL2	NR5A1	-0.769446358393976
PGD2	FGF9	0.7688554740633314
FGF9	PGD2	0.7688554740633314
DHH	FGF9	0.7674754762386514
FGF9	DHH	0.7674754762386514
WNT4	RSPO1	0.7656631274916988
RSPO1	WNT4	0.7656631274916988
PGD2	DHH	0.7614740725094316
DHH	PGD2	0.7614740725094316
DHH	AMH	0.7541258794448312
AMH	DHH	0.7541258794448312
WT1pKTS	NR5A1	0.7536620523545917
NR5A1	WT1pKTS	0.7536620523545917
AMH	PGD2	0.7532172248858298
PGD2	AMH	0.7532172248858298
FGF9	AMH	0.7500647257215262
AMH	FGF9	0.7500647257215262
WNT4	CTNNB1	0.7459565852346498
CTNNB1	WNT4	0.7459565852346498
CTNNB1	FOXL2	0.7435381108017334
FOXL2	CTNNB1	0.7435381108017334
RSPO1	NR5A1	-0.7393590543253161
NR5A1	RSPO1	-0.7393590543253161
SRY	DKK1	0.7286517784644945
DKK1	SRY	0.7286517784644945
CBX2	UGR	0.7265138652646081
UGR	CBX2	0.7265138652646081
DMRT1	SRY	0.7147231318143114
SRY	DMRT1	0.7147231318143114
NR5A1	CTNNB1	-0.7129501729421851
CTNNB1	NR5A1	-0.7129501729421851
SOX9	DKK1	0.709463857336546
DKK1	SOX9	0.709463857336546
SOX9	WNT4	-0.7064721887397343
WNT4	SOX9	-0.7064721887397343
SRY	FOXL2	-0.700291733958283
FOXL2	SRY	-0.700291733958283
DMRT1	SOX9	0.6968009276011418
SOX9	DMRT1	0.6968009276011418
FOXL2	RSPO1	0.6867195385726097
RSPO1	FOXL2	0.6867195385726097
SOX9	PGD2	0.6849633962054209
PGD2	SOX9	0.6849633962054209
PGD2	WNT4	-0.6846473428462067
WNT4	PGD2	-0.6846473428462067
FGF9	SOX9	0.6826739098134239
SOX9	FGF9	0.6826739098134239
FGF9	WNT4	-0.6816752683971432
WNT4	FGF9	-0.6816752683971432
SOX9	DHH	0.671070286850584
DHH	SOX9	0.671070286850584
DHH	WNT4	-0.6697932053609403
WNT4	DHH	-0.6697932053609403
RSPO1	NR0B1	0.6597532542396547
NR0B1	RSPO1	0.6597532542396547
CTNNB1	WT1pKTS	-0.6537916233062941
WT1pKTS	CTNNB1	-0.6537916233062941
WNT4	AMH	-0.6501368321596767
AMH	WNT4	-0.6501368321596767
