Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,0.7197905396567629,1.0,1.0,1.0,3.3058867442280664,3.1582801036113555,3.3979572040740402,30,30,30,1
CTNNB1,RSPO1,0.85450012163743,1.0,1.0,1.0,1.9001768670390924,1.8532343366689275,1.9539351061123176,30,30,30,1
DKK1,DMRT1,0.8441712773161734,1.0,1.0,1.0,2.309405187591608,2.260809622972733,2.351233445202391,30,30,30,1
DKK1,SRY,0.7294156933215893,1.0,1.0,1.0,1.5442700104416507,1.4801581356485818,1.601416210660184,30,30,30,1
DMRT1,DKK1,0.8441712773161734,1.0,1.0,1.0,2.2698414215908205,2.2251251992579326,2.312207286241808,30,30,30,1
FOXL2,NR5A1,-0.7669820434368966,1.0,1.0,1.0,1.684313571457863,1.6537374231993427,1.713781362389088,30,30,30,1
FOXL2,WT1pKTS,-0.8116109729176062,1.0,1.0,1.0,2.025597325278964,2.0021332565074332,2.043136764062471,30,30,30,1
GATA4,WT1mKTS,0.7962833059585733,1.0,1.0,1.0,2.551511273488299,2.4211448434160627,2.6624311488087713,30,30,30,1
RSPO1,CTNNB1,0.85450012163743,1.0,1.0,1.0,1.848966365261318,1.806082386888379,1.9075556133768465,30,30,30,1
UGR,CBX2,0.7197905396567629,1.0,1.0,1.0,3.07352360252459,3.0154791280688276,3.142627263793375,30,30,30,1
WNT4,NR0B1,0.766892146417257,1.0,1.0,1.0,1.7936010312402182,1.7381015802268434,1.8395775293709482,30,30,30,1
WT1mKTS,GATA4,0.7962833059585733,1.0,1.0,1.0,2.4394159334758556,2.3081581504743656,2.550422249504593,30,30,30,1
WT1pKTS,FOXL2,-0.8116109729176062,1.0,1.0,1.0,1.6802755709923303,1.6409492121492715,1.716726826303164,30,30,30,1
PGD2,AMH,0.7620837250734381,0.996078431372549,1.0,0.996078431372549,1.4867093755995837,1.435602243683923,1.5350112764769774,30,30,30,1
DKK1,SOX9,0.7178836013683714,0.9941176470588236,1.0,0.9941176470588236,1.1757350796958606,1.1145429547586345,1.2477139857569701,30,30,30,1
PGD2,FGF9,0.7678871963998883,0.9862745098039216,1.0,0.9862745098039216,1.4397695355416547,1.4021002481177705,1.4848276831459448,30,30,30,1
NR0B1,WNT4,0.766892146417257,0.9803921568627451,1.0,0.9803921568627451,1.08912001289103,1.0451110983825511,1.1337795791428738,30,30,30,1
PGD2,DHH,0.765783431957918,0.9784313725490196,1.0,0.9784313725490196,1.466950923147428,1.4219404238064304,1.5048478499701128,30,30,30,1
FGF9,PGD2,0.7678871963998883,0.9705882352941176,1.0,0.9705882352941176,1.422644164742165,1.372002846279582,1.4609502857068535,30,30,30,1
FGF9,DHH,0.7644420758699028,0.9627450980392157,1.0,0.9627450980392157,1.4596336398054308,1.4247861281741052,1.4973312287632377,30,30,30,1
RSPO1,WNT4,0.7632332781407121,0.9607843137254902,1.0,0.9607843137254902,1.0714488110678326,1.0208763994957897,1.1155677760807348,30,30,30,1
DHH,FGF9,0.7644420758699028,0.9549019607843138,1.0,0.9549019607843138,1.4209375833184141,1.3727755901724605,1.4610349112838763,30,30,30,1
DHH,PGD2,0.765783431957918,0.9450980392156862,1.0,0.9450980392156862,1.4108162193347435,1.3629265205135266,1.4586251673142248,30,30,30,1
NR5A1,CBX2,0.44683489087562295,0.9411764705882353,1.0,0.9411764705882353,1.186206054411183,1.106509049897055,1.2416456376971146,30,30,30,2
NR5A1,FOXL2,-0.7669820434368966,0.9411764705882353,1.0,0.9411764705882353,1.450344773624902,1.4044095583368397,1.492020748549099,30,30,30,2
NR5A1,UGR,0.36913562779506887,0.9411764705882353,1.0,0.9411764705882353,0.8916804555918995,0.8337072924098587,0.9637693351017105,30,30,30,2
NR5A1,WT1pKTS,0.7498255656177023,0.9411764705882353,1.0,0.9411764705882353,1.7271424501894843,1.7006642939816998,1.7640701753749017,30,30,30,2
RSPO1,NR0B1,0.6554482033989387,0.9411764705882353,1.0,0.9411764705882353,1.1227093938474808,1.076141756063491,1.1678074489490018,30,30,30,2
WNT4,RSPO1,0.7632332781407121,0.9411764705882353,1.0,0.9411764705882353,1.361226986278417,1.3236724395589938,1.3999049848855,30,30,30,2
DMRT1,SRY,0.7164397463517825,0.9392156862745098,1.0,0.9392156862745098,1.4695730884778235,1.3966385109035078,1.524956714817222,30,30,30,2
PGD2,WT1mKTS,-0.48541309364869706,0.9372549019607843,1.0,0.9372549019607843,0.7693421298500491,0.7195739895721781,0.825144144631594,30,30,30,2
SRY,DKK1,0.7294156933215893,0.9372549019607843,1.0,0.9372549019607843,1.4973088113990893,1.4353434572814328,1.55965968765404,30,30,30,2
SRY,DMRT1,0.7164397463517825,0.9333333333333333,1.0,0.9333333333333333,1.4461579254876957,1.370956810842419,1.5109516673475054,30,30,30,2
WT1pKTS,NR5A1,0.7498255656177023,0.9333333333333333,1.0,0.9333333333333333,1.5945483431071878,1.561375603380858,1.6276149857741995,30,30,30,2
DHH,AMH,0.7508499946302296,0.9313725490196079,1.0,0.9313725490196079,1.42431572127125,1.3788047758908495,1.45934640231187,30,30,30,1
FOXL2,CTNNB1,0.7483137089497202,0.9235294117647059,1.0,0.9235294117647059,1.233487952444991,1.1795683964462271,1.2816138189380248,30,30,30,2
PGD2,GATA4,-0.4954019727800821,0.9215686274509804,1.0,0.9215686274509804,0.767105644488567,0.7233998999630749,0.8008924402434181,30,30,30,2
WNT4,SOX9,-0.7071008321886929,0.9196078431372549,1.0,0.9196078431372549,1.1038767014713284,1.0617223934801348,1.1472509018387216,30,30,30,1
DMRT1,SOX9,0.7058811210846905,0.9098039215686274,1.0,0.9098039215686274,1.0959041705578576,1.0267746702139051,1.1624916515519559,30,30,30,2
AMH,PGD2,0.7620837250734381,0.907843137254902,1.0,0.907843137254902,1.3900983619376714,1.3475613793659693,1.4579639676146312,30,30,30,1
WNT4,CTNNB1,0.7449469627874351,0.9,1.0,0.9,1.2140510864411957,1.1760804285952544,1.2612514212431298,30,30,30,2
FGF9,AMH,0.7480599871985547,0.8960784313725491,1.0,0.8960784313725491,1.4088486739798574,1.3715952527953235,1.4389024659719438,30,30,30,2
RSPO1,NR5A1,-0.7415883405526765,0.8901960784313725,1.0,0.8901960784313725,1.5516094951007764,1.5242180239559042,1.5875768612972088,30,30,30,2
SOX9,DMRT1,0.7058811210846905,0.8901960784313725,1.0,0.8901960784313725,1.3747328082454617,1.3106171552602757,1.4281088504442085,30,30,30,2
SOX9,DKK1,0.7178836013683714,0.8862745098039215,1.0,0.8862745098039215,1.4195708449252185,1.3656692592080377,1.4927826673295486,30,30,30,2
FOXL2,SRY,-0.7013260683432281,0.884313725490196,1.0,0.884313725490196,1.382200122297428,1.3441501943701968,1.414526393626823,30,30,30,2
AMH,DHH,0.7508499946302296,0.8823529411764706,1.0,0.8823529411764706,1.3855111275230316,1.3449501446146255,1.4422679959217684,30,30,30,3
AMH,FGF9,0.7480599871985547,0.8823529411764706,1.0,0.8823529411764706,1.3317113746357103,1.2879259141370094,1.368138469389763,30,30,30,3
CTNNB1,FOXL2,0.7483137089497202,0.8823529411764706,1.0,0.8823529411764706,1.3541101981294745,1.3109623432490423,1.3864308901596551,30,30,30,3
CTNNB1,WNT4,0.7449469627874351,0.8823529411764706,1.0,0.8823529411764706,0.9829822254938764,0.9425797098036377,1.0276597652424946,30,30,30,3
CTNNB1,WT1pKTS,-0.6570545262751636,0.8823529411764706,1.0,0.8823529411764706,1.2790662993953734,1.2616786460261789,1.2914204758565704,30,30,30,3
FGF9,WT1mKTS,-0.4779959570772509,0.8823529411764706,1.0,0.8823529411764706,0.7266658617748558,0.6788790041474136,0.7752713768875529,30,30,30,2
NR5A1,RSPO1,-0.7415883405526765,0.8823529411764706,1.0,0.8823529411764706,1.2335145333918,1.1862112323062803,1.2874919360225694,30,30,30,3
SOX9,GATA4,-0.49280594643918973,0.8823529411764706,1.0,0.8823529411764706,0.7527874703502797,0.7016908888774376,0.8069231135896813,30,30,30,2
WT1pKTS,CBX2,0.3658606335926015,0.8823529411764706,1.0,0.8823529411764706,0.6263645037512612,0.5410564167339226,0.6890074329385848,30,30,30,3
RSPO1,UGR,-0.3186187944797666,0.8803921568627451,1.0,0.8803921568627451,0.5435079257720797,0.4660590255978675,0.6354044976451405,30,30,30,3
AMH,NR0B1,-0.6331864544146387,0.8745098039215686,1.0,0.8745098039215686,0.9884578398308438,0.9273799077896026,1.0355709675671054,30,30,30,3
CTNNB1,NR5A1,-0.7163134665997878,0.8235294117647058,1.0,0.8235294117647058,1.4193978532933231,1.3927741888516607,1.4507959552718106,30,30,30,4
FOXL2,RSPO1,0.686292898710713,0.8235294117647058,1.0,0.8235294117647058,0.9070926833342255,0.8583958794126116,0.9501151331168884,30,30,30,4
NR5A1,CTNNB1,-0.7163134665997878,0.8235294117647058,1.0,0.8235294117647058,1.0480581189829805,0.998720589050333,1.0957417488126278,30,30,30,4
RSPO1,WT1pKTS,-0.5983622027047122,0.8235294117647058,1.0,0.8235294117647058,0.9956183146472004,0.9785634711235308,1.0172298695494255,30,30,30,4
SOX9,WNT4,-0.7071008321886929,0.8235294117647058,1.0,0.8235294117647058,0.7996411859116181,0.7701723701976184,0.838402444943084,30,30,30,4
SRY,FOXL2,-0.7013260683432281,0.8235294117647058,1.0,0.8235294117647058,1.112082989811586,1.0795148261809784,1.1477258269766826,30,30,30,4
WNT4,AMH,-0.6556099344469132,0.8235294117647058,1.0,0.8235294117647058,0.8958437247581182,0.8616989618843881,0.9510261701056506,30,30,30,4
