Gene1	Gene2	EdgeWeight
DMRT1	DMRT1	1.0
FGF9	FGF9	1.0
GATA4	GATA4	1.0
SOX9	SOX9	1.0
UGR	UGR	1.0
FOXL2	FOXL2	1.0
WT1pKTS	WT1pKTS	1.0
NR5A1	NR5A1	1.0
NR0B1	NR0B1	1.0
AMH	AMH	1.0
CBX2	CBX2	1.0
WNT4	WNT4	1.0
DKK1	DKK1	1.0
SRY	SRY	1.0
WT1mKTS	WT1mKTS	1.0
PGD2	PGD2	1.0
CTNNB1	CTNNB1	1.0
DHH	DHH	1.0
RSPO1	RSPO1	1.0
NR5A1	WT1pKTS	0.370547973685666
WT1pKTS	NR5A1	0.370547973685665
WT1pKTS	FOXL2	-0.340184565527283
FOXL2	WT1pKTS	-0.340184565527282
RSPO1	NR5A1	-0.324564284588281
NR5A1	RSPO1	-0.324564284588281
DMRT1	DKK1	0.278252686998891
DKK1	DMRT1	0.278252686998891
CTNNB1	RSPO1	0.229622453131328
RSPO1	CTNNB1	0.229622453131328
DMRT1	NR5A1	-0.223163762176235
NR5A1	DMRT1	-0.223163762176235
SRY	DKK1	0.217122381929146
DKK1	SRY	0.217122381929145
SRY	WT1mKTS	-0.216614828150219
WT1mKTS	SRY	-0.216614828150218
WNT4	NR0B1	0.21176688163111
NR0B1	WNT4	0.21176688163111
CBX2	UGR	0.20858306155725
UGR	CBX2	0.20858306155725
WNT4	CTNNB1	0.191780112325759
CTNNB1	WNT4	0.191780112325759
CBX2	NR5A1	0.191562154284166
NR5A1	CBX2	0.191562154284166
FOXL2	SRY	-0.181172941143708
SRY	FOXL2	-0.181172941143708
DKK1	NR5A1	-0.179627290981251
NR5A1	DKK1	-0.17962729098125
SRY	DMRT1	0.171504304788808
DMRT1	SRY	0.171504304788808
CTNNB1	DMRT1	-0.171227176762775
DMRT1	CTNNB1	-0.171227176762775
RSPO1	SRY	-0.157684717982549
SRY	RSPO1	-0.157684717982549
GATA4	SRY	-0.156038114853394
SRY	GATA4	-0.156038114853394
UGR	SRY	-0.156020030247239
SRY	UGR	-0.156020030247239
SOX9	WT1pKTS	-0.148685504321266
WT1pKTS	SOX9	-0.148685504321266
NR5A1	CTNNB1	-0.148565967963513
CTNNB1	NR5A1	-0.148565967963512
AMH	GATA4	-0.148279993651246
GATA4	AMH	-0.148279993651246
WNT4	DMRT1	-0.145073512560697
DMRT1	WNT4	-0.145073512560697
FOXL2	NR5A1	-0.145062152359374
NR5A1	FOXL2	-0.145062152359374
SRY	NR0B1	0.144533418712382
NR0B1	SRY	0.144533418712382
NR0B1	AMH	-0.140889675439817
AMH	NR0B1	-0.140889675439817
DMRT1	GATA4	-0.140347564846754
GATA4	DMRT1	-0.140347564846754
RSPO1	DHH	-0.135608031737317
DHH	RSPO1	-0.135608031737317
DKK1	WNT4	-0.13433578564904
WNT4	DKK1	-0.13433578564904
NR5A1	NR0B1	-0.134088868591004
NR0B1	NR5A1	-0.134088868591004
NR0B1	FGF9	-0.133794760225875
FGF9	NR0B1	-0.133794760225875
NR0B1	UGR	-0.132468723821355
UGR	NR0B1	-0.132468723821355
WT1pKTS	UGR	0.132363085489408
UGR	WT1pKTS	0.132363085489408
WT1mKTS	WT1pKTS	0.131920111474625
WT1pKTS	WT1mKTS	0.131920111474625
PGD2	NR0B1	-0.130756586292799
NR0B1	PGD2	-0.130756586292799
FGF9	WNT4	-0.130451088438951
WNT4	FGF9	-0.130451088438951
WT1pKTS	FGF9	-0.129402706489764
FGF9	WT1pKTS	-0.129402706489764
WNT4	RSPO1	0.129019075309181
RSPO1	WNT4	0.129019075309181
DKK1	CBX2	-0.128602479976002
CBX2	DKK1	-0.128602479976002
PGD2	AMH	0.127618366252654
AMH	PGD2	0.127618366252654
WT1mKTS	GATA4	0.1258728187562
GATA4	WT1mKTS	0.125872818756199
NR0B1	DHH	-0.123782487233212
DHH	NR0B1	-0.123782487233212
DHH	FGF9	0.12145826174602
FGF9	DHH	0.12145826174602
GATA4	SOX9	-0.116368716346198
SOX9	GATA4	-0.116368716346198
SOX9	DKK1	0.116025416481895
DKK1	SOX9	0.116025416481895
GATA4	DHH	-0.116004919912308
DHH	GATA4	-0.116004919912308
CTNNB1	WT1pKTS	-0.114136601462434
WT1pKTS	CTNNB1	-0.114136601462434
GATA4	PGD2	-0.113627635406479
PGD2	GATA4	-0.113627635406479
AMH	DHH	0.11300517551824
DHH	AMH	0.11300517551824
DMRT1	UGR	-0.112831386451246
UGR	DMRT1	-0.112831386451246
WT1mKTS	FGF9	-0.112663711551645
FGF9	WT1mKTS	-0.112663711551645
SRY	DHH	-0.11170242873848
DHH	SRY	-0.111702428738479
WNT4	SOX9	-0.111663119849327
SOX9	WNT4	-0.111663119849327
AMH	WT1mKTS	-0.110479221536502
