Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.360968599492773	6.53655780766755e-50
NR5A1	WT1pKTS	0.360968599492773	6.53655780766914e-50
DKK1	DMRT1	0.271493666066466	3.79479898956574e-28
DMRT1	DKK1	0.271493666066466	3.79479898956591e-28
RSPO1	CTNNB1	0.260526085305207	5.65733731030317e-26
CTNNB1	RSPO1	0.260526085305207	5.65733731030341e-26
SRY	DKK1	0.216795740230989	2.71491259222994e-18
DKK1	SRY	0.216795740230989	2.71491259223004e-18
NR0B1	WNT4	0.208691208686322	4.89634837948037e-17
WNT4	NR0B1	0.208691208686322	4.89634837948048e-17
UGR	CBX2	0.195850708237667	3.76829139952905e-15
CBX2	UGR	0.195850708237667	3.76829139952927e-15
NR5A1	CBX2	0.189688089504293	2.73376185799529e-14
CBX2	NR5A1	0.189688089504292	2.73376185799542e-14
SRY	DMRT1	0.182478966178828	2.55372209988738e-13
DMRT1	SRY	0.182478966178828	2.55372209988738e-13
CTNNB1	WNT4	0.17991952743592	5.5250286280534e-13
WNT4	CTNNB1	0.17991952743592	5.52502862805352e-13
NR0B1	SRY	0.148164118541718	3.1600902898202e-09
SRY	NR0B1	0.148164118541718	3.16009028982029e-09
GATA4	WT1mKTS	0.128989533804734	2.61084410016723e-07
WT1mKTS	GATA4	0.128989533804734	2.61084410016726e-07
WT1pKTS	WT1mKTS	0.127907542228137	3.29024540647156e-07
WT1mKTS	WT1pKTS	0.127907542228137	3.29024540647161e-07
WNT4	RSPO1	0.127642983482113	3.48068033123831e-07
RSPO1	WNT4	0.127642983482113	3.48068033123846e-07
WT1pKTS	UGR	0.120929170186138	1.39780022306531e-06
UGR	WT1pKTS	0.120929170186138	1.39780022306533e-06
DKK1	SOX9	0.120381160871553	1.56079094695154e-06
SOX9	DKK1	0.120381160871552	1.56079094695161e-06
AMH	DHH	0.117266385426455	2.89499056346928e-06
DHH	AMH	0.117266385426455	2.89499056346931e-06
SRY	WT1pKTS	0.109210463673654	1.33220183622145e-05
WT1pKTS	SRY	0.109210463673654	1.33220183622145e-05
PGD2	DHH	0.105609612714913	2.54984065530553e-05
DHH	PGD2	0.105609612714913	2.54984065530553e-05
FGF9	DHH	0.10040371444415	6.28847979074367e-05
DHH	FGF9	0.10040371444415	6.28847979074368e-05
GATA4	WT1pKTS	0.0991151007214537	7.81183954770915e-05
WT1pKTS	GATA4	0.0991151007214537	7.81183954770916e-05
PGD2	AMH	0.0874067341178542	0.00049849518197173
AMH	PGD2	0.0874067341178542	0.000498495181971733
CTNNB1	NR0B1	0.0794623299373991	0.00155579830947127
NR0B1	CTNNB1	0.079462329937399	0.00155579830947129
NR5A1	SOX9	0.0730709433160421	0.00362747758382871
SOX9	NR5A1	0.073070943316042	0.00362747758382875
FGF9	AMH	0.072062854183119	0.00412260058207461
AMH	FGF9	0.072062854183119	0.00412260058207463
DHH	SOX9	0.0714205494885516	0.00446923361992849
SOX9	DHH	0.0714205494885514	0.00446923361992855
CTNNB1	FOXL2	0.0690223587470477	0.00600889755919804
FOXL2	CTNNB1	0.0690223587470477	0.00600889755919811
WT1pKTS	DMRT1	0.0658741434575287	0.00874904388480668
DMRT1	WT1pKTS	0.0658741434575287	0.00874904388480671
CBX2	WT1pKTS	0.0657877131994067	0.00883793368606157
WT1pKTS	CBX2	0.0657877131994066	0.00883793368606165
FGF9	PGD2	0.064528772987698	0.0102272229452003
PGD2	FGF9	0.0645287729876979	0.0102272229452005
DMRT1	SOX9	0.0642174865828486	0.0105993739250489
SOX9	DMRT1	0.0642174865828485	0.010599373925049
PGD2	SOX9	0.056910350936799	0.0235535229240176
SOX9	PGD2	0.056910350936799	0.0235535229240177
FOXL2	WT1mKTS	0.0489030745715637	0.0517352366114407
WT1mKTS	FOXL2	0.0489030745715636	0.051735236611441
FOXL2	UGR	0.0471760652656302	0.0605793733790233
UGR	FOXL2	0.0471760652656302	0.0605793733790236
NR5A1	FGF9	0.0442921475193696	0.0781164122381153
FGF9	NR5A1	0.0442921475193696	0.0781164122381153
SOX9	FGF9	0.0385724298625849	0.125020487608031
FGF9	SOX9	0.0385724298625849	0.125020487608031
FOXL2	NR0B1	0.0359604287526264	0.152691910334629
