TF	target	importance
FOXL2	WT1pKTS	0.3515337418423843
DMRT1	DKK1	0.3175683100627643
DKK1	DMRT1	0.3083474446057958
WT1pKTS	FOXL2	0.2673532803693502
CBX2	UGR	0.2620554994494745
RSPO1	CTNNB1	0.25171380836068447
CTNNB1	RSPO1	0.2343115039476468
UGR	CBX2	0.21791385508941935
DHH	PGD2	0.2151589975549834
FOXL2	NR5A1	0.21397966211856953
PGD2	FGF9	0.20146836895973166
PGD2	DHH	0.19043627175013592
WNT4	NR0B1	0.18973413648942877
DHH	AMH	0.18943784429390353
NR5A1	RSPO1	0.18835320858557633
NR5A1	CBX2	0.18654375603974385
CTNNB1	FOXL2	0.1862238178217919
PGD2	AMH	0.1855073592032626
DHH	FGF9	0.18146823115457494
FGF9	PGD2	0.17972798113623817
GATA4	WT1mKTS	0.1773128391826681
FGF9	DHH	0.17519592157522573
RSPO1	NR5A1	0.17074295598139064
NR0B1	WNT4	0.16918016584401793
SRY	DMRT1	0.16719474500552794
SRY	DKK1	0.16588217758323545
DKK1	SRY	0.16493321296263289
DKK1	SOX9	0.1602786714277145
WNT4	RSPO1	0.1579319858316338
WT1mKTS	GATA4	0.157341971715193
SOX9	WNT4	0.15659971151529686
DMRT1	SRY	0.1553549039213882
UGR	WT1mKTS	0.15329145948966275
UGR	GATA4	0.15277481000385693
AMH	DHH	0.15241136171594843
RSPO1	WNT4	0.14894422784421094
FGF9	AMH	0.1485372612798314
WNT4	CTNNB1	0.14798247407229817
WT1pKTS	NR5A1	0.14759410867885084
AMH	FGF9	0.1435257388302085
DMRT1	SOX9	0.1419609802757667
NR5A1	WT1pKTS	0.14142870608757827
RSPO1	FOXL2	0.13613666231337965
AMH	PGD2	0.13168996975380032
FOXL2	CTNNB1	0.1311491727168447
CTNNB1	WT1pKTS	0.1266781487467256
SOX9	DMRT1	0.11595889135407268
PGD2	SOX9	0.11447871262005574
SOX9	DKK1	0.11428301021332685
AMH	NR0B1	0.11338855615658264
CTNNB1	NR5A1	0.11286209468840679
NR5A1	UGR	0.11078072690788494
NR5A1	FOXL2	0.10552256196730811
DHH	GATA4	0.10508697066919993
CTNNB1	SRY	0.10320304608623719
PGD2	GATA4	0.10272342428107652
PGD2	WT1mKTS	0.10186079322979462
NR5A1	CTNNB1	0.10129054155915353
SOX9	FGF9	0.1007569597398942
UGR	NR0B1	0.10058409629623397
RSPO1	WT1pKTS	0.10042597778905682
DHH	SOX9	0.09935481970469366
SOX9	PGD2	0.09758159966193714
FOXL2	SRY	0.09625090456447118
SOX9	DHH	0.09100393396036234
DHH	WT1mKTS	0.09075037208963271
SOX9	AMH	0.08330131659567981
FGF9	SOX9	0.08285770779565305
CTNNB1	WNT4	0.08042909990630763
PGD2	NR0B1	0.08035108423118113
WT1pKTS	CBX2	0.07863179097851497
FGF9	WNT4	0.07803565310650241
FGF9	NR0B1	0.07792173065691838
NR0B1	RSPO1	0.07509203962364014
FGF9	WT1mKTS	0.0749283929386764
FGF9	GATA4	0.07476391455606449
RSPO1	NR0B1	0.07454630948182185
SRY	FOXL2	0.07374713116498086
NR0B1	UGR	0.07182910261371166
RSPO1	CBX2	0.06939101687858353
AMH	GATA4	0.0687441381317287
UGR	SRY	0.06811265985006602
GATA4	DHH	0.0680801512210527
AMH	WT1mKTS	0.06754863255404057
DHH	NR0B1	0.06709782434217232
CTNNB1	CBX2	0.06648712619051635
GATA4	FGF9	0.06613850519718412
GATA4	AMH	0.06613494993228972
SRY	UGR	0.06584706084530706
WT1pKTS	CTNNB1	0.06557746300965063
WT1pKTS	SRY	0.06556741462540568
DKK1	CBX2	0.0633461745936595
WNT4	SOX9	0.062249214115029816
WNT4	UGR	0.06172144622345129
FOXL2	RSPO1	0.06170741810028908
GATA4	PGD2	0.059874841703816184
AMH	SOX9	0.05706473813283952
RSPO1	SRY	0.05633439023221259
WT1pKTS	UGR	0.0562404119908169
UGR	WNT4	0.055774746863540794
WNT4	NR5A1	0.055404321165467126
